;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Región y Provincia;GANADO DE OTRAS ESPECIES (Machos y Hembras de toda edad);;;;;ÍNDICE;;;
;Asnal;Caballar;Mular;Caprino;;;;;
TOTAL NACIONAL;40,909;153,173;54,076;27,531;;;;;
REGIÓN SIERRA;32,767;82,696;16,179;24,675;;;;;
REGIÓN COSTA;7,573;55,865;36,004;2,807;;;;;
REGIÓN AMAZÓNICA;559;14,512;1,882;49;;;;;
ZONA NO DELIMITADA;11;99;10;;;;;;
;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;
AZUAY;646;14,896;1,536;2,356;;;;;
BOLÍVAR;1,190;5,838;4,264;159;;;;;
CAÑAR;682;3,423;489;347;;;;;
CARCHI;23;3,479;134;820;;;;;
COTOPAXI;4,672;8,491;1,484;367;;;;;
CHIMBORAZO;11,580;9,604;1,051;337;;;;;
IMBABURA;1,351;7,889;898;387;;;;;
LOJA;8,131;8,521;3,879;18,372;;;;;
PICHINCHA;573;13,011;879;1,114;;;;;
TUNGURAHUA;3,712;5,847;277;380;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;205;1,697;1,289;37;;;;;
;;;;;;;;;
REGIÓN COSTA;;;;;;;;;
EL ORO;575;3,952;1,716;536;;;;;
ESMERALDAS;1,081;15,797;8,032;121;;;;;
GUAYAS;173;10,916;2,361;113;;;;;
LOS RÍOS;287;4,425;1,692;135;;;;;
MANABÍ;5,392;20,553;22,185;1,544;;;;;
SANTA ELENA;65;222;19;359;;;;;
;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;
MORONA SANTIAGO;100;6,145;487;;;;;;
NAPO;19;285;148;3;;;;;
ORELLANA;38;1,168;52;46;;;;;
PASTAZA;;1,750;84;;;;;;
SUCUMBÍOS;264;3,193;454;;;;;;
ZAMORA CHINCHIPE;138;1,971;657;;;;;;
;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;
ZONA NO DELIMITADA;11;99;10;;;;;;
;;;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;;
;;;;;;;;;
Nota: El período de referencia es el día de la entrevista;;;;;;;;;
