;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
Tamaño de Unidad de Producción Agropecuaria;SEXO;;;ÍNDICE;;;;
;HOMBRES;MUJERES;;;;;;
;;;;;;;;
De 20 hectáreas a menos de 50 hectáreas;0.7%;4.8%;11.8%;22.8%;24.0%;35.1%;0.8%;
De 50 hectáreas a menos de 100 hectáreas;0.2%;3.7%;12.0%;23.6%;23.1%;36.2%;1.2%;
De 100 hectáreas a menos de 200 hectáreas;0.4%;4.1%;9.8%;23.9%;25.1%;35.2%;1.3%;
Mayor a 200 hectáreas;0.3%;4.1%;13.8%;17.1%;23.4%;36.7%;4.6%;
;;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;
Nota: período de referencia es el día de la entrevista;;;;;;;;
Información descriptiva  basada en estudios de casos.;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
