;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Región y Provincia;GANADO OVINO;;;;;;;ÍNDICE;;;
;TOTAL;EXISTENCIA1 (Machos y Hembras);;TOTAL;VENTAS2 (Machos y Hembras);;;;;;
;;Menores de 6 meses de edad;Mayores de 6 meses de edad;;Menores de 6 meses de edad;Mayores de 6 meses de edad;;;;;
TOTAL NACIONAL;448,382;92,642;355,741;28,703;9,767;18,936;;;;;
REGIÓN SIERRA;437,706;90,162;347,544;27,041;9,018;18,022;;;;;
REGIÓN COSTA;5,963;1,440;4,523;1,595;716;879;;;;;
REGIÓN AMAZÓNICA;4,616;1,023;3,593;67;33;34;;;;;
ZONA NO DELIMITADA;98;17;81;;;;;;;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
AZUAY;65,331;14,519;50,812;5,386;1,676;3,710;;;;;
BOLÍVAR;;;;506;168;338;;;;;
CAÑAR;26,266;6,124;20,142;1,825;170;1,655;;;;;
CARCHI;925;334;591;201;;201;;;;;
COTOPAXI;88,816;16,725;72,091;4,183;1,092;3,091;;;;;
CHIMBORAZO;136,881;25,634;111,247;9,972;4,108;5,864;;;;;
IMBABURA;11,873;3,272;8,601;17;10;7;;;;;
LOJA;33,847;6,812;27,035;848;164;684;;;;;
PICHINCHA;35,361;7,473;27,888;895;102;793;;;;;
TUNGURAHUA;38,405;9,268;29,137;3,208;1,528;1,680;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;;;;;;;;;;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
EL ORO;5,731;1,377;4,354;495;338;157;;;;;
ESMERALDAS;232;63;169;20;;20;;;;;
GUAYAS;;;;1,005;303;702;;;;;
LOS RÍOS;;;;;;;;;;;
MANABÍ;;;;75;75;;;;;;
SANTA ELENA;;;;;;;;;;;
;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;
MORONA SANTIAGO;635;;635;;;;;;;;
NAPO;1,302;600;702;;;;;;;;
ORELLANA;72;20;52;15;10;5;;;;;
PASTAZA;63;21;42;;;;;;;;
SUCUMBÍOS;1,545;259;1,285;8;;8;;;;;
ZAMORA CHINCHIPE;1,000;123;878;44;23;21;;;;;
;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;
ZONA NO DELIMITADA;98;17;81;;;;;;;;
;;;;;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;;;;
(1) Para existencia el periodo de referencia es el día de la entrevista;;;;;;;;;;;
(2) Para ventas el período de referencia es del 1 de julio al 30 de septiembre 2024;;;;;;;;;;;
