;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Región y Provincia;HUEVOS DE MESA EN UNA SEMANA;;;;;;;;;ÍNDICE;
;AVES CRIADAS EN CAMPO;;;;AVES CRIADAS EN PLANTELES AVÍCOLAS;;;;;;
;PRODUCCIÓN;DESTINO;;;PRODUCCIÓN;DESTINO;;;;;
;;Autoconsumo;Ventas ;Otros;;Autoconsumo;Ventas ;Otros;;;
TOTAL NACIONAL;4,245,852;3,429,318;689,410;127,124;68,976,137;40,638;66,053,676;2,881,823;;;
REGIÓN SIERRA;1,916,442;1,549,321;331,615;35,506;60,949,323;39,638;58,027,862;2,881,823;;;
REGIÓN COSTA;1,740,918;1,508,417;164,870;67,632;7,754,356;1,000;7,753,356;;;;
REGIÓN AMAZÓNICA;588,419;371,508;192,925;23,987;272,458;;272,458;;;;
ZONA NO DELIMITADA;73;73;;;;;;;;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
AZUAY;436,267;362,498;70,934;2,834;2,498,000;;;2,498,000;;;
BOLÍVAR;118,976;101,508;8,297;9,171;;;;;;;
CAÑAR;173,324;127,080;42,903;3,341;;;;;;;
CARCHI;17,131;17,060;;71;;;;;;;
COTOPAXI;205,594;168,394;32,977;4,222;24,303,115;4,590;24,226,455;72,070;;;
CHIMBORAZO;224,661;160,134;63,871;655;2,397,387;6,505;2,351,592;39,290;;;
IMBABURA;62,662;56,092;2,840;3,730;;;;;;;
LOJA;321,780;247,813;69,166;4,801;246,440;120;246,320;;;;
PICHINCHA;93,525;81,032;8,197;4,296;4,762,190;1,853;4,603,620;156,717;;;
TUNGURAHUA;188,336;160,564;27,356;416;26,137,121;25,820;25,995,555;115,746;;;
SANTO DOMINGO DE LOS TSÁCHILAS;74,188;67,145;5,075;1,968;605,070;750;604,320;;;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
EL ORO;106,329;75,160;20,156;11,013;1,032,495;;1,032,495;;;;
ESMERALDAS;95,228;88,852;2,353;4,022;;;;;;;
GUAYAS;229,440;191,182;31,566;6,692;1,686,235;60;1,686,175;;;;
LOS RÍOS;556,875;511,070;38,470;7,335;420;30;390;;;;
MANABÍ;751,772;640,877;72,324;38,571;3,684,940;910;3,684,030;;;;
SANTA ELENA;1,276;1,276;;;1,350,266;;1,350,266;;;;
;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;
MORONA SANTIAGO;167,725;87,409;67,457;12,860;;;;;;;
NAPO;16,562;15,970;592;;;;;;;;
ORELLANA;68,276;60,741;6,174;1,361;;;;;;;
PASTAZA;74,232;71,012;3,220;;272,458;;272,458;;;;
SUCUMBÍOS;87,916;73,093;5,057;9,766;;;;;;;
ZAMORA CHINCHIPE;173,707;63,283;110,425;;;;;;;;
;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;
ZONA NO DELIMITADA;73;73;;;;;;;;;
;;;;;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;;;;
;;;;;;;;;;;
Nota: El período de referencia es en los 7 días, anteriores a la entrevista;;;;;;;;;;;
