CULTIVOS TRANSITORIOS;;SUPERFICIE PERDIDA (Has.);;;;;;;;ÍNDICE
;;Total;Sequía;Helada;Plagas;Enfermedades;Inundación;Otra razón;;
TOTAL NACIONAL;Solo; 20,931 ; 8,322 ; 2,050 ; 5,477 ; 598 ; 2,633 ; 1,850 ;;
;Asociado; 4,784 ; 2,551 ; 416 ; 1,036 ; 158 ; 22 ; 600 ;;
;;;;;;;;;;
ARROZ (EN CÁSCARA);Solo;2,697;329;;351;18;1,592;407;;
;Asociado;;;;;;;;;
ARVEJA SECA (GRANO SECO);Solo;190;145;12;;6;12;16;;
;Asociado;1;;0;0;;;;;
ARVEJA TIERNA (EN VAINA);Solo;230;111;7;29;15;68;;;
;Asociado;62;28;1;0;27;;6;;
BROCOLI (REPOLLO);Solo;45;29;2;7;7;;;;
;Asociado;11;11;;;;;;;
CEBADA (GRANO SECO);Solo;531;247;33;4;3;;244;;
;Asociado;;;;;;;;;
CEBOLLA BLANCA (TALLO FRESCO);Solo;189;168;;21;;;;;
;Asociado;1;1;;;;;;;
FRÉJOL SECO (GRANO SECO);Solo;770;289;61;79;4;224;112;;
;Asociado;1,698;970;137;294;54;8;234;;
FRÉJOL TIERNO (EN VAINA);Solo;81;22;3;;3;5;47;;
;Asociado;252;122;34;67;6;;23;;
HABA SECA (GRANO SECO);Solo;19;17;;2;;;;;
;Asociado;508;253;7;178;21;2;49;;
HABA TIERNA (EN VAINA);Solo;194;90;4;28;;53;20;;
;Asociado;190;117;27;24;;5;16;;
MAÍZ DURO CHOCLO (EN CHOCLO);Solo;381;15;5;288;73;;;;
;Asociado;25;;;3;8;;14;;
MAÍZ DURO SECO (GRANO SECO);Solo;6,757;2,209;1,153;2,557;114;456;268;;
;Asociado;432;277;25;125;;;5;;
MAÍZ SUAVE CHOCLO (EN CHOCLO);Solo;1,126;757;10;165;42;63;89;;
;Asociado;157;74;6;42;23;;12;;
MAÍZ SUAVE SECO (GRANO SECO);Solo;3,951;2,424;480;618;113;43;273;;
;Asociado;1,058;537;145;289;8;7;73;;
MANÍ (GRANO DESCASCARADO);Solo;158;70;44;29;1;15;;;
;Asociado;159;40;;;;;118;;
PAPA (TUBÉRCULO FRESCO);Solo;827;379;56;214;139;;39;;
;Asociado;32;3;18;;12;;;;
QUINUA (GRANO SECO);Solo;5;;;5;;;;;
;Asociado;;;;;;;;;
SOYA (GRANO SECO);Solo;35;;;16;;19;;;
;Asociado;;;;;;;;;
TABACO (HOJA SECA);Solo;9;;;9;;;;;
;Asociado;;;;;;;;;
TOMATE RIÑÓN (FRUTA FRESCA);Solo;30;22;5;1;;;1;;
;Asociado;0;;;0;;;;;
TRIGO (GRANO SECO);Solo;154;118;;14;23;;;;
;Asociado;;;;;;;;;
YUCA (RAÍZ FRESCA);Solo;706;11;;405;1;83;206;;
;Asociado;111;87;;4;;;20;;
OTROS TRANSITORIOS;Solo;1,846;870;175;637;36;;128;;
;Asociado;88;32;16;11;;;28;;
;;;;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;;;
;;;;;;;;;;
