Región y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;;ÍNDICE
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;TOTAL NACIDOS (Machos y hembras);;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros) ;;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;;
TOTAL NACIONAL;3,436,276;1,058,825;406,053;423,285;229,487;2,377,451;452,333;567,553;1,357,565;719,552;;
REGIÓN SIERRA;1,841,930;576,810;213,789;222,386;140,635;1,265,120;248,635;269,995;746,490;404,312;;
REGIÓN COSTA;1,290,199;364,000;162,880;137,951;63,169;926,199;171,768;246,492;507,940;266,104;;
REGIÓN AMAZÓNICA;302,844;117,561;29,264;62,715;25,582;185,283;31,753;50,882;102,647;48,892;;
ZONA NO DELIMITADA;1,303;454;120;233;102;849;176;184;488;244;;
;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;
AZUAY;243,746;67,857;27,538;19,645;20,673;175,889;30,327;41,433;104,130;53,320;;
BOLÍVAR;131,567;40,781;17,894;13,559;9,327;90,786;20,924;16,503;53,360;35,101;;
CAÑAR;104,486;27,484;10,936;8,520;8,027;77,002;15,113;19,517;42,372;27,891;;
CARCHI;89,519;20,607;7,717;7,499;5,391;68,912;13,625;17,066;38,221;17,542;;
COTOPAXI;250,541;99,869;31,169;48,918;19,783;150,672;30,201;29,302;91,169;46,948;;
CHIMBORAZO;290,408;103,110;40,350;37,440;25,320;187,298;35,605;40,970;110,723;56,786;;
IMBABURA;91,700;39,399;9,579;22,690;7,130;52,301;10,713;12,279;29,309;14,455;;
LOJA;128,745;36,594;18,108;11,088;7,398;92,150;18,007;18,683;55,460;34,102;;
PICHINCHA;217,160;42,453;16,160;14,860;11,433;174,707;33,814;38,373;102,520;54,436;;
TUNGURAHUA;194,363;67,067;23,384;22,912;20,771;127,295;27,487;21,465;78,344;40,859;;
SANTO DOMINGO DE LOS TSÁCHILAS;99,695;31,589;10,955;15,253;5,381;68,106;12,819;14,405;40,882;22,872;;
;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;
EL ORO;124,748;39,277;12,366;18,921;7,990;85,472;15,429;22,297;47,745;25,202;;
ESMERALDAS;209,320;79,948;18,529;48,173;13,245;129,373;22,062;34,030;73,281;33,260;;
GUAYAS;190,463;47,534;23,262;16,705;7,567;142,929;25,859;40,309;76,761;44,776;;
LOS RÍOS;51,331;15,572;7,057;5,417;3,098;35,759;7,182;8,530;20,047;12,479;;
MANABÍ;711,011;180,861;101,321;48,405;31,135;530,150;100,811;140,738;288,601;149,761;;
SANTA ELENA;3,325;809;344;331;134;2,516;424;587;1,505;626;;
;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;
MORONA SANTIAGO;101,375;30,465;9,714;12,935;7,815;70,911;11,426;18,955;40,530;19,731;;
NAPO;11,105;5,561;1,173;2,628;1,760;5,544;1,077;1,156;3,310;2,201;;
ORELLANA;33,488;16,164;2,967;10,923;2,274;17,324;3,462;3,822;10,040;4,648;;
PASTAZA;12,352;5,106;1,315;1,839;1,952;7,246;1,387;2,230;3,629;1,832;;
SUCUMBÍOS;83,649;36,820;7,462;22,312;7,047;46,829;7,590;12,240;26,999;9,734;;
ZAMORA CHINCHIPE;60,874;23,446;6,632;12,079;4,735;37,428;6,811;12,479;18,139;10,746;;
;;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;
ZONA NO DELIMITADA;1,303;454;120;233;102;849;176;184;488;244;;
;;;;;;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;;;;;
;;;;;;;;;;;;
Nota: El período de referencia es el día de la entrevista;;;;;;;;;;;;
