Ámbito,Países declarantes,Países socios,Elemento,Producto,Año,Unidad,Valor
"Matriz detallada del comercio","Ecuador","Albania","Exportaciones - valor","Chocolate, productos nep","2015","1000 USD","0"
"Matriz detallada del comercio","Ecuador","Albania","Exportaciones - canditad","Piña tropical","2017","toneladas","18.48"
"Matriz detallada del comercio","Ecuador","Albania","Exportaciones - valor","Piña tropical","2017","1000 USD","8"
"Matriz detallada del comercio","Ecuador","Albania","Exportaciones - canditad","Plátanos (Verde) y bananos para cocinar","2012","toneladas","1"
"Matriz detallada del comercio","Ecuador","Albania","Exportaciones - canditad","Plátanos (Verde) y bananos para cocinar","2014","toneladas","226.44"
"Matriz detallada del comercio","Ecuador","Albania","Exportaciones - canditad","Plátanos (Verde) y bananos para cocinar","2015","toneladas","161.37"
"Matriz detallada del comercio","Ecuador","Albania","Exportaciones - valor","Plátanos (Verde) y bananos para cocinar","2012","1000 USD","1"
"Matriz detallada del comercio","Ecuador","Albania","Exportaciones - valor","Plátanos (Verde) y bananos para cocinar","2014","1000 USD","92"
"Matriz detallada del comercio","Ecuador","Albania","Exportaciones - valor","Plátanos (Verde) y bananos para cocinar","2015","1000 USD","74"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Aguacates","2022","toneladas","0.01"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Aguacates","2022","1000 USD","0"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Bananos","2010","toneladas","447498"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Bananos","2011","toneladas","574264"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Bananos","2012","toneladas","413617"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Bananos","2013","toneladas","402761"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Bananos","2014","toneladas","679651.1"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Bananos","2015","toneladas","713435.72"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Bananos","2016","toneladas","722247.9"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Bananos","2017","toneladas","563476.5"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Bananos","2018","toneladas","493813.71"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Bananos","2019","toneladas","350730.33"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Bananos","2020","toneladas","338612.93"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Bananos","2021","toneladas","315092.1"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Bananos","2022","toneladas","198388.4"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Bananos","2010","1000 USD","175320"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Bananos","2011","1000 USD","224607"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Bananos","2012","1000 USD","166291"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Bananos","2013","1000 USD","174985"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Bananos","2014","1000 USD","295217"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Bananos","2015","1000 USD","325407"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Bananos","2016","1000 USD","326799"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Bananos","2017","1000 USD","260044"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Bananos","2018","1000 USD","234422"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Bananos","2019","1000 USD","166532"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Bananos","2020","1000 USD","172198"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Bananos","2021","1000 USD","150651"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Bananos","2022","1000 USD","96771"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Cacao, cáscara y cascarilla","2010","toneladas","1"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Cacao, cáscara y cascarilla","2011","toneladas","0"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Cacao, cáscara y cascarilla","2012","toneladas","724"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Cacao, cáscara y cascarilla","2013","toneladas","0"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Cacao, cáscara y cascarilla","2014","toneladas","25.09"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Cacao, cáscara y cascarilla","2015","toneladas","0.07"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Cacao, cáscara y cascarilla","2016","toneladas","1.04"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Cacao, cáscara y cascarilla","2017","toneladas","0.05"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Cacao, cáscara y cascarilla","2018","toneladas","16.04"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Cacao, cáscara y cascarilla","2019","toneladas","0.07"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Cacao, cáscara y cascarilla","2020","toneladas","0.36"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Cacao, cáscara y cascarilla","2021","toneladas","1.05"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Cacao, cáscara y cascarilla","2010","1000 USD","9"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Cacao, cáscara y cascarilla","2011","1000 USD","0"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Cacao, cáscara y cascarilla","2012","1000 USD","21"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Cacao, cáscara y cascarilla","2013","1000 USD","0"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Cacao, cáscara y cascarilla","2014","1000 USD","77"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Cacao, cáscara y cascarilla","2015","1000 USD","1"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Cacao, cáscara y cascarilla","2016","1000 USD","3"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Cacao, cáscara y cascarilla","2017","1000 USD","1"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Cacao, cáscara y cascarilla","2018","1000 USD","8"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Cacao, cáscara y cascarilla","2019","1000 USD","1"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Cacao, cáscara y cascarilla","2020","1000 USD","1"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Cacao, cáscara y cascarilla","2021","1000 USD","4"
"Matriz detallada del comercio","Ecuador","Alemania","Importaciones - cantidad","Cacao, en polvo y torta de cacao","2022","toneladas","3.62"
"Matriz detallada del comercio","Ecuador","Alemania","Importaciones - valor","Cacao, en polvo y torta de cacao","2022","1000 USD","21"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Cacao, en polvo y torta de cacao","2010","toneladas","1"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Cacao, en polvo y torta de cacao","2011","toneladas","12"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Cacao, en polvo y torta de cacao","2012","toneladas","0"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Cacao, en polvo y torta de cacao","2013","toneladas","60"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Cacao, en polvo y torta de cacao","2014","toneladas","458.83"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Cacao, en polvo y torta de cacao","2015","toneladas","0.06"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Cacao, en polvo y torta de cacao","2016","toneladas","20"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Cacao, en polvo y torta de cacao","2017","toneladas","6.51"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Cacao, en polvo y torta de cacao","2018","toneladas","7.29"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Cacao, en polvo y torta de cacao","2019","toneladas","0.07"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Cacao, en polvo y torta de cacao","2020","toneladas","3.81"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Cacao, en polvo y torta de cacao","2021","toneladas","2.36"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - canditad","Cacao, en polvo y torta de cacao","2022","toneladas","3.02"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Cacao, en polvo y torta de cacao","2010","1000 USD","6"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Cacao, en polvo y torta de cacao","2011","1000 USD","67"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Cacao, en polvo y torta de cacao","2012","1000 USD","0"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Cacao, en polvo y torta de cacao","2013","1000 USD","63"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Cacao, en polvo y torta de cacao","2014","1000 USD","600"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Cacao, en polvo y torta de cacao","2015","1000 USD","0"
"Matriz detallada del comercio","Ecuador","Alemania","Exportaciones - valor","Cacao, en polvo y torta de cacao","2016","1000 USD","132"
