;;;;;INDICE;;
;;;;;;;
;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;
TABLA 11. NÚMERO DE AVES POR EXISTENCIA Y MOVIMIENTO, SEGÚN TIPO DE CRIANZA Y ESPECIES;;;;;;;
;;;;;;;
TIPO DE CRIANZA Y ESPECIE;MOVIMIENTO TRIMESTRAL;;;;;;
;EXISTENCIA;Ventas;Autoconsumo;;;;
;;;;;;;
AVES CRIADAS EN CAMPO;;;;;;;
;;;;;;;
Gallos y gallinas;5.252.159;421.583;1.791.373;;;;
Pollitos, Pollitas, Pollos, Pollas;5.532.752;167.895;413.619;;;;
Patos;650.262;34.457;71.218;;;;
Pavos;79.336;2.893;3.135;;;;
;;;;;;;
AVES CRIADAS EN PLANTELES AVÍCOLAS;;;;;;;
;;;;;;;
Gallinas Ponedoras;8.916.554;1.146.744;751;;;;
Gallinas Reproductoras;1.721.048;317.101;2;;;;
Pollitos, Pollitas, Pollos, Pollas;55.575.960;51.422.748;212.551;;;;
Avestruces;5.078;91.040;9.800;;;;
Pavos;440.330;254.300;4.240;;;;
Codornices;484.461;2.015;368;;;;
;;;;;;;
Fuente: INEC 2014;;;;;;;
;;;;;;;
