;;;;;;;INDICE;
;;;;;;;;
;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;;
TABLA 6. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN CULTIVOS TRANSITORIOS;;;;;;;;
;;;;;;;;
CULTIVOS TRANSITORIOS;;SUPERFICIE (Has.);;PRODUCCIÓN (Tm.);VENTAS (Tm.);;;
;;Sembrada;Cosechada;;;;;
;;;;;;;;
TOTAL NACIONAL;Solo; 1.021.830 ; 962.931 ; . ; . ;;;
;Asociado; 134.064 ; 124.870 ; . ; . ;;;
;;;;;;;;
ARROZ (EN CÁSCARA);Solo;375.820;354.136;1.379.954;1.282.065;;;
;Asociado; . ; . ; . ; . ;;;
ARVEJA SECA (GRANO SECO);Solo;1.899;1.674;799;498;;;
;Asociado;485;353;91;20;;;
ARVEJA TIERNA (EN VAINA);Solo;6.831;6.087;10.135;9.400;;;
;Asociado;1.145;1.089;810;389;;;
BRÓCOLI (REPOLLO);Solo;6.865;6.864;113.005;112.680;;;
;Asociado;3;3;24;23;;;
CEBADA (GRANO SECO);Solo;16.346;15.688;14.490;10.016;;;
;Asociado; . ; . ; . ; . ;;;
FRÉJOL SECO (GRANO SECO);Solo;8.498;7.307;4.719;3.507;;;
;Asociado;21.096;19.293;7.831;4.515;;;
FRÉJOL TIERNO (EN VAINA);Solo;9.497;9.097;11.907;11.288;;;
;Asociado;9.988;8.861;5.949;3.707;;;
HABA SECA (GRANO SECO);Solo;2.958;2.531;1.800;967;;;
;Asociado;4.745;4.186;2.157;1.013;;;
HABA TIERNA (EN VAINA);Solo;8.266;7.620;22.893;20.152;;;
;Asociado;4.068;3.742;3.404;1.231;;;
MAÍZ DURO CHOCLO (EN CHOCLO);Solo;5.633;5.371;17.058;15.398;;;
;Asociado;5.069;4.494;5.650;4.924;;;
MAÍZ DURO SECO (GRANO SECO);Solo;369.748;352.200;1.468.802;1.407.490;;;
;Asociado;27.774;26.342;64.417;57.886;;;
MAÍZ SUAVE CHOCLO (EN CHOCLO);Solo;22.270;20.196;55.358;48.603;;;
;Asociado;19.956;18.446;19.701;9.431;;;
MAÍZ SUAVE SECO (GRANO SECO);Solo;35.251;32.407;22.780;12.415;;;
;Asociado;27.655;26.240;13.938;4.841;;;
PAPA (TUBÉRCULO FRESCO);Solo;33.329;32.546;417.178;369.464;;;
;Asociado;684;662;3.883;1.774;;;
SOYA (GRANO SECO);Solo;28.288;26.517;32.681;32.379;;;
;Asociado; . ; . ; . ; . ;;;
TOMATE RIÑÓN (FRUTA FRESCA);Solo;2.679;2.509;67.718;66.688;;;
;Asociado;282;282;4.112;3.836;;;
TRIGO (GRANO SECO);Solo;6.167;6.082;6.814;3.835;;;
;Asociado; . ; . ; . ; . ;;;
YUCA (RAÍZ FRESCA);Solo;14.642;14.160;91.574;70.016;;;
;Asociado;4.648;4.610;19.720;14.289;;;
OTROS TRANSITORIOS;Solo;66.842;59.938;.;.;;;
;Asociado;6.466;6.267;.;.;;;
;;;;;;;;
Fuente: INEC 2014;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
