;;;;;;;;;INDICE
;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;;;
TABLA 54. NÚMERO DE VACAS ORDEÑADAS, PRODUCCIÓN Y DESTINO DE LA LECHE, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;
;;;;;;;;;
REGIÓN Y PROVINCIA;NÚMERO TOTAL DE VACAS ORDEÑADAS;PRODUCCIÓN TOTAL DE LECHE (Litros);DESTINO PRINCIPAL DE LA LECHE (Litros);;;;;;
;;;Vendida en líquido;Consumo en los terrenos ;Alimentación al balde;Procesada en los terrenos ;Destinada a otros fines;;
;;;;;;;;;
;;;;;;;;;
TOTAL NACIONAL;979.848;5.490.359;3.696.440;732.378;103.825;918.599;39.117;;
;;;;;;;;;
REGIÓN SIERRA;630.176;4.141.624;3.069.647;572.683;91.798;379.186;28.310;;
REGIÓN COSTA;278.617;1.054.058;486.837;116.118;8.015;437.198;5.891;;
REGIÓN ORIENTAL;68.709;286.586;138.861;40.976;2.573;99.259;4.916;;
ZONAS NO DELIMITADAS;2.347;8.091;1.095;2.601;1.439;2.956;0;;
;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;
;;;;;;;;;
AZUAY;181.259;827.039;405.774;320.294;9.615;80.469;10.888;;
BOLÍVAR;32.848;140.000;41.635;22.272;526;69.692;5.875;;
CAÑAR;50.697;320.046;281.528;28.871;1.765;4.872;3.010;;
CARCHI;31.334;287.364;263.505;13.181;8.517;1.752;409;;
COTOPAXI;58.894;427.666;376.834;38.534;5.890;5.654;753;;
CHIMBORAZO;69.352;432.893;376.096;49.609;2.104;3.727;1.357;;
IMBABURA;30.323;310.637;240.714;15.380;25.375;27.591;1.577;;
LOJA;21.613;91.012;13.999;21.875;746;52.745;1.648;;
PICHINCHA;83.721;729.954;664.358;28.633;29.246;5.544;2.173;;
TUNGURAHUA;39.513;343.613;303.059;28.233;7.908;3.793;621;;
SANTO DOMINGO DE LOS TSÁCHILAS;30.620;231.399;102.144;5.801;107;123.347;0;;
;;;;;;;;;
REGIÓN COSTA;;;;;;;;;
;;;;;;;;;
EL ORO;11.508;51.834;20.020;4.906;807;24.110;1.991;;
ESMERALDAS;27.412;113.780;27.516;24.986;4.144;56.860;275;;
GUAYAS;32.485;137.018;86.378;13.303;1.649;35.042;645;;
LOS RÍOS;18.586;107.499;79.775;10.328;10;17.386;0;;
MANABÍ;188.077;642.420;272.515;62.353;1.405;303.166;2.980;;
SANTA ELENA;549;1507;633;241;.;634;.;;
;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;
;;;;;;;;;
MORONA SANTIAGO;27.061;108.462;54.995;6.942;166;42.555;3.804;;
NAPO;8.492;37.448;28.194;5.051;648;3.556;.;;
ORELLANA;6.407;26.200;11.522;7.548;528;6.006;596;;
PASTAZA;1.981;11.310;9.095;1.044;115;1.055;.;;
SUCUMBÍOS;11.336;46.218;16.232;11.422;713;17.420;431;;
ZAMORA CHINCHIPE;13.432;56.948;18.823;8.970;403;28.667;85;;
ZONAS NO DELIMITADAS;2.347;8.091;1.095;2.601;1.439;2.956;0;;
;;;;;;;;;
Fuente: INEC 2014;;;;;;;;;
