;;;;;;;;;INDICE;;
;;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;;;;;
TABLA 51. NÚMERO DE AVES CRIADAS EN PLANTELES AVÍCOLAS POR ESPECIES, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;;;
;;;;;;;;;;;
REGIÓN Y PROVINCIA;TOTAL;AVES CRIADAS EN PLANTELES AVÍCOLAS;;;;;;;;;
;;Gallinas Ponedoras;Gallinas Reproductoras;Pollitos, Pollitas, Pollos, Pollas;Avestruces;Pavos;Codornices;;;;
;;;;;;;;;;;
;;;;;;;;;;;
TOTAL NACIONAL;67.143.431;8.916.554;1.721.048;55.575.960;5.078;440.330;484.461;;;;
;;;;;;;;;;;
REGIÓN SIERRA;40.419.265;7.986.962;853.273;31.128.559;5.000;414.127;31.343;;;;
REGIÓN COSTA;19.044.630;921.096;616.558;17.027.579;78;26.203;453.118;;;;
REGIÓN ORIENTAL;7.555.517;8.496;131.218;7.415.803;.;.;.;;;;
ZONAS NO DELIMITADAS;124.020;.;120.000;4.020;.;.;.;;;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
;;;;;;;;;;;
AZUAY;1.172.231;24.000;12.000;1.111.688;.;.;24.543;;;;
BOLÍVAR;44.048;.;.;44.048;.;.;.;;;;
CAÑAR;277.300;.;.;277.300;.;.;.;;;;
CARCHI;3.453.660;32.554;20.000;3.282.106;.;119.000;.;;;;
COTOPAXI;3.501.232;1.729.600;13.078;1.751.944;5.000;1.609;.;;;;
CHIMBORAZO;2.356.509;127.736;329.000;1.899.773;.;.;.;;;;
IMBABURA;8.498.424;.;127.315;8.301.109;.;70.000;.;;;;
LOJA;248.463;6.000;.;242.463;0;.;.;;;;
PICHINCHA;9.542.577;1.235.828;289.670;7.838.579;.;178.500;.;;;;
TUNGURAHUA;7.228.442;4.797.245;57.090;2.374.089;0;18;0;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;4.096.379;34.000;5.120;4.005.459;.;45.000;6.800;;;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
;;;;;;;;;;;
EL ORO;6.965.218;101.000;.;6.411.141;.;.;453.078;;;;
ESMERALDAS;52.354;.;.;52.354;.;.;.;;;;
GUAYAS;8.984.002;29.025;366.088;8.588.811;78;.;0;;;;
LOS RÍOS;447.847;54;90.000;357.550;.;203;40;;;;
MANABÍ;2.345.209;791.017;160.470;1.393.723;.;.;.;;;;
SANTA ELENA;250.000;.;.;224.000;.;26.000;.;;;;
;;;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;;;
;;;;;;;;;;;
MORONA SANTIAGO;29.357;53;899;28.405;.;.;.;;;;
NAPO;109.327;.;101.811;7.516;.;.;.;;;;
ORELLANA;14.665;8.000;.;6.665;.;.;.;;;;
PASTAZA;7.348.017;238;28.505;7.319.274;.;.;.;;;;
SUCUMBÍOS;130;.;.;130;.;.;.;;;;
ZAMORA CHINCHIPE;54.022;205;3;53.814;.;.;.;;;;
ZONAS NO DELIMITADAS;124.020;.;120.000;4.020;.;.;.;;;;
;;;;;;;;;;;
Fuente: INEC 2014;;;;;;;;;;;
