;;;;;;;;;;;INDICE
;;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;;;;;
TABLA 1. SUPERFICIE POR CATEGORÍAS DE USO DEL SUELO, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;;;
;;;;;;;;;;;
REGIÓN Y PROVINCIA; USO DEL SUELO (Has.) ;;;;;;;;;;
; TOTAL ; CULTIVOS PERMANENTES ; CULTIVOS TRANSITORIOS Y BARBECHO ; DESCANSO ; PASTOS CULTIVADOS ; PASTOS NATURALES ; PÁRAMOS ; MONTES Y BOSQUES ; OTROS USOS ;;
;;;;;;;;;;;
;;;;;;;;;;;
TOTAL NACIONAL; 12.201.254 ; 1.417.104 ; 876.498 ; 93.574 ; 2.259.447 ; 828.333 ; 499.258 ; 5.758.859 ; 468.180 ;;
;;;;;;;;;;;
REGIÓN SIERRA; 3.760.020 ; 242.612 ; 283.315 ; 39.058 ; 642.292 ; 517.835 ; 434.898 ; 1.463.281 ; 136.730 ;;
REGIÓN COSTA; 4.627.014 ; 978.485 ; 549.193 ; 46.911 ; 1.279.688 ; 195.650 ; 8.423 ; 1.369.143 ; 199.521 ;;
REGIÓN ORIENTAL; 3.753.595 ; 166.588 ; 40.772 ; 7.366 ; 328.134 ; 113.864 ; 55.937 ; 2.915.657 ; 125.276 ;;
ZONAS NO DELIMITADAS; 60.625 ; 29.420 ; 3.218 ; 239 ; 9.333 ; 985 ; . ; 10.778 ; 6.653 ;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
;;;;;;;;;;;
AZUAY; 533.022 ; 6.755 ; 17.427 ; 2.904 ; 30.500 ; 132.654 ; 62.171 ; 265.736 ; 14.875 ;;
BOLÍVAR; 278.777 ; 27.631 ; 30.879 ; 437 ; 123.946 ; 10.688 ; 1.376 ; 72.348 ; 11.473 ;;
CAÑAR; 217.898 ; 27.557 ; 11.438 ; 1.351 ; 20.112 ; 68.003 ; 9.435 ; 71.877 ; 8.126 ;;
CARCHI; 193.932 ; 6.557 ; 18.821 ; 1.324 ; 32.275 ; 20.358 ; 15.300 ; 94.160 ; 5.137 ;;
COTOPAXI; 389.897 ; 24.041 ; 48.859 ; 7.634 ; 71.079 ; 46.058 ; 65.904 ; 111.605 ; 14.718 ;;
CHIMBORAZO; 384.706 ; 2.734 ; 41.949 ; 7.337 ; 39.658 ; 51.710 ; 95.123 ; 124.771 ; 21.424 ;;
IMBABURA; 303.160 ; 20.594 ; 22.948 ; 4.738 ; 24.099 ; 24.905 ; 53.322 ; 138.827 ; 13.729 ;;
