;;;;;;INDICE;;;
;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;;;
TABLA 49. NÚMERO DE CABEZAS DE GANADO DE OTRAS ESPECIES, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;
;;;;;;;;;
REGIÓN Y PROVINCIA;GANADO DE OTRAS ESPECIES (machos y hembras de toda edad);;;;;;;;
;Asnal;Caballar;Mular;Caprino;;;;;
;;;;;;;;;
TOTAL NACIONAL;84.785;283.714;98.259;20.793;;;;;
;;;;;;;;;
REGIÓN SIERRA;60.186;136.441;24.943;15.762;;;;;
REGIÓN COSTA;23.419;107.628;67.345;3.763;;;;;
REGIÓN ORIENTAL;1.005;37.592;4.919;1.268;;;;;
ZONAS NO DELIMITADAS;175;2.053;1.052;0;;;;;
;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;
;;;;;;;;;
AZUAY;978;30.786;3.275;1.867;;;;;
BOLÍVAR;1.655;9.591;5.911;232;;;;;
CAÑAR;993;8.406;1.318;125;;;;;
CARCHI;1.325;6.447;120;414;;;;;
COTOPAXI;15.382;15.392;2.636;894;;;;;
CHIMBORAZO;20.162;15.871;1.453;3.391;;;;;
IMBABURA;1.275;10.120;976;1.719;;;;;
LOJA;12.321;8.371;3.800;4.536;;;;;
PICHINCHA;1.036;19.908;1.757;1.247;;;;;
TUNGURAHUA;4.514;7.410;363;1.332;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;545;4.044;3.317;7;;;;;
;;;;;;;;;
REGIÓN COSTA;;;;;;;;;
;;;;;;;;;
EL ORO;845;5.567;2.180;610;;;;;
ESMERALDAS;1.236;20.598;19.216;124;;;;;
GUAYAS;1.959;21.406;2.946;2.164;;;;;
LOS RÍOS;1.395;12.739;3.131;250;;;;;
MANABÍ;17.763;46.410;39.602;284;;;;;
SANTA ELENA;221;1.005;286;330;;;;;
;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;
;;;;;;;;;
MORONA SANTIAGO;59;18.975;756;134;;;;;
NAPO;123;2.062;692;.;;;;;
ORELLANA;94;3.673;636;25;;;;;
PASTAZA;1;2.631;29;2;;;;;
SUCUMBÍOS;269;6.856;1.890;1.054;;;;;
ZAMORA CHINCHIPE;459;3.395;916;53;;;;;
ZONAS NO DELIMITADAS;175;2053;1052;0;;;;;
;;;;;;;;;
Fuente: INEC 2014;;;;;;;;;
