;;;;;;;;;;;;;;INDICE;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;;;;;;;;;;;;;;;;;;
TABLA 56. NÚMERO DE TRABAJADORES NO REMUNERADOS Y REMUNERADOS POR SEXO, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
REGIÓN Y PROVINCIA;TOTAL;;;NÚMERO DE TRABAJADORES;;;;;;;;;;;;;;;;;;;;
;;;;SIN REMUNERACIÓN;;;TRABAJADORES REMUNERADOS;;;;;;;;;;;;;;;;;
;;;;PERSONA PRODUCTORA Y/O FAMILIARES;;;PERMANENTES;;;OCASIONALES;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;Total;Hombres;Mujeres;Subtotal;Hombres;Mujeres;Subtotal;Hombres;Mujeres;Subtotal;Hombres;Mujeres;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
LOS RÍOS; 219.054 ; 169.533 ; 49.521 ; 115.319 ; 73.813 ; 41.507 ; 62.119 ; 56.754 ; 5.366 ; 41.615 ; 38.967 ; 2.648 ;;;;;;;;;;;;
MANABÍ; 214.121 ; 157.880 ; 56.241 ; 165.486 ; 110.887 ; 54.599 ; 14.785 ; 13.895 ; 890 ; 33.850 ; 33.098 ; 753 ;;;;;;;;;;;;
SANTA ELENA; 4.508 ; 4.036 ; 473 ; 2.583 ; 2.189 ; 393 ; 1.319 ; 1.282 ; 36 ; 607 ; 564 ; 43 ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
MORONA SANTIAGO; 55.227 ; 24.557 ; 30.670 ; 53.185 ; 22.811 ; 30.374 ; 812 ; 517 ; 296 ; 1.229 ; 1.229 ; -   ;;;;;;;;;;;;
NAPO; 27.440 ; 18.453 ; 8.986 ; 25.214 ; 16.433 ; 8.782 ; 858 ; 655 ; 203 ; 1.367 ; 1.365 ; 2 ;;;;;;;;;;;;
ORELLANA; 32.025 ; 23.953 ; 8.072 ; 24.743 ; 17.326 ; 7.416 ; 4.343 ; 4.154 ; 189 ; 2.940 ; 2.473 ; 467 ;;;;;;;;;;;;
PASTAZA; 7.768 ; 5.103 ; 2.665 ; 7.012 ; 4.514 ; 2.498 ; 549 ; 402 ; 146 ; 207 ; 187 ; 20 ;;;;;;;;;;;;
SUCUMBÍOS; 59.482 ; 39.559 ; 19.922 ; 51.398 ; 31.743 ; 19.655 ; 4.662 ; 4.505 ; 157 ; 3.422 ; 3.311 ; 111 ;;;;;;;;;;;;
ZAMORA CHINCHIPE; 11.670 ; 7.082 ; 4.588 ; 10.901 ; 6.422 ; 4.479 ; 183 ; 118 ; 65 ; 586 ; 542 ; 44 ;;;;;;;;;;;;
ZONAS NO DELIMITADAS; 12.326 ; 9.580 ; 2.746 ; 7.994 ; 5.343 ; 2.651 ; 1.857 ; 1.762 ; 95 ; 2.475 ; 2.475 ; -   ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Fuente: INEC 2014;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
