;;;;;;;INDICE;
;;;;;;;;
;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;;
TABLA 21. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;
PLÁTANO (Fruta fresca);;;;;;;;
;;;;;;;;
REGIÓN Y PROVINCIA;;SUPERFICIE (Has.);;"PRODUCCIÓN 
(Tm.)";"VENTAS 
(Tm.)";;;
;;Plantada;Cosechada;;;;;
;;;;;;;;
TOTAL NACIONAL;;131.340;104.574;761.226;641.305;;;
;;;;;;;;
REGIÓN SIERRA;;24.067;21.401;143.049;121.572;;;
REGIÓN COSTA;;80.113;63.675;454.178;391.528;;;
REGIÓN ORIENTAL;;25.374;17.783;154.059;119.399;;;
ZONAS NO DELIMITADAS;;1.786;1.715;9.939;8.806;;;
;;;;;;;;
REGIÓN SIERRA;;;;;;;;
;;;;;;;;
AZUAY;Solo;44;26;232;.;;;
;Asociado;175;64;191;115;;;
BOLÍVAR;Solo;992;869;7.991;5.753;;;
;Asociado;1.052;977;7.154;6.534;;;
CAÑAR;Solo;47;47;107;96;;;
;Asociado;.;.;.;.;;;
CARCHI;Solo;856;606;3.551;2.322;;;
;Asociado;135;119;205;157;;;
COTOPAXI;Solo;386;280;1.978;943;;;
;Asociado;946;649;2.388;2.087;;;
CHIMBORAZO;Solo;8;8;30;.;;;
;Asociado;.;.;.;.;;;
IMBABURA;Solo;702;678;6091;3187;;;
;Asociado;244;244;1214;175;;;
LOJA;Solo;.;.;.;.;;;
;Asociado;82;82;198;75;;;
PICHINCHA;Solo; 1.201 ; 625 ; 4.058 ; 1.418 ;;;
;Asociado; 99 ; . ; . ; . ;;;
TUNGURAHUA;Solo; . ; . ; . ; . ;;;
;Asociado; . ; . ; . ; . ;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;12.607;11.800;86.133;78.115;;;
;Asociado;4.492;4.327;21.529;20.595;;;
;;;;;;;;
REGIÓN COSTA;;;;;;;;
;;;;;;;;
EL ORO;Solo;391;141;685;47;;;
;Asociado;340;95;901;628;;;
ESMERALDAS;Solo;5.135;2.747;20.294;14.388;;;
;Asociado;3.979;3.133;17.836;4.505;;;
GUAYAS;Solo;2.186;1.607;11.320;8.776;;;
;Asociado;7.069;6.549;24.307;20.980;;;
LOS RÍOS;Solo;4.212;3.182;30.603;26.555;;;
;Asociado;8.515;5.054;35.333;31.674;;;
MANABÍ;Solo;35.376;30.655;248.821;226.745;;;
;Asociado;12.006;10.217;60.240;54.063;;;
SANTA ELENA;Solo;625;18;157;99;;;
;Asociado;278;278;3.681;3.068;;;
;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;
;;;;;;;;
MORONA SANTIAGO;Solo;5.698;4.927;62.405;52.195;;;
;Asociado;1.324;1.056;14.560;10.451;;;
NAPO;Solo;1.858;1.020;7.072;5.347;;;
;Asociado;2.183;1.100;5.068;3.671;;;
ORELLANA;Solo;2.343;1.441;9.500;7.332;;;
;Asociado;1.736;1.205;21.591;20.887;;;
PASTAZA;Solo;1.513;1.205;4.744;1.179;;;
;Asociado;.;.;.;.;;;
SUCUMBÍOS;Solo;4.799;3.814;17.119;11.886;;;
;Asociado;2.173;716;1.974;589;;;
ZAMORA CHINCHIPE;Solo;1.375;969;7.720;4.185;;;
;Asociado;372;329;2.306;1.677;;;
ZONAS NO DELIMITADAS;Solo; 817 ; 754 ; 4.759 ; 4.131 ;;;
;Asociado; 968 ; 961 ; 5.180 ; 4.674 ;;;
;;;;;;;;
Fuente: INEC 2014;;;;;;;;
