;;;;;;;;;;;INDICE
;;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;;;;;
TABLA 44. NÚMERO DE CABEZAS DE GANADO VACUNO PERDIDAS POR OTRAS CAUSAS, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;;;
;;;;;;;;;;;
REGIÓN Y PROVINCIA;TOTAL;NÚMERO DE CABEZAS PERDIDAS POR OTRAS CAUSAS;;;;;;;;;
;;Subtotal;MACHOS;;;Subtotal;HEMBRAS;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros);;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;
;;;;;;;;;;;
;;;;;;;;;;;
TOTAL NACIONAL;20.048;5.442;1.691;2.354;1.397;14.606;1.491;5.326;7.789;;
;;;;;;;;;;;
REGIÓN SIERRA; 7.636 ; 2.610 ; 741 ; 864 ; 1.005 ; 5.026 ; 555 ; 1.756 ; 2.715 ;;
REGIÓN COSTA; 9.906 ; 2.356 ; 689 ; 1.335 ; 331 ; 7.550 ; 286 ; 2.336 ; 4.928 ;;
REGIÓN ORIENTAL; 2.506 ; 477 ; 260 ; 155 ; 62 ; 2.029 ; 650 ; 1.233 ; 146 ;;
ZONAS NO DELIMITADAS; . ; . ; . ; . ; . ; . ; . ; . ; . ;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
;;;;;;;;;;;
AZUAY; 1.016 ; 311 ; 2 ; 35 ; 274 ; 705 ; 150 ; 275 ; 280 ;;
BOLÍVAR; 237 ; 161 ; 48 ; 113 ; . ; 76 ; 4 ; 15 ; 56 ;;
CAÑAR; 62 ; . ; . ; . ; . ; 62 ; 58 ; 4 ; . ;;
CARCHI; 465 ; 175 ; 49 ; 26 ; 100 ; 291 ; 62 ; 34 ; 195 ;;
COTOPAXI; 912 ; 462 ; 6 ; 318 ; 138 ; 449 ; 109 ; 95 ; 245 ;;
CHIMBORAZO; 378 ; 164 ; 74 ; 69 ; 21 ; 213 ; 30 ; 73 ; 111 ;;
IMBABURA; 531 ; 194 ; 136 ; -   ; 58 ; 337 ; 19 ; 179 ; 139 ;;
LOJA; 813 ; 281 ; 117 ; 11 ; 152 ; 532 ; -   ; 150 ; 382 ;;
PICHINCHA; 2.050 ; 424 ; 155 ; 69 ; 200 ; 1.626 ; 62 ; 676 ; 888 ;;
TUNGURAHUA; 564 ; 226 ; 132 ; 61 ; 33 ; 338 ; 39 ; 137 ; 161 ;;
SANTO DOMINGO DE LOS TSÁCHILAS; 608 ; 213 ; 22 ; 162 ; 28 ; 395 ; 21 ; 116 ; 258 ;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
;;;;;;;;;;;
EL ORO; 229 ; 109 ; 84 ; 23 ; 2 ; 120 ; 4 ; 44 ; 72 ;;
ESMERALDAS; 1.554 ; 583 ; 187 ; 253 ; 143 ; 970 ; 43 ; 192 ; 735 ;;
GUAYAS; 1.144 ; 296 ; 3 ; 218 ; 75 ; 848 ; 13 ; 154 ; 681 ;;
LOS RÍOS; 322 ; 57 ; 2 ; 55 ; . ; 265 ; 33 ; 53 ; 178 ;;
MANABÍ; 6.639 ; 1.306 ; 411 ; 784 ; 110 ; 5.333 ; 193 ; 1.892 ; 3.248 ;;
SANTA ELENA; 18 ; 5 ; 2 ; 3 ; . ; 13 ; . ; . ; 13 ;;
;;;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;;;
;;;;;;;;;;;
MORONA SANTIAGO; 841 ; 10 ; 10 ; 0 ; . ; 831 ; 617 ; 192 ; 22 ;;
NAPO; 969 ; 20 ; 1 ; 1 ; 18 ; 950 ; . ; 867 ; 83 ;;
ORELLANA; 86 ; 34 ; 14 ; 20 ; . ; 52 ; 5 ; 18 ; 29 ;;
PASTAZA; 55 ; 34 ; 21 ; 13 ; . ; 21 ; 8 ; . ; 13 ;;
SUCUMBÍOS; 314 ; 280 ; 214 ; 24 ; 42 ; 34 ; 19 ; 15 ; . ;;
ZAMORA CHINCHIPE; 241 ; 100 ; . ; 98 ; 2 ; 142 ; . ; 142 ; . ;;
ZONAS NO DELIMITADAS; . ; . ; . ; . ; . ; . ; . ; . ; . ;;
;;;;;;;;;;;
Fuente: INEC 2014;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
