;;;;;;;;;;;INDICE
;;;;;;;;;;;
;;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;;;;;
TABLA 8. SUPERFICIE SEMBRADA POR TIPO DE SEMILLA UTILIZADA Y PRÁCTICA DE CULTIVO, SEGÚN CULTIVOS TRANSITORIOS;;;;;;;;;;;
;;;;;;;;;;;
CULTIVOS TRANSITORIOS;;SUPERFICIE SEMBRADA (Has.);;;;;;;;;
;;TIPO DE SEMILLA;;;;;PRÁCTICA DE CULTIVO;;;;
;;Común;Mejorada;Certificada;Híbrida Nacional;Híbrida Internacional;Riego;Aplicación de Fertilizantes;Aplicación de Fitosanitarios;;
;;;;;;;;;;;
TOTAL NACIONAL;Solo;439.306;225.161;336.644;12.407;8.311;368.531;872.308;861.205;;
;Asociado;114.638;8.464;10.361;459;142;19.574;64.349;43.575;;
;;;;;;;;;;;
ARROZ (EN CÁSCARA);Solo;160.397;100.655;111.769;2.938;61;239.268;365.924;363.324;;
;Asociado;.;.;.;.;.;.;.;.;;
ARVEJA SECA (GRANO SECO);Solo;1.753;.;147;.;.;642;1.065;1.031;;
;Asociado;482;.;3;.;.;59;136;107;;
ARVEJA TIERNA (EN VAINA);Solo;3.591;2.607;632;.;.;3.821;3.664;4.283;;
;Asociado;878;260;8;.;.;234;589;300;;
BRÓCOLI (REPOLLO);Solo;91;1.291;4.939;189;354;6.845;6.860;6.762;;
;Asociado;3;.;.;.;.;3;3;3;;
CEBADA (GRANO SECO);Solo;13.498;2.058;786;4;.;3.191;7.862;4.254;;
;Asociado;.;.;.;.;.;.;.;.;;
FRÉJOL SECO (GRANO SECO);Solo;7.598;672;227;.;.;1.613;3.530;3.704;;
;Asociado;19.767;1.172;151;7;.;1.987;9.343;4.897;;
FRÉJOL TIERNO (EN VAINA);Solo;8.112;1.008;376;2;.;4.328;6.381;7.267;;
;Asociado;9.293;667;27;.;.;1.608;5.447;3.368;;
HABA SECA (GRANO SECO);Solo;2.749;184;25;.;.;370;1.951;1.798;;
;Asociado;4.465;231;49;.;.;506;1.807;525;;
HABA TIERNA (EN VAINA);Solo;7.109;989;69;98;.;2.601;4.690;5.237;;
;Asociado;3.922;122;24;.;.;829;1.640;633;;
MAÍZ DURO CHOCLO (EN CHOCLO);Solo;2.380;2.408;795;50;.;2.705;3.970;3.870;;
;Asociado;3.299;1.046;703;.;20;557;2.503;2.919;;
MAÍZ DURO SECO (GRANO SECO);Solo;69.845;90.606;195.525;7.297;6.476;40.551;325.415;332.167;;
;Asociado;14.986;3.780;8.659;229;120;4.214;17.218;18.277;;
MAÍZ SUAVE CHOCLO (EN CHOCLO);Solo;19.674;1.812;594;111;78;7.062;18.065;16.448;;
;Asociado;19.429;490;37;.;.;3.885;9.566;4.135;;
MAÍZ SUAVE SECO (GRANO SECO);Solo;33.645;628;900;77;1;5.277;19.440;13.643;;
;Asociado;27.208;376;65;7;.;4.598;12.774;5.022;;
PAPA (TUBÉRCULO FRESCO);Solo;28.965;3.099;1.215;50;.;11.017;24.863;22.572;;
;Asociado;606;78;.;.;.;250;520;309;;
SOYA (GRANO SECO);Solo;17.543;4.892;5.853;.;.;8.259;24.998;27.650;;
;Asociado;.;.;.;.;.;.;.;.;;
TOMATE RIÑÓN (FRUTA FRESCA);Solo;698;553;504;275;650;2.599;2.492;2.508;;
;Asociado;224;38;20;.;.;148;282;282;;
TRIGO (GRANO SECO);Solo;5.151;75;941;.;.;608;4.586;2.892;;
;Asociado;.;.;.;.;.;.;.;.;;
YUCA (RAÍZ FRESCA);Solo;12.852;466;1.216;108;.;2.085;4.321;4.959;;
;Asociado;4.334;13;301;.;.;98;962;1.463;;
OTROS TRANSITORIOS;Solo;43.653;11.157;10.131;1.209;692;25.689;42.232;36.837;;
;Asociado;5.742;190;315;216;3;599;1.561;1.334;;
;;;;;;;;;;;
Fuente: INEC 2014;;;;;;;;;;;
