;;;;;;;INDICE
;;;;;;;
;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;
TABLA 14. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA;;;;;;;
CAFÉ (Grano Oro);;;;;;;
;;;;;;;
REGIÓN Y PROVINCIA;;SUPERFICIE (Has.);;"PRODUCCIÓN 
(Tm.)";"VENTAS 
(Tm.)";;
;;Plantada;Cosechada;;;;
;;;;;;;
TOTAL NACIONAL;;67.872;35.483;4.225;3.923;;
;;;;;;;
REGIÓN SIERRA;;8.234;3.929;623;542;;
REGIÓN COSTA;;40.202;17.279;1.019;931;;
REGIÓN ORIENTAL;;19.340;14.181;2.571;2.438;;
ZONAS NO DELIMITADAS;;96;94;12;12;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
;;;;;;;
AZUAY;Solo;18;9;4;.;;
;Asociado;.;.;.;.;;
BOLÍVAR;Solo;221;56;5;4;;
;Asociado;202;93;12;12;;
CAÑAR;Solo;2;2;0;0;;
;Asociado;11;11;0;.;;
CARCHI;Solo;462;44;16;14;;
;Asociado;228;219;6;6;;
COTOPAXI;Solo;235;108;12;12;;
;Asociado;638;623;63;63;;
CHIMBORAZO;Solo;.;.;.;.;;
;Asociado;.;.;.;.;;
IMBABURA;Solo;90;55;15;10;;
;Asociado;86;64;14;14;;
LOJA;Solo;2.843;1.133;124;82;;
;Asociado;1.242;729;254;229;;
PICHINCHA;Solo; 698 ; 37 ; 30 ; 30 ;;
;Asociado; 353 ; 140 ; 8 ; 8 ;;
TUNGURAHUA;Solo; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;809;607;59;59;;
;Asociado;93;.;.;.;;
;;;;;;;
REGIÓN COSTA;;;;;;;
;;;;;;;
EL ORO;Solo;427;237;9;4;;
;Asociado;435;185;31;17;;
ESMERALDAS;Solo;87;1;0;0;;
;Asociado;.;.;.;.;;
GUAYAS;Solo;1.204;839;30;20;;
;Asociado;1.206;686;24;24;;
LOS RÍOS;Solo;964;863;280;274;;
;Asociado;902;741;30;26;;
MANABÍ;Solo;31.407;11.286;517;477;;
;Asociado;3.570;2.440;98;89;;
SANTA ELENA;Solo;.;.;.;.;;
;Asociado;.;.;.;.;;
;;;;;;;
REGIÓN ORIENTAL;;;;;;;
;;;;;;;
MORONA SANTIAGO;Solo;144;48;1;1;;
;Asociado;.;.;.;.;;
NAPO;Solo;1.538;1.299;174;174;;
;Asociado;632;534;38;38;;
ORELLANA;Solo;6.030;4.186;1.371;1.248;;
;Asociado;1.070;728;57;57;;
PASTAZA;Solo;.;.;.;.;;
;Asociado;.;.;.;.;;
SUCUMBÍOS;Solo;8.235;6.241;765;759;;
;Asociado;784;521;22;22;;
ZAMORA CHINCHIPE;Solo;658;556;127;127;;
;Asociado;248;68;16;12;;
ZONAS NO DELIMITADAS;Solo;72;72;11;11;;
;Asociado;24;22;0;0;;
;;;;;;;
Fuente: INEC 2014;;;;;;;
