;;;;;;;;;INDICE
;;;;;;;;;
;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;;;
TABLA 10. NÚMERO DE CABEZAS DE GANADO POR ESPECIES, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;
;;;;;;;;;
REGIÓN Y PROVINCIA;NÚMERO TOTAL DE CABEZAS (Machos y Hembras);;;;;;;;
;Vacuno;Porcino;Ovino;Asnal;Caballar;Mular;Caprino;;
;;;;;;;;;
TOTAL NACIONAL;4.579.374;1.910.319;619.366;84.785;283.714;98.259;20.793;;
;;;;;;;;;
REGIÓN SIERRA;2.345.101;1.130.653;588.835;60.186;136.441;24.943;15.762;;
REGIÓN COSTA;1.795.817;479.658;28.725;23.419;107.628;67.345;3.763;;
REGIÓN ORIENTAL;418.853;294.167;1.805;1.005;37.592;4.919;1.268;;
ZONAS NO DELIMITADAS;19.604;5.841;1;175;2.053;1.052;0;;
;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;
;;;;;;;;;
AZUAY; 578.615 ; 203.909 ; 84.054 ; 978 ; 30.786 ; 3.275 ; 1.867 ;;
BOLÍVAR; 137.591 ; 38.704 ; 28.506 ; 1.655 ; 9.591 ; 5.911 ; 232 ;;
CAÑAR; 158.269 ; 48.625 ; 57.379 ; 993 ; 8.406 ; 1.318 ; 125 ;;
CARCHI; 101.319 ; 32.208 ; 2.391 ; 1.325 ; 6.447 ; 120 ; 414 ;;
COTOPAXI; 241.883 ; 91.432 ; 192.200 ; 15.382 ; 15.392 ; 2.636 ; 894 ;;
CHIMBORAZO; 306.009 ; 78.973 ; 127.876 ; 20.162 ; 15.871 ; 1.453 ; 3.391 ;;
IMBABURA; 125.953 ; 69.519 ; 36.760 ; 1.275 ; 10.120 ; 976 ; 1.719 ;;
LOJA; 162.687 ; 35.409 ; 8.857 ; 12.321 ; 8.371 ; 3.800 ; 4.536 ;;
PICHINCHA; 255.832 ; 380.616 ; 14.615 ; 1.036 ; 19.908 ; 1.757 ; 1.247 ;;
TUNGURAHUA; 131.952 ; 68.323 ; 35.677 ; 4.514 ; 7.410 ; 363 ; 1.332 ;;
SANTO DOMINGO DE LOS TSÁCHILAS; 144.992 ; 82.934 ; 522 ; 545 ; 4.044 ; 3.317 ; 7 ;;
;;;;;;;;;
REGIÓN COSTA;;;;;;;;;
;;;;;;;;;
EL ORO; 135.866 ; 152.585 ; 4.480 ; 845 ; 5.567 ; 2.180 ; 610 ;;
ESMERALDAS; 224.170 ; 30.807 ; 875 ; 1.236 ; 20.598 ; 19.216 ; 124 ;;
GUAYAS; 241.964 ; 114.649 ; 8.056 ; 1.959 ; 21.406 ; 2.946 ; 2.164 ;;
LOS RÍOS; 114.358 ; 43.189 ; 2.612 ; 1.395 ; 12.739 ; 3.131 ; 250 ;;
MANABÍ; 1.068.999 ; 130.456 ; 1.244 ; 17.763 ; 46.410 ; 39.602 ; 284 ;;
SANTA ELENA; 10.460 ; 7.972 ; 11.458 ; 221 ; 1.005 ; 286 ; 330 ;;
;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;
;;;;;;;;;
MORONA SANTIAGO; 170.603 ; 258.273 ; 1.262 ; 59 ; 18.975 ; 756 ; 134 ;;
NAPO; 50.421 ; 1.032 ; . ; 123 ; 2.062 ; 692 ; . ;;
ORELLANA; 43.584 ; 10.023 ; 75 ; 94 ; 3.673 ; 636 ; 25 ;;
PASTAZA; 15.765 ; 5.189 ; 76 ; 1 ; 2.631 ; 29 ; 2 ;;
SUCUMBÍOS; 71.839 ; 12.095 ; 72 ; 269 ; 6.856 ; 1.890 ; 1.054 ;;
ZAMORA CHINCHIPE; 66.642 ; 7.555 ; 320 ; 459 ; 3.395 ; 916 ; 53 ;;
ZONAS NO DELIMITADAS; 19.604 ; 5.841 ; 1 ; 175 ; 2.053 ; 1.052 ; -   ;;
;;;;;;;;;
Fuente: INEC 2014;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
