;;;;;;;;;;;INDICE
;;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;;;;;
TABLA 42. NÚMERO DE CABEZAS DE GANADO VACUNO COMPRADAS, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;;;
;;;;;;;;;;;
REGIÓN Y PROVINCIA;TOTAL;NÚMERO DE CABEZAS COMPRADAS;;;;;;;;;
;;Subtotal;MACHOS;;;Subtotal;HEMBRAS;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros);;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;
;;;;;;;;;;;
;;;;;;;;;;;
TOTAL NACIONAL;251.186;148.041;54.630;77.116;16.294;103.145;19.023;45.992;38.130;;
;;;;;;;;;;;
REGIÓN SIERRA; 148.292 ; 91.834 ; 39.568 ; 44.378 ; 7.888 ; 56.458 ; 12.307 ; 25.999 ; 18.151 ;;
REGIÓN COSTA; 84.340 ; 46.971 ; 13.013 ; 26.795 ; 7.163 ; 37.369 ; 5.454 ; 13.980 ; 17.934 ;;
REGIÓN ORIENTAL; 17.957 ; 8.802 ; 1.625 ; 5.934 ; 1.243 ; 9.155 ; 1.261 ; 5.917 ; 1.977 ;;
ZONAS NO DELIMITADAS; 597 ; 433 ; 425 ; 9 ; . ; 163 ; . ; 96 ; 67 ;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
;;;;;;;;;;;
AZUAY; 16.882 ; 8.035 ; 3.363 ; 3.288 ; 1.384 ; 8.847 ; 665 ; 4.763 ; 3.419 ;;
BOLÍVAR; 5.370 ; 3.241 ; 1.191 ; 1.716 ; 334 ; 2.128 ; 381 ; 965 ; 782 ;;
CAÑAR; 6.735 ; 3.497 ; 377 ; 912 ; 2.207 ; 3.238 ; 195 ; 1.183 ; 1.860 ;;
CARCHI; 12.037 ; 5.392 ; 2.638 ; 2.583 ; 171 ; 6.646 ; 1.113 ; 3.470 ; 2.063 ;;
COTOPAXI; 31.940 ; 24.850 ; 11.910 ; 12.706 ; 234 ; 7.090 ; 2.869 ; 2.184 ; 2.037 ;;
CHIMBORAZO; 16.368 ; 7.783 ; 3.016 ; 3.971 ; 797 ; 8.585 ; 2.974 ; 4.036 ; 1.575 ;;
IMBABURA; 12.206 ; 10.368 ; 5.485 ; 4.351 ; 532 ; 1.838 ; 745 ; 605 ; 488 ;;
LOJA; 5.645 ; 2.964 ; 616 ; 1.832 ; 515 ; 2.682 ; 331 ; 1.579 ; 771 ;;
