;;;;;;;INDICE;
;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;;
TABLA 50. NÚMERO DE AVES CRIADAS EN EL CAMPO POR ESPECIES, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;
;;;;;;;;
REGIÓN Y PROVINCIA;TOTAL;AVES CRIADAS EN CAMPO;;;;;;
;;Gallos y gallinas;Pollitos, Pollitas, Pollos, Pollas;Patos;Pavos;;;
;;;;;;;;
;;;;;;;;
TOTAL NACIONAL;11.514.508;5.252.159;5.532.752;650.262;79.336;;;
;;;;;;;;
REGIÓN SIERRA;5.384.706;2.779.385;2.439.007;132.532;33.782;;;
REGIÓN COSTA;4.728.678;1.882.138;2.419.914;386.755;39.871;;;
REGIÓN ORIENTAL;1.284.562;537.692;615.777;126.013;5.080;;;
ZONAS NO DELIMITADAS;116.562;52.943;58.055;4.961;603;;;
;;;;;;;;
REGIÓN SIERRA;;;;;;;;
;;;;;;;;
AZUAY;917.977;542.604;358.114;14.084;3.175;;;
BOLÍVAR;424.313;181.838;226.321;15.065;1.088;;;
CAÑAR;709.301;359.856;328.927;17.866;2.652;;;
CARCHI;240.022;134.748;98.184;2.662;4.428;;;
COTOPAXI;616.185;311.241;275.775;22.613;6.556;;;
CHIMBORAZO;616.816;304.190;289.613;14.725;8.288;;;
IMBABURA;281.461;141.209;132.957;6.500;796;;;
LOJA;696.595;366.312;316.559;11.610;2.114;;;
PICHINCHA;271.392;141.102;122.012;7.016;1.262;;;
TUNGURAHUA;388.336;209.277;168.402;9.327;1.330;;;
SANTO DOMINGO DE LOS TSÁCHILAS;222.309;87.009;122.143;11.064;2.092;;;
;;;;;;;;
REGIÓN COSTA;;;;;;;;
;;;;;;;;
EL ORO;198.988;100.242;85.873;12.500;374;;;
ESMERALDAS;424.167;167.284;225.127;29.166;2.589;;;
GUAYAS;1.026.764;414.799;498.607;95.993;17.365;;;
LOS RÍOS;1.056.976;438.941;509.093;101.436;7.506;;;
MANABÍ;2.015.235;757.608;1.098.368;147.339;11.920;;;
SANTA ELENA;6.549;3.264;2.846;321;118;;;
;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;
;;;;;;;;
MORONA SANTIAGO;474.002;177.279;197.649;96.743;2.331;;;
NAPO;106.422;48.502;54.621;3.179;119;;;
ORELLANA;179.389;69.653;102.505;6.173;1.057;;;
PASTAZA;42.694;19.302;22.668;724;.;;;
SUCUMBÍOS;317.765;146.312;153.959;16.106;1.388;;;
ZAMORA CHINCHIPE;164.291;76.644;84.374;3.089;185;;;
ZONAS NO DELIMITADAS;116.562;52.943;58.055;4.961;603;;;
;;;;;;;;
Fuente: INEC 2014;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
