;;;;;;;;;;;INDICE
;;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;;;;;
TABLA 43. NÚMERO DE CABEZAS DE GANADO VACUNO PERDIDAS POR MUERTE, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;;;
;;;;;;;;;;;
REGIÓN Y PROVINCIA;TOTAL;NÚMERO DE CABEZAS PERDIDAS POR MUERTE;;;;;;;;;
;;Subtotal;MACHOS;;;Subtotal;HEMBRAS;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros);;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (vaconas);De 2 o más años de edad (Vacas);;
;;;;;;;;;;;
;;;;;;;;;;;
TOTAL NACIONAL;149.880;60.167;34.055;19.107;7.004;89.713;20.647;18.587;50.479;;
;;;;;;;;;;;
REGIÓN SIERRA; 88.070 ; 39.159 ; 21.805 ; 12.165 ; 5.189 ; 48.910 ; 10.751 ; 9.423 ; 28.736 ;;
REGIÓN COSTA; 40.387 ; 12.246 ; 7.314 ; 4.080 ; 853 ; 28.140 ; 6.396 ; 6.152 ; 15.592 ;;
REGIÓN ORIENTAL; 21.124 ; 8.633 ; 4.843 ; 2.828 ; 963 ; 12.491 ; 3.389 ; 2.998 ; 6.103 ;;
ZONAS NO DELIMITADAS; 300 ; 128 ; 94 ; 34 ; . ; 172 ; 112 ; 13 ; 47 ;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
;;;;;;;;;;;
AZUAY; 10.195 ; 5.882 ; 3.152 ; 1.455 ; 1.275 ; 4.313 ; 983 ; 1.465 ; 1.865 ;;
BOLÍVAR; 5.602 ; 2.173 ; 1.310 ; 562 ; 301 ; 3.429 ; 380 ; 635 ; 2.413 ;;
CAÑAR; 3.961 ; 1.542 ; 1.069 ; 253 ; 220 ; 2.419 ; 603 ; 678 ; 1.138 ;;
CARCHI; 4.949 ; 1.711 ; 1.217 ; 453 ; 42 ; 3.238 ; 663 ; 591 ; 1.984 ;;
COTOPAXI; 11.756 ; 5.559 ; 3.008 ; 1.529 ; 1.022 ; 6.196 ; 1.808 ; 684 ; 3.705 ;;
CHIMBORAZO; 14.036 ; 5.776 ; 4.032 ; 868 ; 875 ; 8.260 ; 1.471 ; 1.353 ; 5.437 ;;
IMBABURA; 11.642 ; 6.645 ; 1.647 ; 4.762 ; 235 ; 4.998 ; 982 ; 643 ; 3.373 ;;
LOJA; 4.172 ; 2.002 ; 1.290 ; 341 ; 371 ; 2.170 ; 376 ; 562 ; 1.232 ;;
