;;;;;;; INDICE ;;
;;;;;;;;;
;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;;;
TABLA 32. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;
MAÍZ DURO CHOCLO (En choclo);;;;;;;;;
;;;;;;;;;
REGIÓN Y PROVINCIA;;SUPERFICIE (Has.);;"PRODUCCIÓN 
(Tm.)";"VENTAS 
(Tm.)";;;;
;;Sembrada;Cosechada;;;;;;
;;;;;;;;;
TOTAL NACIONAL;;10.702;9.865;22.708;20.322;;;;
;;;;;;;;;
REGIÓN SIERRA;;3.406;3.268;10.739;10.161;;;;
REGIÓN COSTA;;4.313;3.760;9.081;8.377;;;;
REGIÓN ORIENTAL;;2.983;2.837;2.889;1.785;;;;
ZONAS NO DELIMITADAS;;.;.;.;.;;;;
;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;
;;;;;;;;;
AZUAY;Solo;8;8;45;.;;;;
;Asociado;74;67;11;.;;;;
BOLÍVAR;Solo;2;2;3;2;;;;
;Asociado;.;.;.;.;;;;
CAÑAR;Solo;.;.;.;.;;;;
;Asociado;57;53;37;7;;;;
CARCHI;Solo;267;267;1.214;1.214;;;;
;Asociado;.;.;.;.;;;;
COTOPAXI;Solo;.;.;.;.;;;;
;Asociado;258;258;72;.;;;;
CHIMBORAZO;Solo;23;.;.;.;;;;
;Asociado;13;13;10;.;;;;
IMBABURA;Solo;144;71;51;.;;;;
;Asociado;51;24;213;210;;;;
LOJA;Solo;2.330;2.330;8.801;8.517;;;;
;Asociado;75;75;33;.;;;;
PICHINCHA;Solo; 11 ; 8 ; 60 ; 24 ;;;;
;Asociado; . ; . ; . ; . ;;;;
TUNGURAHUA;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;73;73;185;183;;;;
;Asociado;20;20;5;5;;;;
;;;;;;;;;
REGIÓN COSTA;;;;;;;;;
;;;;;;;;;
EL ORO;Solo;58;47;61;.;;;;
;Asociado;180;180;59;18;;;;
ESMERALDAS;Solo;767;767;342;144;;;;
;Asociado;.;.;.;.;;;;
GUAYAS;Solo;64;64;212;209;;;;
;Asociado;16;16;16;15;;;;
LOS RÍOS;Solo;653;653;4.020;3.926;;;;
;Asociado;383;383;3.699;3.681;;;;
MANABÍ;Solo;378;373;346;259;;;;
;Asociado;1.754;1.217;199;.;;;;
SANTA ELENA;Solo;60;60;126;126;;;;
;Asociado;.;.;.;.;;;;
;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;
;;;;;;;;;
MORONA SANTIAGO;Solo;272;272;730;6;;;;
;Asociado;66;66;27;.;;;;
NAPO;Solo;131;131;111;105;;;;
;Asociado;114;114;64;.;;;;
ORELLANA;Solo;377;230;742;685;;;;
;Asociado;1.976;1.976;1.190;989;;;;
PASTAZA;Solo;16;16;10;.;;;;
;Asociado;32;32;14;.;;;;
SUCUMBÍOS;Solo;.;.;.;.;;;;
;Asociado;.;.;.;.;;;;
ZAMORA CHINCHIPE;Solo;.;.;.;.;;;;
;Asociado;.;.;.;.;;;;
ZONAS NO DELIMITADAS;Solo;.;.;.;.;;;;
;Asociado;.;.;.;.;;;;
;;;;;;;;;
Fuente: INEC 2014;;;;;;;;;
