;;;;;;;;;INDICE
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;;;
TABLA 57. SUPERFICIE PLANTADA CON PASTOS CULTIVADOS, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;
;;;;;;;;;
SUPERFICIE PLANTADA (Has.);;;;;;;;;
PROVINCIA Y REGIÓN;TOTAL;BRACHIARIA;GRAMALOTE;PASTO MIEL ;RAYGRASS;SABOYA;OTROS PASTOS CULTIVADOS;;
;;;;;;;;;
TOTAL NACIONAL; 2.374.505 ; 132.973 ; 167.519 ; 182.532 ; 104.475 ; 1.147.091 ; 639.915 ;;
;;;;;;;;;
REGIÓN SIERRA; 697.700 ; 66.284 ; 13.431 ; 107.284 ; 102.060 ; 57.898 ; 350.743 ;;
REGIÓN COSTA; 1.303.275 ; 55.707 ; 9.397 ; 37.222 ; 1.780 ; 1.062.789 ; 136.379 ;;
REGIÓN ORIENTAL; 363.719 ; 10.124 ; 143.856 ; 38.025 ; 634 ; 19.326 ; 151.753 ;;
ZONA NO DELIMITADA; 9.810 ; 858 ; 835 ; . ; . ; 7.078 ; 1.040 ;;
;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;
;;;;;;;;;
AZUAY; 33.746 ; 700 ; 8 ; 324 ; 4.998 ; . ; 27.717 ;;
BOLIVAR; 124.491 ; 12.054 ; 2.377 ; 17.009 ; 3.854 ; 12.597 ; 76.599 ;;
CAÑAR; 23.164 ; . ; 546 ; . ; 15.006 ; . ; 7.611 ;;
CARCHI; 33.290 ; . ; 4.274 ; 2.463 ; 15.895 ; 371 ; 10.287 ;;
COTOPAXI; 71.972 ; 223 ; . ; 13.838 ; 3.482 ; . ; 54.429 ;;
CHIMBORAZO; 39.690 ; 713 ; 431 ; 492 ; 6.308 ; 6 ; 31.740 ;;
IMBABURA; 30.733 ; 677 ; 1.619 ; 7.656 ; 2.049 ; 3.304 ; 15.427 ;;
LOJA; 35.499 ; . ; 421 ; 11.806 ; 46 ; 224 ; 23.002 ;;
PICHINCHA; 151.209 ; 9.607 ; 1.755 ; 29.685 ; 41.448 ; 5.745 ; 62.969 ;;
TUNGURAHUA; 29.842 ; . ; . ; . ; 8.974 ; . ; 20.867 ;;
SANTO DOMINGO DE LOS TSÁCHILAS; 124.066 ; 42.310 ; 1.999 ; 24.011 ; . ; 35.651 ; 20.094 ;;
;;;;;;;;;
REGIÓN COSTA;;;;;;;;;
;;;;;;;;;
EL ORO; 62.225 ; 2.392 ; 2.417 ; 35.505 ; 761 ; 2.393 ; 18.757 ;;
ESMERALDAS; 175.832 ; 34.063 ; 1.671 ; . ; 1.015 ; 105.295 ; 33.788 ;;
GUAYAS; 148.564 ; 14.006 ; 3.334 ; 470 ; . ; 92.110 ; 38.644 ;;
LOS RÍOS; 75.562 ; 4.258 ; 1.975 ; 1.247 ; . ; 39.150 ; 28.931 ;;
MANABÍ; 833.984 ; 971 ; . ; . ; 5 ; 817.234 ; 15.774 ;;
SANTA ELENA; 7.108 ; 15 ; . ; . ; . ; 6.608 ; 486 ;;
;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;
;;;;;;;;;
MORONA SANTIAGO; 119.681 ; 2.072 ; 84.515 ; 3.325 ; . ; . ; 29.769 ;;
NAPO; 53.110 ; . ; 873 ; 21.757 ; 425 ; . ; 30.055 ;;
ORELLANA; 36.748 ; . ; . ; . ; 3 ; 9.163 ; 27.582 ;;
PASTAZA; 21.718 ; . ; 19.041 ; 1.777 ; . ; . ; 899 ;;
SUCUMBÍOS; 55.514 ; 127 ; 3.716 ; 9.990 ; 207 ; 10.163 ; 31.311 ;;
ZAMORA CHINCHIPE; 76.948 ; 7.925 ; 35.711 ; 1.175 ; . ; . ; 32.137 ;;
ZONAS NO DELIMITADAS; 9.810 ; 858 ; 835 ; . ; . ; 7.078 ; 1.040 ;;
;;;;;;;;;
Fuente: INEC 2014;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
