;;;;;;;;INDICE
;;;;;;;;
;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;;
TABLA 2. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN CULTIVOS PERMANENTES;;;;;;;;
;;;;;;;;
CULTIVOS PERMANENTES;; SUPERFICIE (Has.)  ;;;" PRODUCCIÓN 
(Tm.) ";" VENTAS 
(Tm.) ";;
;; Plantada ; Edad Productiva ; Cosechada ;;;;
;;;;;;;;
TOTAL NACIONAL;Solo; 1.317.025 ; 1.110.683 ; 1.031.920 ; . ; . ;;
;Asociado; 201.074 ; 162.021 ; 147.866 ; . ; . ;;
;;;;;;;;
BANANO (FRUTA FRESCA);Solo; 181.886 ; 175.800 ; 173.586 ; 6.672.143 ; 6.480.384 ;;
;Asociado; 10.790 ; 9.730 ; 8.572 ; 84.110 ; 64.680 ;;
CACAO (ALMENDRA SECA);Solo; 380.255 ; 341.703 ; 311.977 ; 137.405 ; 135.146 ;;
;Asociado; 80.774 ; 66.280 ; 60.659 ; 18.811 ; 18.730 ;;
CAFÉ (GRANO ORO);Solo; 56.146 ; 48.597 ; 27.679 ; 3.551 ; 3.305 ;;
;Asociado; 11.726 ; 9.569 ; 7.805 ; 674 ; 617 ;;
CAÑA DE AZÚCAR PARA AZÚCAR (TALLO FRESCO);Solo; 113.293 ; 98.106 ; 96.892 ; 8.251.306 ; 8.246.033 ;;
;Asociado; . ; . ; . ; . ; . ;;
CAÑA DE AZÚCAR PARA OTROS USOS (TALLO FRESCO);Solo; 28.490 ; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ; . ;;
MANGO (FRUTA FRESCA);Solo; 22.210 ; 20.182 ; 20.036 ; 169.841 ; 168.509 ;;
;Asociado; 160 ; 157 ; 157 ; 268 ; 165 ;;
MARACUYÁ (FRUTA FRESCA);Solo; 11.465 ; 7.959 ; 7.450 ; 40.801 ; 40.268 ;;
;Asociado; 5.398 ; 3.157 ; 3.120 ; 20.219 ; 19.951 ;;
NARANJA (FRUTA FRESCA);Solo; 4.378 ; 3.763 ; 3.578 ; 26.355 ; 25.038 ;;
;Asociado; 14.927 ; 13.743 ; 13.483 ; 87.841 ; 86.500 ;;
PALMA AFRICANA (FRUTA FRESCA);Solo; 362.520 ; 283.668 ; 268.737 ; 3.422.235 ; 3.422.091 ;;
;Asociado; 12.358 ; 3.324 ; 3.274 ; 46.275 ; 46.275 ;;
PLÁTANO (FRUTA FRESCA);Solo; 83.173 ; 72.769 ; 67.419 ; 535.371 ; 454.700 ;;
;Asociado; 48.167 ; 41.310 ; 37.154 ; 225.855 ; 186.606 ;;
TOMATE DE ÁRBOL (FRUTA FRESCA);Solo; 4.494 ; 3.818 ; 3.767 ; 22.357 ; 21.221 ;;
;Asociado; 315 ; 252 ; 252 ; 2.186 ; 2.130 ;;
OTROS PERMANENTES;Solo; 68.717 ; 54.317 ; 50.798 ; . ; . ;;
;Asociado; 16.459 ; 14.499 ; 13.391 ; . ; . ;;
;;;;;;;;
Fuente: INEC 2014;;;;;;;;
