;;;;;;;;;;INDICE
;;;;;;;;;;
;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;;;;
TABLA 7. SUPERFICIE PERDIDA POR DIFERENTES CAUSAS, SEGÚN CULTIVOS TRANSITORIOS;;;;;;;;;;
;;;;;;;;;;
CULTIVOS TRANSITORIOS;;SUPERFICIE PERDIDA (Has.);;;;;;;;
;;TOTAL;Sequía;Helada;Plagas;Enfermedades;Inundación;Otra razón;;
;;;;;;;;;;
TOTAL NACIONAL;Solo;58.899;13.083;2.455;21.430;2.622;10.083;9.226;;
;Asociado;9.195;3.203;1.019;1.895;295;84;2.699;;
;;;;;;;;;;
ARROZ (EN CÁSCARA);Solo;21.684;3.223;.;11.054;377;6.451;579;;
;Asociado;.;.;.;.;.;.;.;;
ARVEJA SECA (GRANO SECO);Solo;226;92;29;13;.;47;45;;
;Asociado;132;5;114;3;9;.;.;;
ARVEJA TIERNA (EN VAINA);Solo;744;222;20;219;188;10;85;;
;Asociado;56;27;7;22;.;0;.;;
BRÓCOLI (REPOLLO);Solo;0;.;.;0;.;.;.;;
;Asociado;.;.;.;.;.;.;.;;
CEBADA (GRANO SECO);Solo;658;338;55;38;.;44;183;;
;Asociado;.;.;.;.;.;.;.;;
FRÉJOL SECO (GRANO SECO);Solo;1.191;375;36;411;82;21;266;;
;Asociado;1.803;640;262;481;15;9;395;;
FRÉJOL TIERNO (EN VAINA);Solo;401;71;.;18;50;93;168;;
;Asociado;1.127;468;84;72;21;34;448;;
HABA SECA (GRANO SECO);Solo;427;340;13;6;68;.;.;;
;Asociado;559;277;145;82;.;.;55;;
HABA TIERNA (EN VAINA);Solo;645;247;178;53;33;.;134;;
;Asociado;326;91;97;46;.;6;85;;
MAÍZ DURO CHOCLO (EN CHOCLO);Solo;262;34;36;169;.;.;23;;
;Asociado;575;520;.;47;.;.;7;;
MAÍZ DURO SECO (GRANO SECO);Solo;17.548;5.155;1.166;5.788;799;2.666;1.975;;
;Asociado;1.432;353;78;450;168;.;383;;
MAÍZ SUAVE CHOCLO (EN CHOCLO);Solo;2.073;937;78;696;57;4;301;;
;Asociado;1.510;298;50;212;12;0;938;;
MAÍZ SUAVE SECO (GRANO SECO);Solo;2.844;971;296;724;118;246;490;;
;Asociado;1.415;458;141;424;12;34;346;;
PAPA (TUBÉRCULO FRESCO);Solo;783;184;255;158;50;1;136;;
;Asociado;22;5;13;3;0;.;.;;
SOYA (GRANO SECO);Solo;1.771;3;23;1.360;7;291;86;;
;Asociado;.;.;.;.;.;.;.;;
TOMATE RIÑÓN (FRUTA FRESCA);Solo;170;20;14;10;76;47;4;;
;Asociado;.;.;.;.;.;.;.;;
TRIGO (GRANO SECO);Solo;85;35;25;.;.;25;.;;
;Asociado;.;.;.;.;.;.;.;;
YUCA (RAÍZ FRESCA);Solo;482;34;.;6;161;88;193;;
;Asociado;38;.;23;14;.;.;2;;
OTROS TRANSITORIOS;Solo;6.904;804;231;705;556;50;4.557;;
;Asociado;199;59;3;39;58;.;40;;
;;;;;;;;;;
Fuente: INEC 2014;;;;;;;;;;
