;;;;;;;;;;INDICE
;;;;;;;;;;
;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;;;;
TABLA 4. SUPERFICIE PERDIDA POR DIFERENTES CAUSAS, SEGÚN CULTIVOS PERMANENTES;;;;;;;;;;
;;;;;;;;;;
CULTIVOS PERMANENTES;; SUPERFICIE PERDIDA (Has.) ;;;;;;;;
;; TOTAL ; Sequía ; Helada ; Plagas ; Enfermedades ; Inundación ; Otra razón ;;
;;;;;;;;;;
TOTAL NACIONAL;Solo; 78.763 ; 3.667 ; 1.420 ; 23.986 ; 16.418 ; 1.071 ; 32.201 ;;
;Asociado; 14.155 ; 1.944 ; 134 ; 2.573 ; 2.473 ; 231 ; 6.800 ;;
;;;;;;;;;;
BANANO (FRUTA FRESCA);Solo; 2.214 ; 385 ; 25 ; 232 ; 448 ; . ; 1.125 ;;
;Asociado; 1.159 ; 138 ; 15 ; 226 ; 268 ; . ; 512 ;;
CACAO (ALMENDRA SECA);Solo; 29.726 ; 1.073 ; 892 ; 9.010 ; 5.179 ; 414 ; 13.158 ;;
;Asociado; 5.620 ; 397 ; . ; 830 ; 1.366 ; 105 ; 2.922 ;;
CAFÉ (GRANO ORO);Solo; 20.918 ; 1.354 ; 124 ; 10.536 ; 5.688 ; 107 ; 3.110 ;;
;Asociado; 1.765 ; 271 ; 119 ; 234 ; 222 ; 31 ; 888 ;;
CAÑA DE AZÚCAR PARA AZÚCAR (TALLO FRESCO);Solo; 1.214 ; . ; . ; . ; . ; . ; 1.214 ;;
;Asociado; . ; . ; . ; . ; . ; . ; . ;;
CAÑA DE AZÚCAR PARA OTROS USOS (TALLO FRESCO);Solo; . ; . ; . ; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ; . ; . ; . ;;
MANGO (FRUTA FRESCA);Solo; 146 ; . ; . ; 20 ; . ; . ; 126 ;;
;Asociado; . ; . ; . ; . ; . ; . ; . ;;
MARACUYÁ (FRUTA FRESCA);Solo; 509 ; 119 ; . ; 183 ; . ; . ; 207 ;;
;Asociado; 37 ; . ; . ; 37 ; . ; . ; . ;;
NARANJA (FRUTA FRESCA);Solo; 185 ; 9 ; . ; 60 ; 77 ; 22 ; 17 ;;
;Asociado; 260 ; . ; . ; 233 ; . ; . ; 27 ;;
PALMA AFRICANA (FRUTA FRESCA);Solo; 14.931 ; 229 ; 259 ; 449 ; 4.213 ; . ; 9.781 ;;
;Asociado; 50 ; . ; . ; . ; 48 ; . ; 2 ;;
PLÁTANO (FRUTA FRESCA);Solo; 5.350 ; 308 ; 72 ; 2.498 ; 514 ; 528 ; 1.430 ;;
;Asociado; 4.156 ; 812 ; . ; 878 ; 524 ; 94 ; 1.848 ;;
TOMATE DE ÁRBOL (FRUTA FRESCA);Solo; 51 ; 5 ; . ; 35 ; 4 ; . ; 8 ;;
;Asociado; . ; . ; . ; . ; . ; . ; . ;;
OTROS PERMANENTES;Solo; 3.519 ; 185 ; 49 ; 963 ; 296 ; . ; 2.026 ;;
;Asociado; 1.108 ; 326 ; . ; 134 ; 44 ; 2 ; 601 ;;
;;;;;;;;;;
Fuente: INEC 2014;;;;;;;;;;
;;;;;;;;;;
