;;;;;;;INDICE;
;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;
TABLA 53. NÚMERO DE AVES CRIADAS EN EL CAMPO POR ESPECIES, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;
;;;;;;;;
REGIÓN Y PROVINCIA;TOTAL;AVES CRIADAS EN CAMPO;;;;;;
;;Gallos y gallinas;Pollitos, Pollitas, Pollos, Pollas;Patos;Pavos;;;
;;;;;;;;
;;;;;;;;
TOTAL NACIONAL; 5.981.304 ; 2.616.788 ; 2.865.791 ; 447.793 ; 50.932 ;;;
;;;;;;;;
REGIÓN SIERRA; 1.805.850 ; 938.012 ; 794.870 ; 61.576 ; 11.392 ;;;
REGIÓN COSTA; 3.630.811 ; 1.429.618 ; 1.815.470 ; 349.374 ; 36.349 ;;;
REGIÓN ORIENTAL; 493.228 ; 226.054 ; 231.130 ; 33.887 ; 2.158 ;;;
ZONAS NO DELIMITADAS; 51.415 ; 23.105 ; 24.321 ; 2.956 ; 1.033 ;;;
;;;;;;;;
REGIÓN SIERRA;;;;;;;;
;;;;;;;;
AZUAY; 377.892 ; 208.362 ; 157.149 ; 11.512 ; 869 ;;;
BOLÍVAR; 211.988 ; 95.110 ; 104.895 ; 10.210 ; 1.773 ;;;
CAÑAR; 140.445 ; 78.190 ; 59.057 ; 2.539 ; 659 ;;;
CARCHI; 49.229 ; 28.672 ; 16.863 ; 3.061 ; 634 ;;;
COTOPAXI; 225.026 ; 109.374 ; 106.002 ; 7.843 ; 1.806 ;;;
CHIMBORAZO; 152.221 ; 78.601 ; 68.883 ; 4.445 ; 292 ;;;
IMBABURA; 87.276 ; 47.927 ; 37.855 ; 696 ; 799 ;;;
LOJA; 181.757 ; 87.988 ; 85.628 ; 7.559 ; 582 ;;;
PICHINCHA; 154.637 ; 95.180 ; 51.668 ; 5.627 ; 2.162 ;;;
TUNGURAHUA; 92.222 ; 50.387 ; 38.616 ; 2.905 ; 314 ;;;
SANTO DOMINGO DE LOS TSÁCHILAS; 133.157 ; 58.221 ; 68.256 ; 5.178 ; 1.502 ;;;
;;;;;;;;
REGIÓN COSTA;;;;;;;;
;;;;;;;;
EL ORO; 67.256 ; 38.797 ; 22.828 ; 5.065 ; 567 ;;;
ESMERALDAS; 210.148 ; 112.946 ; 87.338 ; 9.304 ; 559 ;;;
GUAYAS; 814.216 ; 324.933 ; 373.499 ; 105.212 ; 10.571 ;;;
LOS RÍOS; 919.849 ; 347.284 ; 455.373 ; 104.674 ; 12.519 ;;;
MANABÍ; 1.613.843 ; 603.462 ; 873.986 ; 124.395 ; 11.999 ;;;
SANTA ELENA; 5.499 ; 2.196 ; 2.445 ; 724 ; 133 ;;;
;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;
;;;;;;;;
MORONA SANTIAGO; 157.976 ; 78.111 ; 56.981 ; 22.561 ; 323 ;;;
NAPO; 23.319 ; 11.183 ; 11.481 ; 634 ; 21 ;;;
ORELLANA; 99.047 ; 43.093 ; 50.542 ; 4.206 ; 1.206 ;;;
PASTAZA; 24.998 ; 13.600 ; 9.792 ; 1.582 ; 24 ;;;
SUCUMBÍOS; 159.338 ; 67.280 ; 86.922 ; 4.554 ; 582 ;;;
ZAMORA CHINCHIPE; 28.550 ; 12.787 ; 15.412 ; 349 ; 2 ;;;
ZONAS NO DELIMITADAS; 51.415 ; 23.105 ; 24.321 ; 2.956 ; 1.033 ;;;
;;;;;;;;
Fuente: INEC 2015;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
