;;;;;;;INDICE;
;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;
TABLA 6. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN CULTIVOS TRANSITORIOS;;;;;;;;
;;;;;;;;
CULTIVOS TRANSITORIOS;;SUPERFICIE (Has.);;PRODUCCIÓN (Tm.);VENTAS (Tm.);;;
;;Sembrada;Cosechada;;;;;
;;;;;;;;
TOTAL NACIONAL;Solo; 1.095.593 ; 1.023.975 ; . ; . ;;;
;Asociado; 123.243 ; 106.215 ; . ; . ;;;
;;;;;;;;
ARROZ (EN CÁSCARA);Solo; 399.535 ; 375.117 ; 1.652.793 ; 1.534.476 ;;;
;Asociado; . ; . ; . ; . ;;;
ARVEJA SECA (GRANO SECO);Solo; 1.575 ; 1.282 ; 500 ; 134 ;;;
;Asociado; 384 ; 247 ; 80 ; 42 ;;;
ARVEJA TIERNA (EN VAINA);Solo; 6.600 ; 5.693 ; 7.349 ; 6.568 ;;;
;Asociado; 908 ; 616 ; 535 ; 235 ;;;
BRÓCOLI (REPOLLO);Solo; 7.717 ; 7.530 ; 106.850 ; 105.619 ;;;
;Asociado; 100 ; 76 ; 536 ; 530 ;;;
CEBADA (GRANO SECO);Solo; 11.254 ; 10.300 ; 8.927 ; 5.689 ;;;
;Asociado; . ; . ; . ; . ;;;
FRÉJOL SECO (GRANO SECO);Solo; 10.554 ; 9.538 ; 6.128 ; 5.346 ;;;
;Asociado; 20.557 ; 16.583 ; 6.750 ; 3.365 ;;;
FRÉJOL TIERNO (EN VAINA);Solo; 6.045 ; 5.460 ; 9.323 ; 8.622 ;;;
;Asociado; 18.336 ; 16.456 ; 13.903 ; 10.280 ;;;
HABA SECA (GRANO SECO);Solo; 1.398 ; 1.124 ; 860 ; 542 ;;;
;Asociado; 3.735 ; 2.855 ; 1.330 ; 226 ;;;
HABA TIERNA (EN VAINA);Solo; 5.508 ; 5.031 ; 13.876 ; 11.980 ;;;
;Asociado; 3.489 ; 2.988 ; 2.442 ; 1.062 ;;;
MAÍZ DURO CHOCLO (EN CHOCLO);Solo; 4.711 ; 4.254 ; 4.812 ; 3.546 ;;;
;Asociado; 1.797 ; 1.616 ; 590 ; 223 ;;;
MAÍZ DURO SECO (GRANO SECO);Solo; 416.651 ; 397.672 ; 1.778.150 ; 1.701.857 ;;;
;Asociado; 22.503 ; 21.756 ; 95.374 ; 92.158 ;;;
MAÍZ SUAVE CHOCLO (EN CHOCLO);Solo; 52.044 ; 47.702 ; 97.333 ; 86.776 ;;;
;Asociado; 17.372 ; 14.417 ; 14.764 ; 4.398 ;;;
MAÍZ SUAVE SECO (GRANO SECO);Solo; 32.181 ; 25.431 ; 15.831 ; 7.946 ;;;
;Asociado; 24.865 ; 20.443 ; 10.719 ; 3.338 ;;;
PAPA (TUBÉRCULO FRESCO);Solo; 31.489 ; 29.239 ; 393.526 ; 338.598 ;;;
;Asociado; 548 ; 465 ; 3.994 ; 3.251 ;;;
QUINUA (GRANO SECO);Solo; 7.754 ; 7.057 ; 12.679 ; 10.725 ;;;
;Asociado; 132 ; 91 ; 28 ; 14 ;;;
SOYA (GRANO SECO);Solo; 23.277 ; 22.493 ; 32.697 ; 31.578 ;;;
;Asociado; . ; . ; . ; . ;;;
TOMATE RIÑÓN (FRUTA FRESCA);Solo; 2.512 ; 2.346 ; 68.355 ; 67.075 ;;;
;Asociado; 31 ; . ; . ; . ;;;
TRIGO (GRANO SECO);Solo; 3.225 ; 2.865 ; 2.053 ; 1.025 ;;;
;Asociado; . ; . ; . ; . ;;;
YUCA (RAÍZ FRESCA);Solo; 15.523 ; 14.576 ; 63.061 ; 51.179 ;;;
;Asociado; 3.572 ; 3.328 ; 12.139 ; 8.944 ;;;
OTROS TRANSITORIOS;Solo; 56.042 ; 49.265 ; . ; . ;;;
;Asociado; 4.913 ; 4.280 ; . ; . ;;;
;;;;;;;;
Fuente: INEC 2015;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
