;;;;;;;INDICE
;;;;;;;
;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;
TABLA 16. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA;;;;;;;
CAÑA DE AZÚCAR PARA OTROS USOS (Fruta fresca);;;;;;;
;;;;;;;
REGIÓN Y PROVINCIA;;SUPERFICIE (Has.);;"PRODUCCIÓN 
(Tm.)";"VENTAS 
(Tm.)";;
;;Plantada;Cosechada;;;;
;;;;;;;
TOTAL NACIONAL;; 19.388 ; . ; . ; . ;;
;;;;;;;
REGIÓN SIERRA;; 13.106 ; . ; . ; . ;;
REGIÓN COSTA;; 2.557 ; . ; . ; . ;;
REGIÓN ORIENTAL;; 3.725 ; . ; . ; . ;;
ZONAS NO DELIMITADAS;; . ; . ; . ; . ;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
;;;;;;;
AZUAY;Solo; 1.415 ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
BOLÍVAR;Solo; 1.704 ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
CAÑAR;Solo; 1.398 ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
CARCHI;Solo; 99 ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
COTOPAXI;Solo; 2.120 ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
CHIMBORAZO;Solo; 11 ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
IMBABURA;Solo; 687 ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
LOJA;Solo; 4.997 ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
PICHINCHA;Solo; 404 ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
TUNGURAHUA;Solo; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo; 271 ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
;;;;;;;
REGIÓN COSTA;;;;;;;
;;;;;;;
EL ORO;Solo; 918 ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
ESMERALDAS;Solo; 255 ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
GUAYAS;Solo; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
LOS RÍOS;Solo; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
MANABÍ;Solo; 1.383 ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
SANTA ELENA;Solo; 0 ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
;;;;;;;
REGIÓN ORIENTAL;;;;;;;
;;;;;;;
MORONA SANTIAGO;Solo; 958 ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
NAPO;Solo; 129 ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
ORELLANA;Solo; 44 ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
PASTAZA;Solo; 1.516 ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
SUCUMBÍOS;Solo; 334 ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
ZAMORA CHINCHIPE;Solo; 744 ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
ZONAS NO DELIMITADAS;Solo; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
;;;;;;;
Fuente: INEC 2015;;;;;;;
