;;;;;;;;INDICE;
;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;;
TABLA 50. NÚMERO DE CABEZAS DE GANADO PORCINO Y VENTAS , SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;
;;;;;;;;;
REGIÓN Y PROVINCIA;GANADO PORCINO;;;;;;;;
;TOTAL;EXISTENCIA (Machos y hembras);;TOTAL;VENTAS (Machos y hembras);;;;
;;Menores de 2 meses de edad;Mayores de 2 meses de edad;;Menores de 2 meses de edad;Mayores de 2 meses de edad;;;
;;;;;;;;;
;;;;;;;;;
TOTAL NACIONAL; 1.637.662 ; 402.976 ; 1.234.686 ; 663.679 ; 58.647 ; 605.032 ;;;
;;;;;;;;;
REGIÓN SIERRA; 1.104.645 ; 263.360 ; 841.286 ; 538.626 ; 35.542 ; 503.084 ;;;
REGIÓN COSTA; 472.400 ; 124.434 ; 347.966 ; 112.376 ; 20.879 ; 91.497 ;;;
REGIÓN ORIENTAL; 53.683 ; 12.534 ; 41.149 ; 11.024 ; 2.062 ; 8.963 ;;;
ZONAS NO DELIMITADAS; 6.933 ; 2.648 ; 4.285 ; 1.653 ; 164 ; 1.488 ;;;
;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;
;;;;;;;;;
AZUAY; 47.153 ; 12.642 ; 34.510 ; 6.998 ; 3.996 ; 3.003 ;;;
BOLÍVAR; 52.871 ; 15.132 ; 37.739 ; 6.731 ; 1.867 ; 4.865 ;;;
CAÑAR; 22.077 ; 4.944 ; 17.133 ; 4.427 ; 1.507 ; 2.920 ;;;
CARCHI; 211.174 ; 28.724 ; 182.449 ; 105.207 ; 571 ; 104.637 ;;;
COTOPAXI; 114.727 ; 25.362 ; 89.365 ; 32.380 ; 9.936 ; 22.444 ;;;
CHIMBORAZO; 69.691 ; 18.189 ; 51.502 ; 19.554 ; 7.165 ; 12.389 ;;;
IMBABURA; 59.096 ; 11.535 ; 47.560 ; 22.068 ; 726 ; 21.342 ;;;
LOJA; 27.640 ; 6.994 ; 20.646 ; 3.404 ; 780 ; 2.624 ;;;
PICHINCHA; 280.198 ; 67.323 ; 212.876 ; 236.767 ; 2.104 ; 234.663 ;;;
TUNGURAHUA; 65.121 ; 24.008 ; 41.112 ; 14.530 ; 2.301 ; 12.229 ;;;
SANTO DOMINGO DE LOS TSÁCHILAS; 154.898 ; 48.505 ; 106.393 ; 86.559 ; 4.590 ; 81.969 ;;;
;;;;;;;;;
REGIÓN COSTA;;;;;;;;;
;;;;;;;;;
EL ORO; 48.772 ; 15.019 ; 33.753 ; 11.345 ; 1.660 ; 9.685 ;;;
ESMERALDAS; 38.337 ; 11.989 ; 26.348 ; 6.166 ; 1.491 ; 4.675 ;;;
GUAYAS; 124.891 ; 27.338 ; 97.552 ; 41.886 ; 3.592 ; 38.294 ;;;
LOS RÍOS; 88.082 ; 21.818 ; 66.265 ; 14.369 ; 4.763 ; 9.606 ;;;
MANABÍ; 165.713 ; 47.664 ; 118.049 ; 33.602 ; 9.366 ; 24.236 ;;;
SANTA ELENA; 6.605 ; 607 ; 5.999 ; 5.009 ; 8 ; 5.001 ;;;
;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;
;;;;;;;;;
MORONA SANTIAGO; 12.403 ; 2.981 ; 9.422 ; 3.373 ; 282 ; 3.091 ;;;
NAPO; 1.450 ; 572 ; 878 ; 248 ; 107 ; 141 ;;;
ORELLANA; 10.546 ; 3.260 ; 7.286 ; 1.835 ; 579 ; 1.257 ;;;
PASTAZA; 2.175 ; 219 ; 1.956 ; 364 ; 114 ; 250 ;;;
SUCUMBÍOS; 21.906 ; 4.147 ; 17.759 ; 3.581 ; 517 ; 3.064 ;;;
ZAMORA CHINCHIPE; 5.202 ; 1.354 ; 3.849 ; 1.623 ; 463 ; 1.160 ;;;
ZONAS NO DELIMITADAS; 6.933 ; 2.648 ; 4.285 ; 1.653 ; 164 ; 1.488 ;;;
;;;;;;;;;
Fuente: INEC 2015;;;;;;;;;
