;;;;;;;;;;INDICE
;;;;;;;;;;
;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;;;
TABLA 7. SUPERFICIE PERDIDA POR DIFERENTES CAUSAS, SEGÚN CULTIVOS TRANSITORIOS;;;;;;;;;;
;;;;;;;;;;
CULTIVOS TRANSITORIOS;;SUPERFICIE PERDIDA (Has.);;;;;;;;
;;TOTAL;Sequía;Helada;Plagas;Enfermedades;Inundación;Otra razón;;
;;;;;;;;;;
TOTAL NACIONAL;Solo; 71.058 ; 24.371 ; 3.423 ; 21.251 ; 3.232 ; 8.907 ; 9.873 ;;
;Asociado; 17.028 ; 9.180 ; 833 ; 2.323 ; 564 ; 158 ; 3.970 ;;
;;;;;;;;;;
ARROZ (EN CÁSCARA);Solo; 24.417 ; 4.803 ; 38 ; 9.944 ; 675 ; 6.037 ; 2.921 ;;
;Asociado; . ; . ; . ; . ; . ; . ; . ;;
ARVEJA SECA (GRANO SECO);Solo; 293 ; 179 ; 72 ; 9 ; . ; 11 ; 22 ;;
;Asociado; 137 ; 39 ; 5 ; 59 ; 15 ; . ; 19 ;;
ARVEJA TIERNA (EN VAINA);Solo; 907 ; 255 ; 77 ; 120 ; . ; 346 ; 109 ;;
;Asociado; 292 ; 247 ; . ; 2 ; . ; . ; 43 ;;
BRÓCOLI (REPOLLO);Solo; 186 ; . ; 171 ; 8 ; 4 ; . ; 4 ;;
;Asociado; 25 ; . ; . ; 25 ; . ; . ; . ;;
CEBADA (GRANO SECO);Solo; 954 ; 616 ; 217 ; 61 ; 2 ; . ; 59 ;;
;Asociado; . ; . ; . ; . ; . ; . ; . ;;
FRÉJOL SECO (GRANO SECO);Solo; 1.016 ; 202 ; . ; 337 ; 77 ; 8 ; 392 ;;
;Asociado; 3.974 ; 2.016 ; 151 ; 566 ; 243 ; 51 ; 948 ;;
FRÉJOL TIERNO (EN VAINA);Solo; 585 ; 70 ; 5 ; 147 ; 207 ; 27 ; 129 ;;
;Asociado; 1.880 ; 1.114 ; 22 ; 113 ; 24 ; 25 ; 582 ;;
HABA SECA (GRANO SECO);Solo; 274 ; 30 ; 48 ; 85 ; . ; . ; 110 ;;
;Asociado; 880 ; 563 ; 7 ; 104 ; 26 ; 8 ; 172 ;;
HABA TIERNA (EN VAINA);Solo; 477 ; 202 ; 198 ; 28 ; 13 ; . ; 37 ;;
;Asociado; 502 ; 307 ; 29 ; 94 ; 15 ; . ; 56 ;;
MAÍZ DURO CHOCLO (EN CHOCLO);Solo; 457 ; 196 ; 105 ; 127 ; 11 ; 15 ; 3 ;;
;Asociado; 182 ; 66 ; . ; 71 ; . ; . ; 45 ;;
MAÍZ DURO SECO (GRANO SECO);Solo; 18.979 ; 8.403 ; 213 ; 5.652 ; 903 ; 2.039 ; 1.768 ;;
;Asociado; 747 ; 258 ; 6 ; 319 ; 2 ; 1 ; 162 ;;
MAÍZ SUAVE CHOCLO (EN CHOCLO);Solo; 4.342 ; 1.322 ; 379 ; 1.259 ; 57 ; 52 ; 1.272 ;;
;Asociado; 2.954 ; 1.796 ; 223 ; 265 ; 49 ; 11 ; 609 ;;
MAÍZ SUAVE SECO (GRANO SECO);Solo; 6.749 ; 3.407 ; 619 ; 929 ; 114 ; 26 ; 1.655 ;;
;Asociado; 4.422 ; 2.316 ; 375 ; 517 ; 168 ; 40 ; 1.006 ;;
PAPA (TUBÉRCULO FRESCO);Solo; 2.250 ; 951 ; 375 ; 440 ; 182 ; 39 ; 263 ;;
;Asociado; 83 ; 26 ; 12 ; 1 ; 2 ; . ; 41 ;;
QUINUA (GRANO SECO);Solo; 697 ; 493 ; 47 ; . ; . ; 126 ; 31 ;;
;Asociado; 41 ; 41 ; . ; . ; . ; . ; . ;;
SOYA (GRANO SECO);Solo; 784 ; 396 ; . ; 370 ; 5 ; 4 ; 9 ;;
;Asociado; . ; . ; . ; . ; . ; . ; . ;;
TOMATE RIÑÓN (FRUTA FRESCA);Solo; 167 ; 0 ; 26 ; 110 ; 0 ; 0 ; 30 ;;
;Asociado; 31 ; . ; . ; 31 ; . ; . ; . ;;
TRIGO (GRANO SECO);Solo; 360 ; 170 ; 1 ; 89 ; 13 ; 24 ; 62 ;;
;Asociado; . ; . ; . ; . ; . ; . ; . ;;
YUCA (RAÍZ FRESCA);Solo; 947 ; 40 ; . ; 491 ; 41 ; 72 ; 303 ;;
;Asociado; 244 ; 80 ; . ; 12 ; 1 ; 21 ; 129 ;;
OTROS TRANSITORIOS;Solo; 6.216 ; 2.638 ; 830 ; 1.046 ; 928 ; 81 ; 694 ;;
;Asociado; 633 ; 311 ; 3 ; 143 ; 19 ; . ; 157 ;;
;;;;;;;;;;
Fuente: INEC 2015;;;;;;;;;;
