 ;;;;;INDICE
;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;
TABLA 3. NÚMERO DE ÁRBOLES DISPERSOS COSECHADOS, PRODUCCIÓN Y VENTAS;;;;;
;;;;;
ÁRBOLES DISPERSOS; NÚMERO DE ÁRBOLES ; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;
;;;;;
;;;;;
ACHIOTE (GRANO SECO); 24.106 ; 450 ; 183 ;;
AGUACATE (FRUTA FRESCA); 213.699 ; 13.565 ; 3.451 ;;
BANANO (FRUTA FRESCA); 2.399.490 ; 39.684 ; 2.970 ;;
CACAO (ALMENDRA SECA); 446.081 ; 845 ; 452 ;;
CAFÉ (GRANO ORO); 367.629 ; 147 ; 73 ;;
CLAUDIA (FRUTA FRESCA); 45.278 ; 384 ; 179 ;;
CHIRIMOYA (FRUTA FRESCA); 20.849 ; 360 ; 144 ;;
CIRUELO (FRUTA FRESCA); 49.460 ; 1.006 ; 5 ;;
COCOTERO (FRUTA FRESCA); 122.936 ; 6.582 ; 1.932 ;;
DURAZNO (FRUTA FRESCA); 34.414 ; 339 ; 42 ;;
GUABA (FRUTA FRESCA); 167.442 ; 9.383 ; 551 ;;
GUANABANA (FRUTA FRESCA); 41.556 ; 1.688 ; 495 ;;
GUAYABA (FRUTA FRESCA); 44.005 ; 492 ; 92 ;;
LIMA (FRUTA FRESCA); 48.201 ; 311 ; 31 ;;
LIMÓN (FRUTA FRESCA); 346.672 ; 1.609.039 ; 980 ;;
MANDARINA (FRUTA FRESCA); 826.985 ; 26.556 ; 11.399 ;;
MANGO (FRUTA FRESCA); 430.977 ; 19.825 ; 1.899 ;;
MANZANA (FRUTA FRESCA); 55.862 ; 560 ; 190 ;;
MARACUYÁ (FRUTA FRESCA); 10.720 ; 774 ; 175 ;;
NARANJA (FRUTA FRESCA); 1.738.961 ; 190.400 ; 26.440 ;;
ORITO (FRUTA FRESCA); 145.758 ; 1.309 ; 130 ;;
PAPAYA (FRUTA FRESCA); 243.990 ; 7.978 ; 893 ;;
PERA (FRUTA FRESCA); 15.152 ; 263 ; 99 ;;
PIÑA (FRUTA FRESCA); 5.756 ; 7 ; . ;;
PLÁTANO (FRUTA FRESCA); 5.537.532 ; 77.788 ; 15.747 ;;
TOMATE DE ÁRBOL (FRUTA FRESCA); 98.259 ; 288 ; 115 ;;
TORONJA (FRUTA FRESCA); 86.776 ; 614.366 ; 8.191 ;;
ZAPOTE (FRUTA FRESCA); 38.273 ; 30.197 ; 1.606 ;;
OTROS PERMANENTES; 284.706 ; 26.651 ; 2.575 ;;
;;;;;
Fuente: INEC 2015;;;;;
;;;;;
