;;;;;;;;;;;INDICE
;;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;;;;
TABLA 49. NÚMERO DE CABEZAS DE GANADO VACUNO VENDIDAS, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;;;
;;;;;;;;;;;
REGIÓN Y PROVINCIA;TOTAL;NÚMERO DE CABEZAS VENDIDAS;;;;;;;;;
;;Subtotal;MACHOS;;;Subtotal;HEMBRAS;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros);;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;
;;;;;;;;;;;
;;;;;;;;;;;
TOTAL NACIONAL; 543.137 ; 299.806 ; 82.460 ; 132.998 ; 84.348 ; 243.331 ; 20.766 ; 59.132 ; 163.434 ;;
;;;;;;;;;;;
REGIÓN SIERRA; 249.858 ; 150.711 ; 61.146 ; 47.242 ; 42.322 ; 99.147 ; 13.695 ; 19.250 ; 66.202 ;;
REGIÓN COSTA; 229.767 ; 115.467 ; 17.667 ; 69.561 ; 28.238 ; 114.300 ; 6.098 ; 32.206 ; 75.997 ;;
REGIÓN ORIENTAL; 62.101 ; 32.762 ; 3.523 ; 15.510 ; 13.730 ; 29.339 ; 954 ; 7.392 ; 20.993 ;;
ZONAS NO DELIMITADAS; 1.411 ; 866 ; 124 ; 684 ; 58 ; 545 ; 18 ; 284 ; 243 ;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
;;;;;;;;;;;
AZUAY; 22.512 ; 11.816 ; 3.641 ; 3.578 ; 4.597 ; 10.696 ; 2.338 ; 2.454 ; 5.904 ;;
BOLÍVAR; 18.271 ; 9.024 ; 1.145 ; 5.734 ; 2.145 ; 9.248 ; 227 ; 1.865 ; 7.156 ;;
CAÑAR; 14.235 ; 7.216 ; 2.159 ; 2.143 ; 2.915 ; 7.018 ; 759 ; 1.310 ; 4.949 ;;
CARCHI; 19.741 ; 12.188 ; 9.046 ; 1.360 ; 1.782 ; 7.553 ; 877 ; 1.451 ; 5.225 ;;
COTOPAXI; 31.620 ; 18.815 ; 6.022 ; 5.004 ; 7.788 ; 12.805 ; 2.364 ; 2.343 ; 8.098 ;;
CHIMBORAZO; 22.095 ; 14.275 ; 5.608 ; 3.495 ; 5.173 ; 7.820 ; 1.974 ; 1.080 ; 4.765 ;;
IMBABURA; 13.897 ; 9.380 ; 3.146 ; 2.508 ; 3.727 ; 4.516 ; 816 ; 1.241 ; 2.459 ;;
LOJA; 17.835 ; 9.815 ; 500 ; 4.921 ; 4.394 ; 8.020 ; 259 ; 2.120 ; 5.641 ;;
PICHINCHA; 52.116 ; 34.957 ; 23.529 ; 6.729 ; 4.700 ; 17.159 ; 2.714 ; 2.154 ; 12.291 ;;
TUNGURAHUA; 15.945 ; 9.792 ; 4.879 ; 1.992 ; 2.920 ; 6.153 ; 659 ; 918 ; 4.576 ;;
SANTO DOMINGO DE LOS TSÁCHILAS; 21.591 ; 13.432 ; 1.472 ; 9.778 ; 2.182 ; 8.159 ; 708 ; 2.313 ; 5.137 ;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
;;;;;;;;;;;
EL ORO; 20.283 ; 10.029 ; 752 ; 5.095 ; 4.182 ; 10.254 ; 594 ; 2.428 ; 7.232 ;;
ESMERALDAS; 59.169 ; 34.968 ; 4.023 ; 19.544 ; 11.400 ; 24.201 ; 2.046 ; 5.559 ; 16.596 ;;
GUAYAS; 32.638 ; 15.619 ; 3.124 ; 9.486 ; 3.009 ; 17.020 ; 749 ; 4.088 ; 12.183 ;;
LOS RÍOS; 14.951 ; 6.853 ; 917 ; 4.736 ; 1.199 ; 8.098 ; 400 ; 2.980 ; 4.718 ;;
MANABÍ; 101.685 ; 47.573 ; 8.827 ; 30.355 ; 8.391 ; 54.112 ; 2.293 ; 16.995 ; 34.824 ;;
SANTA ELENA; 1.040 ; 425 ; 24 ; 344 ; 56 ; 615 ; 16 ; 155 ; 444 ;;
;;;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;;;
;;;;;;;;;;;
MORONA SANTIAGO; 27.497 ; 13.174 ; 970 ; 6.964 ; 5.240 ; 14.323 ; 493 ; 4.491 ; 9.339 ;;
NAPO; 1.296 ; 805 ; 253 ; 129 ; 422 ; 491 ; 15 ; 167 ; 309 ;;
ORELLANA; 7.367 ; 3.451 ; 712 ; 1.651 ; 1.088 ; 3.915 ; 297 ; 683 ; 2.935 ;;
PASTAZA; 1.513 ; 882 ; 279 ; 151 ; 452 ; 631 ; 49 ; 168 ; 415 ;;
SUCUMBÍOS; 11.833 ; 8.151 ; 630 ; 5.111 ; 2.411 ; 3.682 ; 100 ; 619 ; 2.963 ;;
ZAMORA CHINCHIPE; 12.595 ; 6.298 ; 679 ; 1.504 ; 4.116 ; 6.296 ; . ; 1.264 ; 5.032 ;;
ZONAS NO DELIMITADAS; 1.411 ; 866 ; 124 ; 684 ; 58 ; 545 ; 18 ; 284 ; 243 ;;
;;;;;;;;;;;
Fuente: INEC 2015;;;;;;;;;;;
