;;;;;;;;;;;INDICE
;;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;;;;
TABLA 48. NÚMERO DE CABEZAS DE GANADO VACUNO SACRIFICADAS EN LA UPA, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;;;
;;;;;;;;;;;
REGIÓN Y PROVINCIA;TOTAL;NÚMERO DE CABEZAS SACRIFICADAS ;;;;;;;;;
;;Subtotal;MACHOS;;;Subtotal;HEMBRAS;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros);;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;
;;;;;;;;;;;
;;;;;;;;;;;
TOTAL NACIONAL; 11.151 ; 5.796 ; 2.029 ; 1.707 ; 2.060 ; 5.355 ; 284 ; 1.525 ; 3.546 ;;
;;;;;;;;;;;
REGIÓN SIERRA; 5.297 ; 3.023 ; 706 ; 950 ; 1.368 ; 2.274 ; 227 ; 614 ; 1.433 ;;
REGIÓN COSTA; 3.580 ; 2.076 ; 1.323 ; 625 ; 127 ; 1.505 ; 43 ; 560 ; 901 ;;
REGIÓN ORIENTAL; 2.146 ; 696 ; . ; 130 ; 566 ; 1.451 ; 12 ; 337 ; 1.102 ;;
ZONAS NO DELIMITADAS; 128 ; 2 ; . ; 2 ; . ; 126 ; 3 ; 13 ; 110 ;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
;;;;;;;;;;;
AZUAY; 1.191 ; 696 ; 85 ; 191 ; 419 ; 496 ; 64 ; 109 ; 322 ;;
BOLÍVAR; 258 ; 147 ; . ; 147 ; . ; 111 ; . ; 42 ; 69 ;;
CAÑAR; 373 ; 174 ; 50 ; . ; 124 ; 199 ; . ; . ; 199 ;;
CARCHI; 37 ; 25 ; 5 ; 12 ; 8 ; 12 ; . ; . ; 12 ;;
COTOPAXI; 1.423 ; 941 ; 303 ; 342 ; 296 ; 482 ; 70 ; 257 ; 156 ;;
CHIMBORAZO; 311 ; 79 ; . ; 74 ; 5 ; 232 ; . ; 40 ; 192 ;;
IMBABURA; 515 ; 457 ; 1 ; 8 ; 447 ; 58 ; . ; 17 ; 42 ;;
LOJA; 576 ; 243 ; 155 ; 76 ; 12 ; 333 ; 87 ; 119 ; 126 ;;
PICHINCHA; 463 ; 226 ; 105 ; 66 ; 55 ; 237 ; 5 ; 9 ; 223 ;;
TUNGURAHUA; 90 ; 29 ; . ; 29 ; . ; 60 ; . ; . ; 60 ;;
SANTO DOMINGO DE LOS TSÁCHILAS; 58 ; 6 ; 2 ; 4 ; . ; 52 ; . ; 21 ; 31 ;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
;;;;;;;;;;;
EL ORO; 311 ; 167 ; . ; 91 ; 76 ; 144 ; 1 ; 45 ; 98 ;;
ESMERALDAS; 428 ; 95 ; . ; 94 ; 1 ; 333 ; . ; 182 ; 151 ;;
GUAYAS; 1.381 ; 1.298 ; 1.217 ; 32 ; 50 ; 83 ; 1 ; 8 ; 74 ;;
LOS RÍOS; 108 ; 4 ; . ; 4 ; . ; 104 ; 41 ; 4 ; 59 ;;
MANABÍ; 1.348 ; 508 ; 107 ; 402 ; . ; 840 ; . ; 322 ; 519 ;;
SANTA ELENA; 3 ; 3 ; . ; 3 ; . ; . ; . ; . ; . ;;
;;;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;;;
;;;;;;;;;;;
MORONA SANTIAGO; 1.339 ; 469 ; . ; 51 ; 418 ; 870 ; . ; 239 ; 630 ;;
NAPO; . ; . ; . ; . ; . ; . ; . ; . ; . ;;
ORELLANA; 2 ; 2 ; . ; 2 ; . ; . ; . ; . ; . ;;
PASTAZA; . ; . ; . ; . ; . ; . ; . ; . ; . ;;
SUCUMBÍOS; 237 ; 15 ; . ; 2 ; 14 ; 221 ; 12 ; 95 ; 114 ;;
ZAMORA CHINCHIPE; 568 ; 209 ; . ; 75 ; 134 ; 360 ; . ; 2 ; 357 ;;
ZONAS NO DELIMITADAS; 128 ; 2 ; . ; 2 ; . ; 126 ; 3 ; 13 ; 110 ;;
;;;;;;;;;;;
Fuente: INEC 2015;;;;;;;;;;;
