;;;;;;;INDICE
;;;;;;;
;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;
TABLA 19. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA;;;;;;;
NARANJA (Fruta fresca);;;;;;;
;;;;;;;
REGIÓN Y PROVINCIA;;SUPERFICIE (Has.);;"PRODUCCIÓN 
(Tm.)";"VENTAS 
(Tm.)";;
;;Plantada;Cosechada;;;;
;;;;;;;
TOTAL NACIONAL;; 26.143 ; 22.282 ; 116.809 ; 114.575 ;;
;;;;;;;
REGIÓN SIERRA;; 13.843 ; 11.495 ; 66.078 ; 64.752 ;;
REGIÓN COSTA;; 12.189 ; 10.764 ; 50.652 ; 49.746 ;;
REGIÓN ORIENTAL;; 111 ; 23 ; 79 ; 78 ;;
ZONAS NO DELIMITADAS;; . ; . ; . ; . ;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
;;;;;;;
AZUAY;Solo; . ; . ; . ; . ;;
;Asociado; 46 ; 22 ; 69 ; 55 ;;
BOLÍVAR;Solo; 587 ; 484 ; 3.915 ; 3.769 ;;
;Asociado; 11.048 ; 9.496 ; 53.408 ; 52.747 ;;
CAÑAR;Solo; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
CARCHI;Solo; . ; . ; . ; . ;;
;Asociado; 17 ; . ; . ; . ;;
COTOPAXI;Solo; 324 ; 145 ; 998 ; 913 ;;
;Asociado; 1.110 ; 797 ; 5.058 ; 4.847 ;;
CHIMBORAZO;Solo; 0 ; 0 ; 0 ; . ;;
;Asociado; 10 ; 10 ; 24 ; 22 ;;
IMBABURA;Solo; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
LOJA;Solo; . ; . ; . ; . ;;
;Asociado; 7 ; 7 ; 27 ; 27 ;;
PICHINCHA;Solo; 14 ; 14 ; 44 ; 30 ;;
;Asociado; 34 ; 34 ; 106 ; . ;;
TUNGURAHUA;Solo; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo; 247 ; 151 ; 1.086 ; 1.048 ;;
;Asociado; 399 ; 334 ; 1.342 ; 1.294 ;;
;;;;;;;
REGIÓN COSTA;;;;;;;
;;;;;;;
EL ORO;Solo; 725 ; 649 ; 1.587 ; 1.525 ;;
;Asociado; 51 ; 51 ; 553 ; 498 ;;
ESMERALDAS;Solo; 291 ; 74 ; 202 ; 168 ;;
;Asociado; 2 ; 2 ; 10 ; 7 ;;
GUAYAS;Solo; 65 ; 65 ; 196 ; 145 ;;
;Asociado; 536 ; 536 ; 2.221 ; 2.180 ;;
LOS RÍOS;Solo; 1.655 ; 1.587 ; 10.751 ; 10.668 ;;
;Asociado; 3.490 ; 2.806 ; 13.138 ; 12.900 ;;
MANABÍ;Solo; 370 ; 327 ; 3.734 ; 3.589 ;;
;Asociado; 5.002 ; 4.668 ; 18.259 ; 18.066 ;;
SANTA ELENA;Solo; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
;;;;;;;
REGIÓN ORIENTAL;;;;;;;
;;;;;;;
MORONA SANTIAGO;Solo; 3 ; 3 ; 8 ; 8 ;;
;Asociado; . ; . ; . ; . ;;
NAPO;Solo; 2 ; 1 ; 1 ; . ;;
;Asociado; . ; . ; . ; . ;;
ORELLANA;Solo; 34 ; 1 ; 11 ; 11 ;;
;Asociado; . ; . ; . ; . ;;
PASTAZA;Solo; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
SUCUMBÍOS;Solo; 53 ; . ; . ; . ;;
;Asociado; 19 ; 19 ; 59 ; 59 ;;
ZAMORA CHINCHIPE;Solo; 0 ; 0 ; 0 ; . ;;
;Asociado; . ; . ; . ; . ;;
ZONAS NO DELIMITADAS;Solo; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
;;;;;;;
Fuente: INEC 2015;;;;;;;
