;;;;;;;;;;;;INDICE
;;;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;;;;;
TABLA 44. NÚMERO DE CABEZAS DE GANADO VACUNO, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;;;;
;;;;;;;;;;;;
REGIÓN Y PROVINCIA;TOTAL;GANADO VACUNO;;;;;;;;;;
;;Subtotal;MACHOS;;;Subtotal;HEMBRAS;;;TOTAL NACIDOS (Machos y hembras);;
;;;;;;;;;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros);;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;;
;;;;;;;;;;;;
;;;;;;;;;;;;
TOTAL NACIONAL; 4.115.213 ; 1.255.403 ; 457.465 ; 531.947 ; 265.991 ; 2.859.810 ; 542.849 ; 742.117 ; 1.574.844 ; 933.148 ;;
;;;;;;;;;;;;
REGIÓN SIERRA; 1.941.731 ; 588.294 ; 212.553 ; 237.449 ; 138.292 ; 1.353.437 ; 270.742 ; 318.537 ; 764.158 ; 474.119 ;;
REGIÓN COSTA; 1.770.142 ; 516.331 ; 203.519 ; 231.907 ; 80.905 ; 1.253.810 ; 225.761 ; 355.957 ; 672.093 ; 376.130 ;;
REGIÓN ORIENTAL; 391.160 ; 146.507 ; 39.589 ; 60.657 ; 46.261 ; 244.653 ; 44.810 ; 65.592 ; 134.251 ; 80.225 ;;
ZONAS NO DELIMITADAS; 12.180 ; 4.270 ; 1.803 ; 1.934 ; 533 ; 7.910 ; 1.537 ; 2.031 ; 4.342 ; 2.675 ;;
;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;
;;;;;;;;;;;;
AZUAY; 296.298 ; 88.747 ; 34.586 ; 28.422 ; 25.740 ; 207.550 ; 38.405 ; 49.379 ; 119.766 ; 63.750 ;;
BOLÍVAR; 158.191 ; 53.308 ; 18.543 ; 22.004 ; 12.761 ; 104.884 ; 22.737 ; 24.489 ; 57.657 ; 38.644 ;;
CAÑAR; 129.508 ; 38.815 ; 13.447 ; 10.618 ; 14.749 ; 90.693 ; 17.918 ; 22.031 ; 50.744 ; 31.896 ;;
CARCHI; 101.423 ; 19.950 ; 9.212 ; 7.007 ; 3.731 ; 81.474 ; 15.790 ; 16.378 ; 49.306 ; 29.474 ;;
COTOPAXI; 234.615 ; 82.892 ; 25.219 ; 40.812 ; 16.861 ; 151.722 ; 33.806 ; 35.746 ; 82.170 ; 55.189 ;;
