;;;;;;;;;;;INDICE
;;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;;;;
TABLA 47. NÚMERO DE CABEZAS DE GANADO VACUNO PERDIDAS POR OTRAS CAUSAS, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;;;
;;;;;;;;;;;
REGIÓN Y PROVINCIA;TOTAL;NÚMERO DE CABEZAS PERDIDAS POR OTRAS CAUSAS;;;;;;;;;
;;Subtotal;MACHOS;;;Subtotal;HEMBRAS;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros);;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;
;;;;;;;;;;;
;;;;;;;;;;;
TOTAL NACIONAL; 26.090 ; 9.511 ; 3.601 ; 3.692 ; 2.217 ; 16.579 ; 1.324 ; 4.714 ; 10.541 ;;
;;;;;;;;;;;
REGIÓN SIERRA; 13.993 ; 5.173 ; 1.882 ; 1.862 ; 1.429 ; 8.820 ; 791 ; 2.375 ; 5.653 ;;
REGIÓN COSTA; 10.024 ; 3.363 ; 1.471 ; 1.542 ; 351 ; 6.661 ; 506 ; 1.995 ; 4.159 ;;
REGIÓN ORIENTAL; 2.046 ; 948 ; 222 ; 288 ; 438 ; 1.099 ; 27 ; 343 ; 728 ;;
ZONAS NO DELIMITADAS; 27 ; 27 ; 27 ; . ; . ; . ; . ; . ; . ;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
;;;;;;;;;;;
AZUAY; 1.803 ; 876 ; 128 ; 583 ; 165 ; 927 ; 42 ; 368 ; 517 ;;
BOLÍVAR; 1.738 ; 589 ; 278 ; 182 ; 129 ; 1.149 ; 307 ; 199 ; 643 ;;
CAÑAR; 1.087 ; 385 ; 164 ; 80 ; 140 ; 702 ; 51 ; 60 ; 591 ;;
CARCHI; 1.764 ; 214 ; 61 ; 88 ; 65 ; 1.550 ; 96 ; 382 ; 1.072 ;;
COTOPAXI; 1.422 ; 478 ; 240 ; 63 ; 175 ; 944 ; 35 ; 257 ; 651 ;;
CHIMBORAZO; 843 ; 572 ; 100 ; 255 ; 218 ; 271 ; 44 ; 76 ; 151 ;;
IMBABURA; 717 ; 267 ; 156 ; 98 ; 13 ; 450 ; 39 ; 161 ; 250 ;;
LOJA; 566 ; 208 ; 41 ; 111 ; 56 ; 358 ; 4 ; 95 ; 258 ;;
PICHINCHA; 2.829 ; 1.226 ; 666 ; 178 ; 382 ; 1.602 ; 85 ; 491 ; 1.026 ;;
TUNGURAHUA; 271 ; 65 ; 42 ; . ; 23 ; 206 ; 43 ; 23 ; 140 ;;
SANTO DOMINGO DE LOS TSÁCHILAS; 954 ; 293 ; 6 ; 224 ; 62 ; 661 ; 43 ; 263 ; 354 ;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
;;;;;;;;;;;
EL ORO; 431 ; 186 ; 31 ; 54 ; 101 ; 245 ; 38 ; 67 ; 139 ;;
ESMERALDAS; 2.429 ; 741 ; 366 ; 317 ; 57 ; 1.688 ; 200 ; 317 ; 1.171 ;;
GUAYAS; 1.885 ; 790 ; 228 ; 478 ; 84 ; 1.095 ; 121 ; 121 ; 854 ;;
LOS RÍOS; 289 ; 73 ; 27 ; 46 ; . ; 216 ; 1 ; 24 ; 190 ;;
MANABÍ; 4.340 ; 1.310 ; 741 ; 461 ; 108 ; 3.030 ; 146 ; 1.466 ; 1.418 ;;
SANTA ELENA; 650 ; 263 ; 77 ; 186 ; . ; 387 ; . ; . ; 387 ;;
;;;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;;;
;;;;;;;;;;;
MORONA SANTIAGO; 603 ; 222 ; 29 ; 63 ; 130 ; 382 ; 7 ; 112 ; 262 ;;
NAPO; 441 ; 220 ; 28 ; 170 ; 22 ; 222 ; . ; 179 ; 42 ;;
ORELLANA; 20 ; 1 ; . ; . ; 1 ; 19 ; . ; . ; 19 ;;
PASTAZA; 52 ; 39 ; . ; 12 ; 26 ; 13 ; . ; 8 ; 5 ;;
SUCUMBÍOS; 796 ; 374 ; 164 ; 41 ; 169 ; 423 ; 20 ; 19 ; 384 ;;
ZAMORA CHINCHIPE; 134 ; 93 ; 1 ; 3 ; 90 ; 41 ; . ; 24 ; 17 ;;
ZONAS NO DELIMITADAS; 27 ; 27 ; 27 ; . ; . ; . ; . ; . ; . ;;
;;;;;;;;;;;
Fuente: INEC 2015;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
