;;;;;;INDICE;;;
;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;;
TABLA 52. NÚMERO DE CABEZAS DE GANADO DE OTRAS ESPECIES, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;
;;;;;;;;;
REGIÓN Y PROVINCIA;GANADO DE OTRAS ESPECIES (machos y hembras de toda edad);;;;;;;;
;Asnal;Caballar;Mular;Caprino;;;;;
;;;;;;;;;
TOTAL NACIONAL; 59.070 ; 223.352 ; 88.123 ; 27.102 ;;;;;
;;;;;;;;;
REGIÓN SIERRA; 38.370 ; 96.014 ; 25.299 ; 16.210 ;;;;;
REGIÓN COSTA; 19.900 ; 103.087 ; 59.064 ; 10.088 ;;;;;
REGIÓN ORIENTAL; 655 ; 23.493 ; 3.268 ; 804 ;;;;;
ZONAS NO DELIMITADAS; 145 ; 759 ; 492 ; . ;;;;;
;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;
;;;;;;;;;
AZUAY; 1.156 ; 17.109 ; 2.274 ; 4.001 ;;;;;
BOLÍVAR; 1.975 ; 9.252 ; 4.314 ; 99 ;;;;;
CAÑAR; 652 ; 6.872 ; 344 ; 84 ;;;;;
CARCHI; 149 ; 4.888 ; 329 ; 138 ;;;;;
COTOPAXI; 7.728 ; 10.271 ; 7.681 ; 505 ;;;;;
CHIMBORAZO; 14.806 ; 8.679 ; 1.255 ; 1.713 ;;;;;
IMBABURA; 880 ; 7.048 ; 943 ; 694 ;;;;;
LOJA; 5.588 ; 7.405 ; 4.197 ; 7.062 ;;;;;
PICHINCHA; 958 ; 17.062 ; 992 ; 1.676 ;;;;;
TUNGURAHUA; 3.834 ; 4.065 ; 217 ; 212 ;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS; 643 ; 3.363 ; 2.753 ; 27 ;;;;;
;;;;;;;;;
REGIÓN COSTA;;;;;;;;;
;;;;;;;;;
EL ORO; 938 ; 6.581 ; 1.365 ; 418 ;;;;;
ESMERALDAS; 1.867 ; 25.451 ; 12.721 ; 409 ;;;;;
GUAYAS; 1.751 ; 22.561 ; 3.311 ; 5.318 ;;;;;
LOS RÍOS; 806 ; 11.012 ; 2.462 ; 701 ;;;;;
MANABÍ; 14.472 ; 36.636 ; 38.922 ; 1.021 ;;;;;
SANTA ELENA; 67 ; 846 ; 283 ; 2.221 ;;;;;
;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;
;;;;;;;;;
MORONA SANTIAGO; 88 ; 10.230 ; 843 ; 264 ;;;;;
NAPO; 1 ; 1.318 ; 20 ; . ;;;;;
ORELLANA; 112 ; 2.524 ; 365 ; 136 ;;;;;
PASTAZA; . ; 1.133 ; 199 ; . ;;;;;
SUCUMBÍOS; 236 ; 5.615 ; 1.463 ; 404 ;;;;;
ZAMORA CHINCHIPE; 220 ; 2.673 ; 379 ; . ;;;;;
ZONAS NO DELIMITADAS; 145 ; 759 ; 492 ; . ;;;;;
;;;;;;;;;
Fuente: INEC 2015;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
