;;;;;;;;;;INDICE;;
;;;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;;;;;
TABLA 9. SUPERFICIE, PRODUCCIÓN Y VENTAS POR CONDICIÓN DEL CULTIVO, SEGÚN ESPECIES DE FLORES;;;;;;;;;;;;
;;;;;;;;;;;;
ESPECIE DE FLOR;;SUPERFICIE (Has.);;PRODUCCIÓN;VENTAS (en unidades);;;;;;;
;;Plantada o Sembrada;Cosechada o Cortada;N° total de tallos cortados;Full tabaco;Tabaco;Bonche;Bouquet;;;;
;;;;;;;;;;;;
TOTAL NACIONAL;Bajo invernadero; 6.161 ; 5.942 ; 4.502.967.801 ; 6.739.081 ; 8.472.946 ; 14.265.635 ; 2.067.954 ;;;;
;En campo abierto; 1.563 ; 1.504 ; 1.416.401.907 ; 2.477.826 ; 1.047.950 ; 3.402.210 ; 195.099 ;;;;
;;;;;;;;;;;;
FLORES PERMANENTES;;;;;;;;;;;;
;;;;;;;;;;;;
CLAVEL;Bajo invernadero; 110 ; 75 ; 142.195.411 ; 70.896 ; 228.527 ; 10.687 ; 35.477 ;;;;
;En campo abierto; . ; . ; . ; . ; . ; . ; . ;;;;
GINGER;Bajo invernadero; . ; . ; . ; . ; . ; . ; . ;;;;
;En campo abierto; 8 ; 2 ; 954.720 ; . ; . ; 78.000 ; . ;;;;
GYSOPHILIA;Bajo invernadero; 84 ; 84 ; 98.507.000 ; 92.612 ; 172.450 ; . ; . ;;;;
;En campo abierto; 545 ; 513 ; 957.543.102 ; 1.996.105 ; 155.688 ; 2.599.140 ; 129.360 ;;;;
HELICONIAS;Bajo invernadero; . ; . ; . ; . ; . ; . ; . ;;;;
;En campo abierto; 13 ; 13 ; 163.800 ; . ; . ; 156.000 ; . ;;;;
HYPERICUM;Bajo invernadero; 14 ; 14 ; 11.500.000 ; 5.000 ; . ; 730.000 ; . ;;;;
;En campo abierto; 340 ; 338 ; 170.795.930 ; 38.962 ; 120.622 ; . ; 64.000 ;;;;
LIMONIUM;Bajo invernadero; 8 ; 8 ; 7.113.403 ; . ; 46.000 ; . ; . ;;;;
;En campo abierto; 3 ; 2 ; 1.538.000 ; . ; 5.136 ; . ; . ;;;;
ROSA;Bajo invernadero; 5.163 ; 4.981 ; 3.771.301.364 ; 5.713.621 ; 6.937.872 ; 11.521.756 ; 2.032.477 ;;;;
;En campo abierto; 233 ; 216 ; 132.600.198 ; 283.685 ; 32.850 ; 160.000 ; . ;;;;
OTRAS FLORES PERMANENTES;Bajo invernadero; 419 ; 417 ; 320.430.252 ; 788.191 ; 496.449 ; 389.093 ; . ;;;;
;En campo abierto; 96 ; 95 ; 30.141.803 ; 1.280 ; 196.834 ; 144.349 ; . ;;;;
;;;;;;;;;;;;
FLORES TRANSITORIAS;;;;;;;;;;;;
;;;;;;;;;;;;
AMY;Bajo invernadero; 2 ; 2 ; 1.600.000 ; . ; 21.712 ; . ; . ;;;;
;En campo abierto; 2 ; 2 ; 1.080.000 ; . ; 4.860 ; . ; . ;;;;
ASTER;Bajo invernadero; 28 ; 28 ; 10.917.750 ; . ; 52.539 ; . ; . ;;;;
;En campo abierto; . ; . ; . ; . ; . ; . ; . ;;;;
CRISANTEMOS;Bajo invernadero; 59 ; 59 ; 34.868.850 ; . ; 160.000 ; 953.942 ; . ;;;;
;En campo abierto; 0 ; 0 ; 34.200 ; . ; . ; 3.315 ; . ;;;;
DELPHINIUM;Bajo invernadero; 6 ; 6 ; 371.700 ; . ; 2.478 ; . ; . ;;;;
;En campo abierto; 37 ; 37 ; 22.782.950 ; 21.454 ; 146.116 ; 40.500 ; . ;;;;
GIRASOLES;Bajo invernadero; 5 ; 5 ; 2.398.000 ; 9.750 ; . ; 2.200 ; . ;;;;
;En campo abierto; 25 ; 25 ; 6.175.800 ; . ; 36.476 ; 9.990 ; . ;;;;
GODETIAS;Bajo invernadero; . ; . ; . ; . ; . ; . ; . ;;;;
;En campo abierto; 18 ; 18 ; 14.904.000 ; 47.192 ; . ; . ; . ;;;;
LYATRIS;Bajo invernadero; . ; . ; . ; . ; . ; . ; . ;;;;
;En campo abierto; 9 ; 9 ; 7.560.000 ; 9.180 ; 10.260 ; . ; . ;;;;
OTRAS FLORES TRANSITORIAS;Bajo invernadero; 263 ; 263 ; 101.764.071 ; 59.011 ; 354.919 ; 657.958 ; . ;;;;
;En campo abierto; 234 ; 233 ; 70.127.404 ; 79.968 ; 339.108 ; 210.916 ; 1.739 ;;;;
;;;;;;;;;;;;
Fuente: INEC 2015;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
