;;;;;;;;;;;INDICE;;;;;;;
;;;;;;;;;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;;;;;;;;;;;
TABLA 1. SUPERFICIE POR CATEGORÍAS DE USO DEL SUELO, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
REGIÓN Y PROVINCIA; USO DEL SUELO (Has.) ;;;;;;;;;;;;;;;;;
; TOTAL ; CULTIVOS PERMANENTES ; CULTIVOS TRANSITORIOS Y BARBECHO ; DESCANSO ; PASTOS CULTIVADOS ; PASTOS NATURALES ; PÁRAMOS ; MONTES Y BOSQUES ; OTROS USOS ;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
CHIMBORAZO; 385.401 ; 3.368 ; 47.691 ; 15.754 ; 54.431 ; 36.869 ; 109.612 ; 104.218 ; 13.457 ;;;;;;;;;
IMBABURA; 299.334 ; 9.788 ; 19.144 ; 5.351 ; 35.407 ; 20.827 ; 34.622 ; 156.926 ; 17.269 ;;;;;;;;;
LOJA; 556.281 ; 26.150 ; 49.494 ; 2.422 ; 97.019 ; 99.505 ; 15.444 ; 250.534 ; 15.713 ;;;;;;;;;
PICHINCHA; 605.428 ; 22.995 ; 45.629 ; 9.693 ; 109.804 ; 58.653 ; 82.604 ; 238.062 ; 37.987 ;;;;;;;;;
TUNGURAHUA; 155.698 ; 5.880 ; 15.638 ; 3.290 ; 32.629 ; 16.129 ; 30.456 ; 37.589 ; 14.087 ;;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS; 249.462 ; 88.363 ; 11.746 ; 1.003 ; 114.714 ; 107 ; . ; 27.412 ; 6.117 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
EL ORO; 385.662 ; 67.394 ; 4.238 ; 3.784 ; 130.541 ; 21.866 ; 9.344 ; 116.380 ; 32.115 ;;;;;;;;;
ESMERALDAS; 1.120.316 ; 282.173 ; 5.731 ; 6.965 ; 254.992 ; 5.481 ; . ; 521.099 ; 43.876 ;;;;;;;;;
GUAYAS; 1.038.247 ; 270.413 ; 254.433 ; 9.064 ; 138.903 ; 66.756 ; . ; 217.550 ; 81.126 ;;;;;;;;;
LOS RÍOS; 626.788 ; 203.002 ; 228.245 ; 13.875 ; 62.462 ; 18.582 ; . ; 64.583 ; 36.039 ;;;;;;;;;
MANABÍ; 1.599.720 ; 220.270 ; 104.005 ; 17.463 ; 751.872 ; 23.991 ; . ; 417.212 ; 64.907 ;;;;;;;;;
SANTA ELENA; 79.525 ; 3.101 ; 5.026 ; 2.228 ; 6.352 ; 2.217 ; . ; 56.940 ; 3.661 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
MORONA SANTIAGO; 817.995 ; 11.446 ; 6.210 ; 32 ; 184.736 ; 8.592 ; 1.757 ; 566.163 ; 39.059 ;;;;;;;;;
NAPO; 448.553 ; 8.925 ; 2.599 ; 177 ; 16.005 ; 2.887 ; 15.152 ; 381.759 ; 21.050 ;;;;;;;;;
ORELLANA; 616.738 ; 38.609 ; 10.255 ; 273 ; 77.972 ; 911 ; . ; 461.200 ; 27.519 ;;;;;;;;;
PASTAZA; 827.646 ; 2.651 ; 1.254 ; 188 ; 22.465 ; 3.777 ; . ; 774.967 ; 22.344 ;;;;;;;;;
SUCUMBÍOS; 778.020 ; 71.415 ; 11.635 ; 4.458 ; 88.779 ; 2.768 ; . ; 565.593 ; 33.372 ;;;;;;;;;
ZAMORA CHINCHIPE; 263.117 ; 7.686 ; 1.367 ; . ; 83.885 ; 4.555 ; . ; 152.601 ; 13.024 ;;;;;;;;;
ZONAS NO DELIMITADAS; 60.459 ; 34.469 ; 5.303 ; 384 ; 4.413 ; 2.079 ; . ; 5.723 ; 8.089 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Fuente: INEC 2015;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
