;;;;;INDICE;;
;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;
TABLA 11. NÚMERO DE AVES POR EXISTENCIA Y MOVIMIENTO, SEGÚN TIPO DE CRIANZA Y ESPECIES;;;;;;;
;;;;;;;
TIPO DE CRIANZA Y ESPECIE;MOVIMIENTO TRIMESTRAL;;;;;;
;EXISTENCIA;Ventas;Autoconsumo;;;;
;;;;;;;
AVES CRIADAS EN CAMPO;;;;;;;
;;;;;;;
Gallos y gallinas; 2.616.788 ; 204.459 ; 940.041 ;;;;
Pollitos, Pollitas, Pollos, Pollas; 2.865.791 ; 84.262 ; 244.537 ;;;;
Patos; 447.793 ; 11.361 ; 39.794 ;;;;
Pavos; 50.932 ; 856 ; 1.705 ;;;;
;;;;;;;
AVES CRIADAS EN PLANTELES AVÍCOLAS;;;;;;;
;;;;;;;
Gallinas Ponedoras; 7.254.962 ; 1.113.013 ; 593 ;;;;
Gallinas Reproductoras; 1.619.323 ; 1.235.168 ; 34 ;;;;
Pollitos, Pollitas, Pollos, Pollas; 23.341.354 ; 31.137.951 ; 4.580 ;;;;
Avestruces; 300 ; -   ; -   ;;;;
Pavos; 239.666 ; 228.677 ; -   ;;;;
Codornices; 31.707 ; 26.765 ; -   ;;;;
;;;;;;;
Fuente: INEC 2015;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
