;;;;;;;;INDICE;
;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;;
TABLA 51. NÚMERO DE CABEZAS DE GANADO OVINO Y VENTAS , SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;
;;;;;;;;;
REGIÓN Y PROVINCIA;GANADO OVINO;;;;;;;;
;TOTAL;EXISTENCIA (Machos y hembras);;TOTAL;VENTAS (Machos y hembras);;;;
;;Menores de 6 meses de edad;Mayores de 6 meses de edad;;Menores de 6 meses de edad;Mayores de 6 meses de edad;;;
;;;;;;;;;
;;;;;;;;;
TOTAL NACIONAL; 506.696 ; 117.120 ; 389.576 ; 31.834 ; 4.852 ; 26.982 ;;;
;;;;;;;;;
REGIÓN SIERRA; 491.284 ; 112.574 ; 378.710 ; 31.095 ; 4.821 ; 26.275 ;;;
REGIÓN COSTA; 14.114 ; 4.303 ; 9.811 ; 739 ; 31 ; 708 ;;;
REGIÓN ORIENTAL; 1.299 ; 244 ; 1.055 ; . ; . ; . ;;;
ZONAS NO DELIMITADAS; . ; . ; . ; . ; . ; . ;;;
;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;
;;;;;;;;;
AZUAY; 52.255 ; 12.433 ; 39.822 ; 1.506 ; 243 ; 1.264 ;;;
BOLÍVAR; 30.983 ; 4.942 ; 26.040 ; 1.350 ; 255 ; 1.095 ;;;
CAÑAR; 27.498 ; 5.909 ; 21.589 ; 1.301 ; 40 ; 1.262 ;;;
CARCHI; 1.317 ; 246 ; 1.071 ; 21 ; 14 ; 7 ;;;
COTOPAXI; 137.038 ; 27.660 ; 109.378 ; 10.269 ; 1.132 ; 9.136 ;;;
CHIMBORAZO; 133.494 ; 33.014 ; 100.480 ; 10.628 ; 2.313 ; 8.315 ;;;
IMBABURA; 7.129 ; 1.509 ; 5.620 ; 1.097 ; 40 ; 1.057 ;;;
LOJA; 11.668 ; 2.371 ; 9.297 ; 355 ; . ; 355 ;;;
PICHINCHA; 70.113 ; 18.932 ; 51.181 ; 2.760 ; 153 ; 2.607 ;;;
TUNGURAHUA; 19.595 ; 5.415 ; 14.180 ; 1.754 ; 631 ; 1.123 ;;;
SANTO DOMINGO DE LOS TSÁCHILAS; 192 ; 142 ; 50 ; 53 ; . ; 53 ;;;
;;;;;;;;;
REGIÓN COSTA;;;;;;;;;
;;;;;;;;;
EL ORO; 2.484 ; 668 ; 1.816 ; 34 ; 29 ; 5 ;;;
ESMERALDAS; 1.232 ; 113 ; 1.119 ; 23 ; . ; 23 ;;;
GUAYAS; 6.659 ; 2.176 ; 4.484 ; 522 ; . ; 522 ;;;
LOS RÍOS; 2.776 ; 1.024 ; 1.752 ; 154 ; . ; 154 ;;;
MANABÍ; 940 ; 315 ; 625 ; 6 ; 2 ; 4 ;;;
SANTA ELENA; 23 ; 8 ; 15 ; . ; . ; . ;;;
;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;
;;;;;;;;;
MORONA SANTIAGO; 239 ; 97 ; 142 ; . ; . ; . ;;;
NAPO; 164 ; 85 ; 79 ; . ; . ; . ;;;
ORELLANA; . ; . ; . ; . ; . ; . ;;;
PASTAZA; 36 ; 12 ; 24 ; . ; . ; . ;;;
SUCUMBÍOS; 539 ; 42 ; 497 ; . ; . ; . ;;;
ZAMORA CHINCHIPE; 321 ; 8 ; 314 ; . ; . ; . ;;;
ZONAS NO DELIMITADAS; . ; . ; . ; . ; . ; . ;;;
;;;;;;;;;
Fuente: INEC 2015;;;;;;;;;
