;;;;;;;;;;;;;INDICE
;;;;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;;;;;;
TABLA 5. SUPERFICIE PLANTADA EN HECTÁREAS POR EDAD, VARIEDAD DE LA PLANTA Y PRÁCTICA DE CULTIVO, SEGÚN CULTIVOS PERMANENTES;;;;;;;;;;;;;
;;;;;;;;;;;;;
CULTIVOS PERMANENTES;;SUPERFICIE PLANTADA (Has.);;;;;;;;;;;
;;EDAD DE LA PLANTACIÓN;;;VARIEDAD DE LA PLANTA;;;;PRÁCTICA DE CULTIVO;;;;
;;Menos de 10 años;De 10 a menos de 20 años;De 20 años y más;Común;Mejorada;Híbrida Nacional;Híbrida Internacional;Riego;Aplicación de Fertilizantes;Aplicación de Fitosanitarios;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TOTAL NACIONAL;Solo; 694.498 ; 303.257 ; 359.709 ; 588.704 ; 527.976 ; 195.580 ; 45.204 ; 456.407 ; 769.756 ; 771.058 ;;
;Asociado; 120.774 ; 38.139 ; 62.163 ; 146.254 ; 62.138 ; 11.713 ; 971 ; 32.209 ; 71.111 ; 77.475 ;;
;;;;;;;;;;;;;
BANANO (FRUTA FRESCA);Solo; 50.780 ; 54.194 ; 78.107 ; 75.970 ; 61.546 ; 35.878 ; 9.688 ; 163.359 ; 165.388 ; 158.042 ;;
;Asociado; 5.660 ; 2.096 ; 4.697 ; 10.293 ; 656 ; 1.503 ; . ; 2.304 ; 3.733 ; 1.860 ;;
CACAO (ALMENDRA SECA);Solo; 225.752 ; 69.403 ; 153.621 ; 224.503 ; 181.733 ; 41.930 ; 610 ; 104.660 ; 148.392 ; 172.292 ;;
;Asociado; 50.221 ; 11.296 ; 27.117 ; 46.842 ; 33.609 ; 7.254 ; 930 ; 11.729 ; 30.322 ; 34.726 ;;
CAFÉ (GRANO ORO);Solo; 23.364 ; 6.123 ; 30.867 ; 43.608 ; 14.550 ; 1.795 ; 402 ; 2.125 ; 7.623 ; 8.593 ;;
;Asociado; 9.865 ; 3.442 ; 6.082 ; 10.251 ; 6.705 ; 2.408 ; 25 ; 1.646 ; 5.822 ; 3.696 ;;
CAÑA DE AZÚCAR PARA AZÚCAR (TALLO FRESCO);Solo; 92.723 ; 11.086 ; 749 ; 24.077 ; 44.698 ; 34.449 ; 1.334 ; 103.740 ; 103.719 ; 100.328 ;;
;Asociado; . ; . ; . ; . ; . ; . ; . ; . ; . ; . ;;
