;;;;;;;;;INDICE;;
;;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;;;;
TABLA 54. NÚMERO DE AVES CRIADAS EN PLANTELES AVÍCOLAS POR ESPECIES, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;;;
;;;;;;;;;;;
REGIÓN Y PROVINCIA;TOTAL;AVES CRIADAS EN PLANTELES AVÍCOLAS;;;;;;;;;
;;Gallinas Ponedoras;Gallinas Reproductoras;Pollitos, Pollitas, Pollos, Pollas;Avestruces;Pavos;Codornices;;;;
;;;;;;;;;;;
;;;;;;;;;;;
TOTAL NACIONAL; 43.156.323 ; 9.999.484 ; 2.275.578 ; 30.394.969 ; 300 ; 239.666 ; 246.326 ;;;;
;;;;;;;;;;;
REGIÓN SIERRA; 28.862.229 ; 8.413.221 ; 1.456.389 ; 18.766.746 ; . ; 197.666 ; 28.207 ;;;;
REGIÓN COSTA; 11.912.007 ; 1.577.174 ; 514.343 ; 9.560.071 ; 300 ; 42.000 ; 218.119 ;;;;
REGIÓN ORIENTAL; 2.136.742 ; 9.090 ; 60.000 ; 2.067.652 ; . ; . ; . ;;;;
ZONAS NO DELIMITADAS; 245.346 ; . ; 244.846 ; 500 ; . ; . ; . ;;;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
;;;;;;;;;;;
AZUAY; 234.025 ; 25.125 ; 58.872 ; 150.029 ; . ; . ; . ;;;;
BOLÍVAR; 171.429 ; . ; . ; 171.429 ; . ; . ; . ;;;;
CAÑAR; 412.217 ; 900 ; . ; 411.317 ; . ; . ; . ;;;;
CARCHI; 619.449 ; 28 ; 28.360 ; 562.325 ; . ; 28.736 ; . ;;;;
COTOPAXI; 3.246.812 ; 2.903.902 ; . ; 342.910 ; . ; . ; . ;;;;
CHIMBORAZO; 1.445.617 ; 124.136 ; 800 ; 1.320.681 ; . ; . ; . ;;;;
IMBABURA; 1.721.279 ; . ; 203.000 ; 1.459.716 ; . ; 58.563 ; . ;;;;
LOJA; 344.451 ; 6.491 ; . ; 337.960 ; . ; . ; . ;;;;
PICHINCHA; 5.526.699 ; 1.358.078 ; 466.274 ; 3.591.494 ; . ; 110.367 ; 487 ;;;;
TUNGURAHUA; 8.367.275 ; 3.973.975 ; 699.083 ; 3.693.497 ; . ; . ; 720 ;;;;
SANTO DOMINGO DE LOS TSÁCHILAS; 6.772.977 ; 20.587 ; . ; 6.725.390 ; . ; . ; 27.000 ;;;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
;;;;;;;;;;;
EL ORO; 1.830.908 ; 322.866 ; 10 ; 1.289.613 ; 300 ; . ; 218.119 ;;;;
ESMERALDAS; 11.171 ; 30 ; . ; 11.141 ; . ; . ; . ;;;;
GUAYAS; 6.892.662 ; 44.000 ; 197.535 ; 6.651.127 ; . ; . ; . ;;;;
LOS RÍOS; 375.748 ; 44.100 ; 59.998 ; 271.650 ; . ; . ; . ;;;;
MANABÍ; 2.577.518 ; 1.166.178 ; 256.800 ; 1.154.540 ; . ; . ; . ;;;;
SANTA ELENA; 224.000 ; . ; . ; 182.000 ; . ; 42.000 ; . ;;;;
;;;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;;;
;;;;;;;;;;;
MORONA SANTIAGO; 15.800 ; . ; . ; 15.800 ; . ; . ; . ;;;;
NAPO; 89.200 ; . ; 40.000 ; 49.200 ; . ; . ; . ;;;;
ORELLANA; 27.679 ; 9.000 ; . ; 18.679 ; . ; . ; . ;;;;
PASTAZA; 1.994.833 ; . ; 20.000 ; 1.974.833 ; . ; . ; . ;;;;
SUCUMBÍOS; 5.939 ; . ; . ; 5.939 ; . ; . ; . ;;;;
ZAMORA CHINCHIPE; 3.290 ; 90 ; . ; 3.200 ; . ; . ; . ;;;;
ZONAS NO DELIMITADAS; 245.346 ; . ; 244.846 ; 500 ; . ; . ; . ;;;;
;;;;;;;;;;;
Fuente: INEC 2015;;;;;;;;;;;
