;;;;;;;INDICE;
;;;;;;;;
;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;
TABLA 32. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;
HABA SECA (Grano seco);;;;;;;;
;;;;;;;;
REGIÓN Y PROVINCIA;;SUPERFICIE (Has.);;"PRODUCCIÓN 
(Tm.)";"VENTAS 
(Tm.)";;;
;;Sembrada;Cosechada;;;;;
;;;;;;;;
TOTAL NACIONAL;; 5.133 ; 3.979 ; 2.190 ; 767 ;;;
;;;;;;;;
REGIÓN SIERRA;; 5.052 ; 3.898 ; 2.157 ; 737 ;;;
REGIÓN COSTA;; 81 ; 81 ; 33 ; 31 ;;;
REGIÓN ORIENTAL;; . ; . ; . ; . ;;;
ZONAS NO DELIMITADAS;; . ; . ; . ; . ;;;
;;;;;;;;
REGIÓN SIERRA;;;;;;;;
;;;;;;;;
AZUAY;Solo; . ; . ; . ; . ;;;
;Asociado; 1.528 ; 965 ; 334 ; 12 ;;;
BOLÍVAR;Solo; 345 ; 199 ; 128 ; 67 ;;;
;Asociado; 61 ; 30 ; 40 ; . ;;;
CAÑAR;Solo; 113 ; 113 ; 43 ; 35 ;;;
;Asociado; 938 ; 842 ; 261 ; 103 ;;;
CARCHI;Solo; 146 ; 146 ; 272 ; 267 ;;;
;Asociado; 51 ; 22 ; 47 ; 47 ;;;
COTOPAXI;Solo; 120 ; 117 ; 105 ; 17 ;;;
;Asociado; 203 ; 143 ; 74 ; 40 ;;;
CHIMBORAZO;Solo; 411 ; 366 ; 212 ; 112 ;;;
;Asociado; 50 ; 46 ; 26 ; . ;;;
IMBABURA;Solo; 34 ; 34 ; 11 ; . ;;;
;Asociado; 422 ; 330 ; 104 ; 5 ;;;
LOJA;Solo; 17 ; 13 ; 5 ; . ;;;
;Asociado; 389 ; 389 ; 409 ; 16 ;;;
PICHINCHA;Solo; 130 ; 54 ; 49 ; 14 ;;;
;Asociado; 88 ; 83 ; 32 ; 2 ;;;
TUNGURAHUA;Solo; . ; . ; . ; . ;;;
;Asociado; 5 ; 5 ; 3 ; . ;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo; . ; . ; . ; . ;;;
;Asociado; . ; . ; . ; . ;;;
;;;;;;;;
REGIÓN COSTA;;;;;;;;
;;;;;;;;
EL ORO;Solo; . ; . ; . ; . ;;;
;Asociado; . ; . ; . ; . ;;;
ESMERALDAS;Solo; . ; . ; . ; . ;;;
;Asociado; . ; . ; . ; . ;;;
GUAYAS;Solo; 27 ; 27 ; 12 ; 11 ;;;
;Asociado; . ; . ; . ; . ;;;
LOS RÍOS;Solo; 41 ; 41 ; 11 ; 11 ;;;
;Asociado; . ; . ; . ; . ;;;
MANABÍ;Solo; 14 ; 14 ; 10 ; 9 ;;;
;Asociado; . ; . ; . ; . ;;;
SANTA ELENA;Solo; . ; . ; . ; . ;;;
;Asociado; . ; . ; . ; . ;;;
;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;
;;;;;;;;
MORONA SANTIAGO;Solo; . ; . ; . ; . ;;;
;Asociado; . ; . ; . ; . ;;;
NAPO;Solo; . ; . ; . ; . ;;;
;Asociado; . ; . ; . ; . ;;;
ORELLANA;Solo; . ; . ; . ; . ;;;
;Asociado; . ; . ; . ; . ;;;
PASTAZA;Solo; . ; . ; . ; . ;;;
;Asociado; . ; . ; . ; . ;;;
SUCUMBÍOS;Solo; . ; . ; . ; . ;;;
;Asociado; . ; . ; . ; . ;;;
ZAMORA CHINCHIPE;Solo; . ; . ; . ; . ;;;
;Asociado; . ; . ; . ; . ;;;
ZONAS NO DELIMITADAS;Solo; . ; . ; . ; . ;;;
;Asociado; . ; . ; . ; . ;;;
;;;;;;;;
Fuente: INEC 2015;;;;;;;;
