;;;;;;;;;;;INDICE
;;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;;;;
TABLA 45. NÚMERO DE CABEZAS DE GANADO VACUNO COMPRADAS, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;;;
;;;;;;;;;;;
REGIÓN Y PROVINCIA;TOTAL;NÚMERO DE CABEZAS COMPRADAS;;;;;;;;;
;;Subtotal;MACHOS;;;Subtotal;HEMBRAS;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros);;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;
;;;;;;;;;;;
;;;;;;;;;;;
TOTAL NACIONAL; 261.011 ; 153.898 ; 47.415 ; 85.272 ; 21.212 ; 107.112 ; 14.554 ; 47.630 ; 44.928 ;;
;;;;;;;;;;;
REGIÓN SIERRA; 140.631 ; 83.953 ; 24.140 ; 48.558 ; 11.256 ; 56.678 ; 10.247 ; 23.405 ; 23.026 ;;
REGIÓN COSTA; 97.322 ; 56.657 ; 19.547 ; 28.984 ; 8.125 ; 40.665 ; 3.934 ; 19.563 ; 17.168 ;;
REGIÓN ORIENTAL; 22.153 ; 12.545 ; 3.220 ; 7.505 ; 1.820 ; 9.608 ; 373 ; 4.560 ; 4.675 ;;
ZONAS NO DELIMITADAS; 905 ; 744 ; 507 ; 225 ; 11 ; 161 ; . ; 103 ; 58 ;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
;;;;;;;;;;;
AZUAY; 13.431 ; 6.275 ; 1.749 ; 3.347 ; 1.179 ; 7.155 ; 1.177 ; 3.453 ; 2.525 ;;
BOLÍVAR; 9.854 ; 4.981 ; 859 ; 2.860 ; 1.262 ; 4.873 ; 788 ; 1.012 ; 3.073 ;;
CAÑAR; 5.529 ; 1.954 ; 376 ; 427 ; 1.151 ; 3.574 ; 497 ; 1.822 ; 1.255 ;;
CARCHI; 10.513 ; 5.317 ; 1.576 ; 2.916 ; 825 ; 5.196 ; 815 ; 1.886 ; 2.495 ;;
COTOPAXI; 23.166 ; 15.334 ; 5.149 ; 8.756 ; 1.429 ; 7.832 ; 1.448 ; 3.170 ; 3.215 ;;
CHIMBORAZO; 15.967 ; 8.567 ; 3.042 ; 4.725 ; 800 ; 7.400 ; 1.617 ; 2.980 ; 2.803 ;;
IMBABURA; 12.303 ; 9.735 ; 2.569 ; 5.477 ; 1.688 ; 2.568 ; 896 ; 615 ; 1.057 ;;
