;;;;;;;;;
;;;;;;;;;INDICE
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;;
TABLA 60. SUPERFICIE PLANTADA CON PASTOS CULTIVADOS, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;
;;;;;;;;;
PROVINCIA Y REGIÓN;SUPERFICIE PLANTADA (Has.);;;;;;;;
;TOTAL;BRACHIARIA;GRAMALOTE;PASTO MIEL ;RAYGRASS;SABOYA;OTROS PASTOS CULTIVADOS;;
;;;;;;;;;
TOTAL NACIONAL; 2.617.012 ; 170.375 ; 205.450 ; 244.147 ; 58.705 ; 1.132.841 ; 805.493 ;;
;;;;;;;;;
REGIÓN SIERRA; 740.062 ; 73.111 ; 18.752 ; 152.613 ; 55.877 ; 50.125 ; 389.584 ;;
REGIÓN COSTA; 1.378.724 ; 88.533 ; 9.005 ; 74.305 ; 157 ; 1.051.542 ; 155.182 ;;
REGIÓN ORIENTAL; 491.104 ; 8.731 ; 177.693 ; 16.326 ; 2.671 ; 25.191 ; 260.492 ;;
ZONA NO DELIMITADA; 7.122 ; . ; . ; 904 ; . ; 5.983 ; 235 ;;
;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;
;;;;;;;;;
AZUAY; 41.131 ; 151 ; 904 ; 1.322 ; 9.572 ; 1.010 ; 28.172 ;;
BOLIVAR; 125.690 ; 11.412 ; 999 ; 19.174 ; 3.762 ; 9.456 ; 80.888 ;;
CAÑAR; 19.767 ; 270 ; 210 ; . ; 5.815 ; 1.000 ; 12.473 ;;
CARCHI; 20.562 ; 244 ; 3.428 ; 1.517 ; 4.854 ; 324 ; 10.195 ;;
COTOPAXI; 70.623 ; 1.660 ; 426 ; 10.516 ; 2.725 ; 205 ; 55.092 ;;
CHIMBORAZO; 54.562 ; 1.940 ; 757 ; 198 ; 5.542 ; . ; 46.125 ;;
IMBABURA; 36.125 ; 1.261 ; 3.511 ; 14.058 ; 2.754 ; 3.543 ; 10.997 ;;
LOJA; 110.259 ; 554 ; 21 ; 61.212 ; 1.752 ; 800 ; 45.919 ;;
PICHINCHA; 110.569 ; 13.324 ; 1.944 ; 19.262 ; 8.743 ; 2.848 ; 64.449 ;;
TUNGURAHUA; 32.943 ; . ; 9 ; 197 ; 10.358 ; . ; 22.380 ;;
SANTO DOMINGO; 117.830 ; 42.295 ; 6.544 ; 25.157 ; . ; 30.940 ; 12.894 ;;
;;;;;;;;;
REGIÓN COSTA;;;;;;;;;
;;;;;;;;;
EL ORO; 140.418 ; 2.435 ; 3.385 ; 70.760 ; 11 ; 5.614 ; 58.213 ;;
ESMERALDAS; 259.106 ; 62.410 ; 3.558 ; 340 ; . ; 176.290 ; 16.508 ;;
GUAYAS; 139.616 ; 7.783 ; 304 ; 374 ; . ; 89.119 ; 42.036 ;;
LOS RÍOS; 64.708 ; 7.819 ; 1.619 ; 2.831 ; . ; 33.843 ; 18.595 ;;
MANABÍ; 768.415 ; 8.067 ; 139 ; . ; 133 ; 741.428 ; 18.647 ;;
SANTA ELENA; 6.463 ; 18 ; . ; . ; 13 ; 5.248 ; 1.184 ;;
;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;
;;;;;;;;;
MORONA; 196.086 ; 1.048 ; 124.375 ; 1.967 ; 1.171 ; . ; 67.524 ;;
NAPO; 15.855 ; . ; 3.445 ; 3.251 ; . ; . ; 9.159 ;;
PASTAZA; 22.465 ; . ; 20.572 ; 136 ; . ; . ; 1.757 ;;
ZAMORA; 85.772 ; 7.012 ; 23.321 ; 341 ; . ; . ; 55.098 ;;
SUCUMBÍOS; 92.954 ; 671 ; 5.612 ; 10.631 ; 1.500 ; 16.352 ; 58.188 ;;
ORELLANA; 77.972 ; . ; 367 ; . ; . ; 8.839 ; 68.766 ;;
ZONAS NO DELIMITADAS; 7.122 ; . ; . ; 904 ; . ; 5.983 ; 235 ;;
;;;;;;;;;
Fuente: INEC 2015;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
