;;;;;;;;;;;INDICE
;;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;;;;
TABLA 46. NÚMERO DE CABEZAS DE GANADO VACUNO PERDIDAS POR MUERTE, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;;;
;;;;;;;;;;;
REGIÓN Y PROVINCIA;TOTAL;NÚMERO DE CABEZAS PERDIDAS POR MUERTE;;;;;;;;;
;;Subtotal;MACHOS;;;Subtotal;HEMBRAS;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros);;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (vaconas);De 2 o más años de edad (Vacas);;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
