;;;;;;;;;;INDICE
;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;;;
TABLA 4. SUPERFICIE PERDIDA POR DIFERENTES CAUSAS, SEGÚN CULTIVOS PERMANENTES;;;;;;;;;;
;;;;;;;;;;
CULTIVOS PERMANENTES;; SUPERFICIE PERDIDA (Has.) ;;;;;;;;
;; TOTAL ; Sequía ; Helada ; Plagas ; Enfermedades ; Inundación ; Otra razón ;;
;;;;;;;;;;
TOTAL NACIONAL;Solo; 77.735 ; 2.042 ; 2.646 ; 36.531 ; 13.700 ; 1.885 ; 20.932 ;;
;Asociado; 12.424 ; 323 ; 278 ; 5.547 ; 2.935 ; 229 ; 3.114 ;;
;;;;;;;;;;
BANANO (FRUTA FRESCA);Solo; 2.851 ; 260 ; 66 ; 441 ; 17 ; 482 ; 1.585 ;;
;Asociado; 536 ; 6 ; . ; 333 ; . ; . ; 196 ;;
CACAO (ALMENDRA SECA);Solo; 38.966 ; 918 ; 2.369 ; 18.005 ; 6.929 ; 834 ; 9.910 ;;
;Asociado; 5.587 ; . ; 195 ; 3.400 ; 1.139 ; 40 ; 812 ;;
CAFÉ (GRANO ORO);Solo; 18.490 ; 123 ; 47 ; 12.666 ; 1.609 ; 122 ; 3.923 ;;
;Asociado; 1.858 ; 197 ; . ; 422 ; 603 ; 52 ; 584 ;;
CAÑA DE AZÚCAR PARA AZÚCAR (TALLO FRESCO);Solo; 486 ; . ; . ; . ; . ; 199 ; 287 ;;
;Asociado; . ; . ; . ; . ; . ; . ; . ;;
CAÑA DE AZÚCAR PARA OTROS USOS (TALLO FRESCO);Solo; . ; . ; . ; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ; . ; . ; . ;;
MANGO (FRUTA FRESCA);Solo; 1.818 ; 182 ; . ; 78 ; . ; . ; 1.558 ;;
;Asociado; . ; . ; . ; . ; . ; . ; . ;;
MARACUYÁ (FRUTA FRESCA);Solo; 370 ; 32 ; . ; 166 ; . ; . ; 172 ;;
;Asociado; 30 ; . ; . ; 4 ; . ; 26 ; 1 ;;
NARANJA (FRUTA FRESCA);Solo; 27 ; 1 ; . ; 0 ; 10 ; . ; 16 ;;
;Asociado; 300 ; . ; . ; 246 ; 32 ; 1 ; 21 ;;
PALMA AFRICANA (FRUTA FRESCA);Solo; 8.959 ; . ; . ; 2.677 ; 4.339 ; . ; 1.942 ;;
;Asociado; 975 ; . ; . ; 50 ; 403 ; . ; 522 ;;
PALMITO (TALLO FRESCO);Solo; 101 ; . ; . ; 6 ; . ; . ; 95 ;;
;Asociado; . ; . ; . ; . ; . ; . ; . ;;
PIÑA (FRUTA FRESCA);Solo; 99 ; . ; . ; 89 ; . ; . ; 10 ;;
;Asociado; . ; . ; . ; . ; . ; . ; . ;;
PLÁTANO (FRUTA FRESCA);Solo; 3.577 ; 393 ; 118 ; 1.752 ; 476 ; 114 ; 723 ;;
;Asociado; 2.301 ; 99 ; . ; 936 ; 537 ; 109 ; 621 ;;
TOMATE DE ÁRBOL (FRUTA FRESCA);Solo; 207 ; 30 ; 6 ; 20 ; 36 ; . ; 116 ;;
;Asociado; 35 ; . ; . ; 35 ; . ; . ; . ;;
OTROS PERMANENTES;Solo; 1.785 ; 102 ; 40 ; 630 ; 284 ; 134 ; 595 ;;
;Asociado; 802 ; 21 ; 83 ; 121 ; 220 ; . ; 357 ;;
;;;;;;;;;;
Fuente: INEC 2015;;;;;;;;;;
;;;;;;;;;;
