;;;;;;;;;;;INDICE
;;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;;;;
TABLA 8. SUPERFICIE SEMBRADA POR TIPO DE SEMILLA UTILIZADA Y PRÁCTICA DE CULTIVO, SEGÚN CULTIVOS TRANSITORIOS;;;;;;;;;;;
;;;;;;;;;;;
CULTIVOS TRANSITORIOS;;SUPERFICIE SEMBRADA (Has.);;;;;;;;;
;;TIPO DE SEMILLA;;;;;PRÁCTICA DE CULTIVO;;;;
;;Común;Mejorada;Certificada;Híbrida Nacional;Híbrida Internacional;Riego;Aplicación de Fertilizantes;Aplicación de Fitosanitarios;;
;;;;;;;;;;;
TOTAL NACIONAL;Solo; 405.587 ; 256.365 ; 406.642 ; 8.446 ; 18.554 ; 407.779 ; 961.921 ; 939.067 ;;
;Asociado; 100.675 ; 6.717 ; 15.143 ; 141 ; 567 ; 10.453 ; 64.779 ; 40.412 ;;
;;;;;;;;;;;
ARROZ (EN CÁSCARA);Solo; 124.302 ; 110.576 ; 164.463 ; 194 ; . ; 278.565 ; 395.709 ; 392.839 ;;
;Asociado; . ; . ; . ; . ; . ; . ; . ; . ;;
ARVEJA SECA (GRANO SECO);Solo; 1.494 ; 59 ; . ; 21 ; . ; 116 ; 604 ; 718 ;;
;Asociado; 380 ; 4 ; . ; . ; . ; 100 ; 157 ; 53 ;;
ARVEJA TIERNA (EN VAINA);Solo; 5.542 ; 518 ; 536 ; 3 ; . ; 3.671 ; 4.838 ; 3.812 ;;
;Asociado; 894 ; 15 ; . ; . ; . ; 211 ; 481 ; 145 ;;
BRÓCOLI (REPOLLO);Solo; 341 ; 552 ; 1.106 ; 30 ; 5.687 ; 7.716 ; 7.685 ; 7.519 ;;
;Asociado; 100 ; . ; . ; . ; . ; 100 ; 100 ; 30 ;;
CEBADA (GRANO SECO);Solo; 9.370 ; 1.306 ; 578 ; . ; . ; 1.490 ; 4.267 ; 3.294 ;;
;Asociado; . ; . ; . ; . ; . ; . ; . ; . ;;
FRÉJOL SECO (GRANO SECO);Solo; 9.377 ; 957 ; 221 ; . ; . ; 2.675 ; 6.162 ; 7.753 ;;
;Asociado; 20.022 ; 495 ; 41 ; . ; . ; 1.302 ; 8.673 ; 4.079 ;;
FRÉJOL TIERNO (EN VAINA);Solo; 4.800 ; 1.081 ; 146 ; . ; 17 ; 4.996 ; 4.710 ; 4.513 ;;
;Asociado; 17.406 ; 832 ; 97 ; . ; . ; 1.254 ; 9.435 ; 6.504 ;;
HABA SECA (GRANO SECO);Solo; 1.388 ; 10 ; . ; . ; . ; 200 ; 587 ; 552 ;;
