;;;;;;;;;;INDICE;;;;;;;;
;;;;;;;;;;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;;;;;;;;;;;
TABLA 55. DESTINO DE LAS AVES CRIADAS EN EL CAMPO POR ESPECIES, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
REGIÓN Y PROVINCIA;AVES CRIADAS EN EL CAMPO;;;;;;;;;;;;;;;;;
;GALLOS Y GALLINAS;;POLLITOS, POLLITAS, POLLOS, POLLAS;;PATOS;;PAVOS;;;;;;;;;;;
;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
TOTAL NACIONAL; 204.459 ; 940.041 ; 84.262 ; 244.537 ; 11.361 ; 39.794 ; 856 ; 1.705 ;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
REGIÓN SIERRA; 53.496 ; 297.606 ; 13.964 ; 51.397 ; 1.842 ; 4.651 ; 479 ; 432 ;;;;;;;;;;
REGIÓN COSTA; 109.397 ; 544.026 ; 67.395 ; 176.626 ; 8.540 ; 31.625 ; 375 ; 1.117 ;;;;;;;;;;
REGIÓN ORIENTAL; 39.088 ; 85.728 ; 2.774 ; 10.790 ; 978 ; 2.813 ; . ; 157 ;;;;;;;;;;
ZONAS NO DELIMITADAS; 2.479 ; 12.681 ; 128 ; 5.724 ; 1 ; 704 ; 1 ; . ;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
AZUAY; 9.322 ; 55.477 ; 1.913 ; 6.300 ; 9 ; 1.144 ; . ; . ;;;;;;;;;;
BOLÍVAR; 2.087 ; 34.551 ; 2.610 ; 15.483 ; 207 ; 563 ; . ; 15 ;;;;;;;;;;
CAÑAR; 1.905 ; 19.990 ; 933 ; 3.798 ; . ; 98 ; . ; . ;;;;;;;;;;
CARCHI; 3.563 ; 12.282 ; 523 ; 156 ; 45 ; 103 ; . ; . ;;;;;;;;;;
COTOPAXI; 7.362 ; 30.766 ; 2.174 ; 7.011 ; 564 ; 326 ; . ; . ;;;;;;;;;;
CHIMBORAZO; 8.073 ; 23.598 ; 2.175 ; 1.681 ; 40 ; 660 ; . ; 1 ;;;;;;;;;;
IMBABURA; 5.943 ; 17.223 ; 933 ; 422 ; 27 ; 102 ; . ; 56 ;;;;;;;;;;
LOJA; 4.624 ; 33.989 ; 990 ; 7.146 ; . ; 146 ; 23 ; 36 ;;;;;;;;;;
PICHINCHA; 6.994 ; 32.079 ; 469 ; 1.607 ; 376 ; 72 ; 238 ; 324 ;;;;;;;;;;
TUNGURAHUA; 2.831 ; 17.951 ; 558 ; 2.782 ; 215 ; 71 ; . ; . ;;;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS; 792 ; 19.699 ; 686 ; 5.010 ; 357 ; 1.368 ; 218 ; . ;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
EL ORO; 3.419 ; 7.771 ; 497 ; 867 ; 20 ; 125 ; . ; 3 ;;;;;;;;;;
ESMERALDAS; 8.010 ; 40.082 ; 1.738 ; 6.016 ; 65 ; 633 ; . ; 1 ;;;;;;;;;;
GUAYAS; 25.232 ; 134.147 ; 1.394 ; 41.878 ; 4.425 ; 7.548 ; . ; 169 ;;;;;;;;;;
LOS RÍOS; 7.495 ; 129.931 ; 40.696 ; 37.305 ; 816 ; 10.788 ; 73 ; 209 ;;;;;;;;;;
MANABÍ; 65.241 ; 231.415 ; 23.070 ; 89.666 ; 3.214 ; 12.530 ; 303 ; 735 ;;;;;;;;;;
SANTA ELENA; . ; 680 ; . ; 895 ; . ; . ; . ; . ;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
MORONA SANTIAGO; 7.590 ; 19.261 ; 343 ; 4.192 ; 973 ; 2.566 ; . ; 94 ;;;;;;;;;;
NAPO; 2.313 ; 2.662 ; . ; 574 ; . ; . ; . ; . ;;;;;;;;;;
ORELLANA; 3.111 ; 23.694 ; 29 ; 199 ; . ; 81 ; . ; 63 ;;;;;;;;;;
PASTAZA; 251 ; 2.404 ; . ; 512 ; . ; 48 ; . ; . ;;;;;;;;;;
SUCUMBÍOS; 25.483 ; 33.349 ; 1.823 ; 4.315 ; . ; 111 ; . ; . ;;;;;;;;;;
ZAMORA CHINCHIPE; 340 ; 4.358 ; 579 ; 997 ; 5 ; 8 ; . ; . ;;;;;;;;;;
ZONAS NO DELIMITADAS; 2.479 ; 12.681 ; 128 ; 5.724 ; 1 ; 704 ; 1 ; . ;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Fuente: INEC 2015;;;;;;;;;;;;;;;;;;
