;;;;;;;;INDICE;
;;;;;;;;;
;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;;
TABLA 2. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN CULTIVOS PERMANENTES;;;;;;;;;
;;;;;;;;;
CULTIVOS PERMANENTES;; SUPERFICIE (Has.)  ;;;" PRODUCCIÓN 
(Tm.) ";" VENTAS 
(Tm.) ";;;
;; Plantada ; Edad Productiva ; Cosechada ;;;;;
;;;;;;;;;
TOTAL NACIONAL;Solo; 1.357.464 ; 1.186.174 ; 1.108.439 ; . ; . ;;;
;Asociado; 221.076 ; 178.415 ; 165.990 ; . ; . ;;;
;;;;;;;;;
BANANO (FRUTA FRESCA);Solo; 183.081 ; 178.340 ; 175.489 ; 7.130.825 ; 6.980.252 ;;;
;Asociado; 12.452 ; 10.535 ; 9.999 ; 63.606 ; 38.369 ;;;
CACAO (ALMENDRA SECA);Solo; 448.776 ; 407.011 ; 368.045 ; 162.546 ; 161.021 ;;;
;Asociado; 88.635 ; 69.636 ; 64.049 ; 17.646 ; 17.410 ;;;
CAFÉ (GRANO ORO);Solo; 60.355 ; 50.716 ; 32.226 ; 3.835 ; 3.480 ;;;
;Asociado; 19.389 ; 13.659 ; 11.801 ; 1.462 ; 1.361 ;;;
CAÑA DE AZÚCAR PARA AZÚCAR (TALLO FRESCO);Solo; 104.558 ; 103.103 ; 102.616 ; 10.106.105 ; 10.104.331 ;;;
;Asociado; . ; . ; . ; . ; . ;;;
CAÑA DE AZÚCAR PARA OTROS USOS (TALLO FRESCO);Solo; 19.388 ; . ; . ; . ; . ;;;
;Asociado; . ; . ; . ; . ; . ;;;
MANGO (FRUTA FRESCA);Solo; 15.219 ; 10.221 ; 8.403 ; 60.042 ; 56.059 ;;;
;Asociado; 36 ; 36 ; 36 ; 91 ; 84 ;;;
MARACUYÁ (FRUTA FRESCA);Solo; 9.465 ; 7.926 ; 7.556 ; 43.380 ; 42.494 ;;;
;Asociado; 3.676 ; 3.378 ; 3.348 ; 18.454 ; 18.243 ;;;
NARANJA (FRUTA FRESCA);Solo; 4.372 ; 3.528 ; 3.500 ; 22.535 ; 21.874 ;;;
;Asociado; 21.771 ; 19.081 ; 18.781 ; 94.274 ; 92.702 ;;;
PALMA AFRICANA (FRUTA FRESCA);Solo; 355.123 ; 290.850 ; 281.892 ; 4.087.335 ; 3.666.792 ;;;
;Asociado; 14.283 ; 9.426 ; 8.451 ; 88.323 ; 88.323 ;;;
PALMITO (TALLO FRESCO);Solo; 11.011 ; 10.573 ; 10.472 ; 63.335 ; 63.330 ;;;
;Asociado; . ; . ; . ; . ; . ;;;
PIÑA (FRUTA FRESCA);Solo; 8.269 ; 5.773 ; 5.674 ; 257.310 ; 247.276 ;;;
;Asociado; 921 ; 277 ; 277 ; 6.211 ; 5.946 ;;;
PLÁTANO (FRUTA FRESCA);Solo; 80.875 ; 73.824 ; 70.247 ; 516.655 ; 456.790 ;;;
;Asociado; 42.480 ; 37.871 ; 35.570 ; 158.884 ; 125.670 ;;;
TOMATE DE ÁRBOL (FRUTA FRESCA);Solo; 2.862 ; 1.740 ; 1.533 ; 13.757 ; 13.389 ;;;
;Asociado; 677 ; 483 ; 448 ; 2.419 ; 2.390 ;;;
OTROS PERMANENTES;Solo; 54.112 ; 42.570 ; 40.785 ; . ; . ;;;
;Asociado; 16.756 ; 14.031 ; 13.229 ; . ; . ;;;
;;;;;;;;;
Fuente: INEC 2015;;;;;;;;;
