;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Regi¢n y Provincia;NÈMERO TOTAL DE CABEZAS (Machos y Hembras);;;;;;;;÷NDICE;;;
;Vacuno;Porcino ;Ovino;Asnal;Caballar;Mular ;Caprino;;;;;
TOTAL NACIONAL;4.335.924;1.059.842;496.535;35.926;172.574;63.013;14.092;;;;;
REGI‡N SIERRA; 2.129.413 ; 569.493 ; 472.653 ; 27.382 ; 86.113 ; 15.098 ; 11.864 ;;;;;
REGI‡N COSTA; 1.788.156 ; 441.452 ; 22.253 ; 7.856 ; 69.023 ; 44.398 ; 2.072 ;;;;;
REGI‡N AMAZ‡NICA; 418.355 ; 48.897 ; 1.629 ; 688 ; 17.438 ; 3.516 ; 156 ;;;;;
;;;;;;;;;;;;
REGI‡N SIERRA;;;;;;;;;;;;
AZUAY; 311.649 ; 32.601 ; 75.722 ; 468 ; 19.202 ; 1.382 ; 801 ;;;;;
BOL÷VAR; 160.383 ; 42.867 ; 21.579 ; 1.083 ; 5.041 ; 3.301 ; 337 ;;;;;
CA•AR; 138.740 ; 16.319 ; 19.658 ; 505 ; 3.860 ; 378 ; 35 ;;;;;
CARCHI; 93.500 ; 41.736 ; 5.956 ; 51 ; 3.988 ; 94 ; 187 ;;;;;
COTOPAXI; 293.080 ; 95.192 ; 110.102 ; 5.463 ; 8.864 ; 2.075 ; 1.217 ;;;;;
CHIMBORAZO; 320.392 ; 67.487 ; 126.592 ; 12.323 ; 11.181 ; 686 ; 1.222 ;;;;;
IMBABURA; 97.010 ; 15.734 ; 5.338 ; 790 ; 6.181 ; 696 ; 224 ;;;;;
LOJA; 153.994 ; 22.781 ; 7.607 ; 2.800 ; 6.044 ; 3.429 ; 6.675 ;;;;;
PICHINCHA; 252.397 ; 38.006 ; 32.196 ; 408 ; 16.788 ; 1.063 ; 673 ;;;;;
TUNGURAHUA; 176.658 ; 66.571 ; 67.525 ; 3.125 ; 3.214 ; 129 ; 356 ;;;;;
SANTO DOMINGO DE LOS TSµCHILAS; 131.611 ; 130.199 ; 379 ; 367 ; 1.751 ; 1.867 ; 136 ;;;;;
;;;;;;;;;;;;
REGI‡N COSTA;;;;;;;;;;;;
EL ORO; 197.213 ; 181.404 ; 8.440 ; 305 ; 5.178 ; 1.260 ; 56 ;;;;;
ESMERALDAS; 305.514 ; 38.381 ; 536 ; 1.255 ; 19.716 ; 11.686 ; 679 ;;;;;
GUAYAS; 254.474 ; 70.711 ; 9.521 ; 301 ; 12.640 ; 1.490 ; 62 ;;;;;
LOS R÷OS; 75.774 ; 30.954 ; 937 ; 783 ; 6.316 ; 2.234 ; 129 ;;;;;
MANAB÷; 951.769 ; 104.586 ; 2.820 ; 5.213 ; 24.786 ; 27.674 ; 597 ;;;;;
SANTA ELENA; 3.413 ; 15.416 ;;; 387 ; 54 ; 549 ;;;;;
;;;;;;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;;;;;;
MORONA SANTIAGO; 118.019 ; 4.090 ; 827 ; 107 ; 4.346 ; 509 ;;;;;;
NAPO; 35.319 ; 1.857 ; 252 ; 34 ; 411 ; 96 ;;;;;;
ORELLANA; 46.911 ; 11.768 ;; 54 ; 1.661 ; 216 ;;;;;;
PASTAZA; 33.922 ; 6.883 ; 362 ;; 1.521 ; 24 ;;;;;;
SUCUMB÷OS; 115.997 ; 19.948 ;; 247 ; 7.195 ; 1.661 ; 156 ;;;;;
ZAMORA CHINCHIPE; 68.187 ; 4.350 ; 188 ; 245 ; 2.304 ; 1.009 ;;;;;;
;;;;;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;;;;
