;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Regi¢n y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;÷NDICE;;;
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;;;;;
;;;De menos de 1 a§o de edad (Terneros);De 1 a§o a menos de 2 a§os de edad (Toretes);De 2 o m†s a§os de edad (Toros) ;;De menos de 1 a§o de edad (Terneras);De 1 a§o a menos de 2 a§os de edad (Vaconas);De 2 o m†s a§os de edad (Vacas);;;;;
TOTAL NACIONAL; 15.833 ; 6.328 ; 1.928 ; 2.221 ; 2.178 ; 9.506 ; 1.475 ; 2.191 ; 5.840 ;;;;;
REGI‡N SIERRA; 10.003 ; 3.885 ; 1.463 ; 1.034 ; 1.388 ; 6.118 ; 856 ; 1.564 ; 3.697 ;;;;;
REGI‡N COSTA; 4.585 ; 1.788 ; 354 ; 828 ; 606 ; 2.797 ; 525 ; 573 ; 1.700 ;;;;;
REGI‡N AMAZ‡NICA; 1.245 ; 655 ; 111 ; 360 ; 185 ; 591 ; 94 ; 54 ; 443 ;;;;;
;;;;;;;;;;;;;;
REGI‡N SIERRA;;;;;;;;;;;;;;
AZUAY; 1.724 ; 455 ; 100 ; 83 ; 272 ; 1.269 ; 3 ; 339 ; 926 ;;;;;
BOL÷VAR; 452 ; 200 ; 62 ; 44 ; 94 ; 252 ; 59 ; 18 ; 175 ;;;;;
CA•AR; 81 ; 16 ;; 16 ;; 65 ;; 16 ; 48 ;;;;;
CARCHI; 289 ; 86 ;; 75 ; 11 ; 203 ;; 48 ; 154 ;;;;;
COTOPAXI; 1.234 ; 500 ; 148 ; 215 ; 137 ; 734 ; 52 ; 362 ; 320 ;;;;;
CHIMBORAZO; 821 ; 264 ; 125 ; 7 ; 131 ; 556 ; 69 ; 131 ; 356 ;;;;;
IMBABURA; 1.693 ; 456 ; 205 ; 212 ; 39 ; 1.237 ; 428 ; 265 ; 543 ;;;;;
LOJA; 186 ; 64 ; 6 ; 54 ; 4 ; 122 ; 4 ;; 118 ;;;;;
PICHINCHA; 1.656 ; 703 ; 559 ; 113 ; 31 ; 953 ; 87 ; 91 ; 775 ;;;;;
TUNGURAHUA; 1.542 ; 1.098 ; 241 ; 189 ; 667 ; 444 ; 121 ; 139 ; 184 ;;;;;
SANTO DOMINGO DE LOS TSµCHILAS; 326 ; 42 ; 16 ; 25 ; 1 ; 284 ; 33 ; 153 ; 98 ;;;;;
;;;;;;;;;;;;;;
REGI‡N COSTA;;;;;;;;;;;;;;
EL ORO; 1.082 ; 433 ; 56 ;; 377 ; 649 ; 161 ;; 488 ;;;;;
ESMERALDAS; 943 ; 710 ; 8 ; 678 ; 24 ; 233 ;; 115 ; 118 ;;;;;
GUAYAS; 720 ; 132 ; 131 ; 1 ;; 588 ; 258 ; 1 ; 329 ;;;;;
LOS R÷OS; 185 ; 14 ;; 1 ; 13 ; 171 ;;; 171 ;;;;;
MANAB÷; 1.656 ; 500 ; 159 ; 148 ; 192 ; 1.156 ; 105 ; 456 ; 594 ;;;;;
SANTA ELENA;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;;;;;;;;
MORONA SANTIAGO; 71 ; 62 ;; 60 ; 2 ; 10 ;; -   ; 10 ;;;;;
NAPO; 25 ; 11 ; 6 ;; 5 ; 14 ;;; 14 ;;;;;
ORELLANA; 182 ; 181 ; 104 ; 77 ; 1 ; 1 ;;; 1 ;;;;;
PASTAZA;;;;;;;;;;;;;;
SUCUMB÷OS; 841 ; 350 ; 1 ; 208 ; 141 ; 491 ; 94 ;; 397 ;;;;;
ZAMORA CHINCHIPE; 125 ; 50 ;; 15 ; 36 ; 75 ;; 54 ; 21 ;;;;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;;;;;;
