;;;;;;;
;;;;;;;
;;;;;;;
Regi¢n y Provincia;; SUPERFICIE (Has.) ;; PRODUCCI‡N (Tm.) ; VENTAS (Tm.) ;;÷NDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;; 145.501 ; 127.895 ; 722.298 ; 653.077 ;;
REGI‡N SIERRA;; 33.940 ; 31.654 ; 173.189 ; 161.607 ;;
REGI‡N COSTA;; 90.451 ; 79.555 ; 464.547 ; 434.122 ;;
REGI‡N AMAZ‡NICA;; 21.111 ; 16.685 ; 84.562 ; 57.348 ;;
;;;;;;;
REGI‡N SIERRA;;;;;;;
AZUAY;Solo; 65 ; 34 ; 77 ;;;
;Asociado; 74 ; 74 ; 250 ; 95 ;;
BOL÷VAR;Solo; 6.174 ; 6.107 ; 10.832 ; 9.092 ;;
;Asociado; 2.246 ; 2.246 ; 11.281 ; 9.618 ;;
CA•AR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo; 696 ; 551 ; 2.119 ; 1.129 ;;
;Asociado; 12 ; 12 ; 57 ; 30 ;;
COTOPAXI;Solo; 2.247 ; 1.726 ; 13.989 ; 13.543 ;;
;Asociado; 2.629 ; 2.621 ; 10.236 ; 10.181 ;;
CHIMBORAZO;Solo; 446 ; 420 ; 1.278 ; 933 ;;
;Asociado; 177 ; 32 ; 103 ; 103 ;;
IMBABURA;Solo; 1.823 ; 1.803 ; 15.548 ; 13.525 ;;
;Asociado; 109 ; 88 ; 215 ; 120 ;;
LOJA;Solo; 307 ; 290 ; 3.774 ; 3.614 ;;
;Asociado; 65 ;;;;;
PICHINCHA;Solo; 307 ; 242 ; 1.263 ; 937 ;;
;Asociado; 218 ; 62 ; 94 ; 61 ;;
TUNGURAHUA;Solo; 76 ; 76 ; 277 ; 45 ;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;Solo; 11.201 ; 10.444 ; 78.660 ; 75.884 ;;
;Asociado; 5.067 ; 4.827 ; 23.134 ; 22.698 ;;
;;;;;;;
REGI‡N COSTA;;;;;;;
EL ORO;Solo; 108 ; 108 ; 801 ; 761 ;;
;Asociado; 14 ; 14 ; 66 ; 43 ;;
ESMERALDAS;Solo; 2.469 ; 2.091 ; 12.195 ; 8.128 ;;
;Asociado; 1.493 ; 1.003 ; 3.572 ; 2.881 ;;
GUAYAS;Solo; 5.677 ; 4.917 ; 23.215 ; 21.255 ;;
;Asociado; 4.247 ; 3.551 ; 19.979 ; 19.242 ;;
LOS R÷OS;Solo; 12.961 ; 11.638 ; 88.992 ; 86.076 ;;
;Asociado; 5.565 ; 5.366 ; 29.514 ; 29.118 ;;
MANAB÷;Solo; 45.645 ; 41.053 ; 225.490 ; 207.970 ;;
;Asociado; 11.466 ; 9.048 ; 51.007 ; 48.943 ;;
SANTA ELENA;Solo; 805 ; 766 ; 9.716 ; 9.707 ;;
;Asociado;;;;;;
;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;
MORONA SANTIAGO;Solo; 3.652 ; 2.519 ; 18.958 ; 7.220 ;;
;Asociado; 328 ; 304 ; 1.228 ; 1.221 ;;
NAPO;Solo; 2.869 ; 2.587 ; 13.349 ; 12.544 ;;
;Asociado; 94 ; 69 ; 93 ; 93 ;;
ORELLANA;Solo; 4.240 ; 3.727 ; 19.161 ; 15.786 ;;
;Asociado; 373 ; 69 ; 224 ;;;
PASTAZA;Solo; 1.813 ; 1.778 ; 11.134 ; 9.864 ;;
;Asociado; 644 ; 359 ; 2.512 ; 676 ;;
SUCUMB÷OS;Solo; 4.045 ; 2.620 ; 9.355 ; 4.682 ;;
;Asociado; 192 ; 154 ; 1.350 ; 748 ;;
ZAMORA CHINCHIPE;Solo; 2.521 ; 2.293 ; 6.082 ; 4.015 ;;
;Asociado; 339 ; 207 ; 1.116 ; 500 ;;
;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;
