;;;;;;;
;;;;;;;
   ;;;;;;;
Regi¢n y Provincia;; SUPERFICIE (Has.) ;; PRODUCCI‡N (Tm.) ; VENTAS (Tm.) ;;÷NDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;; 16.120 ; 14.234 ; 146.159 ; 145.138 ;;
REGI‡N SIERRA;; 10.704 ; 10.070 ; 116.311 ; 115.546 ;;
REGI‡N COSTA;; 4.367 ; 3.442 ; 26.559 ; 26.307 ;;
REGI‡N AMAZ‡NICA;; 1.049 ; 722 ; 3.289 ; 3.285 ;;
;;;;;;;
REGI‡N SIERRA;;;;;;;
AZUAY;Solo; 7 ; 7 ; 18 ; 16 ;;
;Asociado; 114 ; 111 ; 8 ; 5 ;;
BOL÷VAR;Solo; 802 ; 792 ; 7.310 ; 7.202 ;;
;Asociado; 8.232 ; 8.046 ; 103.162 ; 103.078 ;;
CA•AR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo;;;;;;
;Asociado; 39 ; 39 ; 211 ; 209 ;;
COTOPAXI;Solo; 359 ; 185 ; 1.518 ; 1.481 ;;
;Asociado; 4 ; 3 ; 70 ; 70 ;;
CHIMBORAZO;Solo; 104 ; 72 ; 631 ; 585 ;;
;Asociado;;;;;;
IMBABURA;Solo; 15 ;;;;;
;Asociado;;;;;;
LOJA;Solo; 5 ;;;;;
;Asociado;;;;;;
PICHINCHA;Solo; 86 ; 19 ; 114 ; 110 ;;
;Asociado; 99 ; 1 ; 2 ; 2 ;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;Solo; 701 ; 656 ; 2.811 ; 2.333 ;;
;Asociado; 139 ; 139 ; 454 ; 454 ;;
;;;;;;;
REGI‡N COSTA;;;;;;;
EL ORO;Solo; 93 ; 93 ; 410 ; 410 ;;
;Asociado;;;;;;
ESMERALDAS;Solo; 121 ; 121 ; 318 ; 303 ;;
;Asociado; 212 ; 212 ; 1.108 ; 1.088 ;;
GUAYAS;Solo; 20 ; 20 ; 71 ; 16 ;;
;Asociado;;;;;;
LOS R÷OS;Solo; 618 ; 555 ; 7.159 ; 7.108 ;;
;Asociado; 1.488 ; 885 ; 5.305 ; 5.298 ;;
MANAB÷;Solo; 872 ; 737 ; 5.195 ; 5.099 ;;
;Asociado; 923 ; 818 ; 6.993 ; 6.985 ;;
SANTA ELENA;Solo;;;;;;
;Asociado; 20 ;;;;;
;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;
MORONA SANTIAGO;Solo; 3 ;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo; 557 ; 557 ; 2.480 ; 2.480 ;;
;Asociado; 31 ; 1 ; 1 ;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMB÷OS;Solo; 458 ; 165 ; 808 ; 805 ;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;
