;;;;;;;
;;;;;;;
;;;;;;;
Regi¢n y Provincia;; SUPERFICIE (Has.) ;; PRODUCCI‡N (Tm.) ; VENTAS (Tm.) ;;÷NDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;; 15.410 ; 14.962 ; 64.273 ; 49.071 ;;
REGI‡N SIERRA;; 5.145 ; 5.016 ; 25.291 ; 24.102 ;;
REGI‡N COSTA;; 1.984 ; 1.893 ; 15.092 ; 14.116 ;;
REGI‡N AMAZ‡NICA;; 8.281 ; 8.052 ; 23.890 ; 10.853 ;;
;;;;;;;
REGI‡N SIERRA;;;;;;;
AZUAY;Solo; 46 ; 46 ; 43 ;;;
;Asociado;;;;;;
BOL÷VAR;Solo; 13 ; 13 ; 27 ;;;
;Asociado;;;;;;
CA•AR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo;;;;;;
;Asociado;;;;;;
COTOPAXI;Solo; 113 ; 113 ; 226 ; 226 ;;
;Asociado;;;;;;
CHIMBORAZO;Solo; 61 ; 61 ; 374 ; 293 ;;
;Asociado;;;;;;
IMBABURA;Solo; 565 ; 507 ; 2.784 ; 2.234 ;;
;Asociado; 27 ; 27 ; 37 ;;;
LOJA;Solo; 195 ; 195 ; 683 ; 443 ;;
;Asociado;;;;;;
PICHINCHA;Solo; 82 ; 73 ; 113 ; 19 ;;
;Asociado;;;;;;
TUNGURAHUA;Solo; 5 ; 4 ; 45 ; 45 ;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;Solo; 4.037 ; 3.975 ; 20.956 ; 20.840 ;;
;Asociado; 1 ; 1 ; 2 ; 2 ;;
;;;;;;;
REGI‡N COSTA;;;;;;;
EL ORO;Solo; 42 ; 42 ; 123 ;;;
;Asociado;;;;;;
ESMERALDAS;Solo; 108 ; 108 ; 178 ; 112 ;;
;Asociado; 6 ; 6 ; 20 ;;;
GUAYAS;Solo; 78 ; 78 ; 172 ; 164 ;;
;Asociado;;;;;;
LOS R÷OS;Solo; 676 ; 676 ; 5.988 ; 5.988 ;;
;Asociado;;;;;;
MANAB÷;Solo; 995 ; 912 ; 8.476 ; 7.799 ;;
;Asociado; 79 ; 70 ; 120 ; 37 ;;
SANTA ELENA;Solo; 1 ; 1 ; 16 ; 16 ;;
;Asociado;;;;;;
;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;
MORONA SANTIAGO;Solo; 2.339 ; 2.310 ; 8.109 ; 3.345 ;;
;Asociado; 393 ; 393 ; 535 ; 149 ;;
NAPO;Solo; 1.311 ; 1.236 ; 2.543 ; 1.568 ;;
;Asociado;;;;;;
ORELLANA;Solo; 1.346 ; 1.338 ; 3.087 ; 1.318 ;;
;Asociado; 61 ; 61 ; 925 ; 898 ;;
PASTAZA;Solo; 343 ; 343 ; 2.722 ; 2.221 ;;
;Asociado; 572 ; 518 ; 1.542 ; 34 ;;
SUCUMB÷OS;Solo; 915 ; 862 ; 3.005 ; 1.106 ;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo; 864 ; 864 ; 1.240 ; 212 ;;
;Asociado; 137 ; 128 ; 182 ;;;
;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;
