;;;;;;;
;;;;;;;
   ;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;; 19.622 ; 17.032 ; 117.382 ; 112.837 ;;
REGIÓN SIERRA;; 11.645 ; 10.376 ; 88.185 ; 86.738 ;;
REGIÓN COSTA;; 6.736 ; 5.707 ; 26.303 ; 23.260 ;;
REGIÓN AMAZÓNICA;; 1.241 ; 950 ; 2.895 ; 2.839 ;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo; 6 ; 6 ; 47 ;;;
;Asociado; 33 ;;;;;
BOLÍVAR;Solo; 736 ; 604 ; 10.160 ; 9.374 ;;
;Asociado; 7.588 ; 6.773 ; 65.786 ; 65.290 ;;
CAÑAR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo; 25 ; 10 ; 207 ; 196 ;;
;Asociado;;;;;;
COTOPAXI;Solo; 63 ; 15 ; 159 ; 155 ;;
;Asociado; 530 ; 530 ; 2.996 ; 2.996 ;;
CHIMBORAZO;Solo; 15 ; 1 ; 8 ; 4 ;;
;Asociado; 26 ; 20 ; 49 ; 49 ;;
IMBABURA;Solo; 26 ;;;;;
;Asociado;;;;;;
LOJA;Solo; 18 ; 9 ; 43 ; 43 ;;
;Asociado;;;;;;
PICHINCHA;Solo; 19 ; 7 ; 44 ; 13 ;;
;Asociado; 54 ;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo; 801 ; 795 ; 4.331 ; 4.271 ;;
;Asociado; 1.703 ; 1.605 ; 4.356 ; 4.349 ;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo; 83 ; 83 ; 165 ; 140 ;;
;Asociado; 249 ; 245 ; 696 ; 696 ;;
ESMERALDAS;Solo; 255 ; 212 ; 626 ; 483 ;;
;Asociado; 224 ; 224 ; 542 ; 434 ;;
GUAYAS;Solo; 22 ; 22 ; 56 ; 53 ;;
;Asociado; 524 ; 483 ; 387 ; 380 ;;
LOS RÍOS;Solo; 757 ; 639 ; 3.541 ; 3.498 ;;
;Asociado; 3.150 ; 2.584 ; 11.689 ; 11.599 ;;
MANABÍ;Solo; 284 ; 246 ; 2.945 ; 367 ;;
;Asociado; 1.188 ; 968 ; 5.656 ; 5.611 ;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo; 20 ;;;;;
;Asociado;;;;;;
ORELLANA;Solo; 97 ; 52 ; 165 ; 157 ;;
;Asociado; 267 ; 267 ; 1.152 ; 1.124 ;;
PASTAZA;Solo; 52 ; 52 ; 196 ; 196 ;;
;Asociado;;;;;;
SUCUMBÍOS;Solo; 578 ; 390 ; 1.346 ; 1.342 ;;
;Asociado; 227 ; 189 ; 36 ; 21 ;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;
