;;;;;;;;;;;;;;
TABLA 1.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Región y Provincia; USO DEL SUELO (Has.) ;;;;;;;;;;ÍNDICE;;;
; Total ; Cultivos Permanentes ; Cultivos Transitorios y Barbecho ; Descanso ; Pastos Cultivados ; Pastos Naturales ; Páramos ; Montes y Bosques ; Otros Usos ;;;;;
TOTAL NACIONAL; 12.316.608 ; 1.423.372 ; 841.994 ; 182.160 ; 2.376.551 ; 646.139 ; 233.074 ; 5.900.560 ; 712.757 ;;;;;
REGIÓN SIERRA; 3.769.094 ; 269.124 ; 241.328 ; 54.464 ; 748.448 ; 463.019 ; 215.792 ; 1.580.413 ; 196.506 ;;;;;
REGIÓN COSTA; 4.813.632 ; 1.006.032 ; 562.504 ; 112.953 ; 1.224.124 ; 137.521 ; 17.282 ; 1.391.558 ; 361.657 ;;;;;
REGIÓN AMAZÓNICA; 3.733.882 ; 148.216 ; 38.161 ; 14.743 ; 403.979 ; 45.599 ;; 2.928.589 ; 154.594 ;;;;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
AZUAY; 532.459 ; 5.452 ; 11.991 ; 1.082 ; 85.742 ; 103.624 ; 10.282 ; 289.490 ; 24.796 ;;;;;
BOLÍVAR; 278.520 ; 33.327 ; 39.696 ; 2.010 ; 99.345 ; 29.889 ; 8.227 ; 54.190 ; 11.836 ;;;;;
CAÑAR; 252.112 ; 37.784 ; 7.154 ; 524 ; 35.618 ; 38.063 ; 34.974 ; 89.843 ; 8.153 ;;;;;
CARCHI; 190.689 ; 6.465 ; 20.017 ; 2.908 ; 25.251 ; 21.547 ; 17.245 ; 90.470 ; 6.785 ;;;;;
COTOPAXI; 395.803 ; 26.904 ; 33.601 ; 11.167 ; 72.562 ; 64.241 ; 14.567 ; 155.801 ; 16.960 ;;;;;
CHIMBORAZO; 373.663 ; 3.786 ; 44.611 ; 20.461 ; 60.701 ; 44.775 ; 63.616 ; 116.249 ; 19.464 ;;;;;
IMBABURA; 311.840 ; 15.651 ; 13.509 ; 2.890 ; 37.704 ; 36.120 ; 10.137 ; 166.137 ; 29.690 ;;;;;
LOJA; 523.314 ; 8.245 ; 34.418 ; 1.347 ; 111.555 ; 60.268 ; 12.431 ; 266.463 ; 28.588 ;;;;;
PICHINCHA; 520.779 ; 40.758 ; 18.284 ; 6.513 ; 85.571 ; 49.300 ; 33.722 ; 255.617 ; 31.014 ;;;;;
TUNGURAHUA; 154.005 ; 6.201 ; 12.703 ; 3.735 ; 39.060 ; 15.126 ; 10.590 ; 55.692 ; 10.899 ;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS; 235.910 ; 84.551 ; 5.344 ; 1.828 ; 95.339 ; 65 ;; 40.462 ; 8.321 ;;;;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
EL ORO; 389.341 ; 57.761 ; 5.489 ; 759 ; 149.575 ; 16.689 ; 17.282 ; 116.768 ; 25.018 ;;;;;
ESMERALDAS; 1.038.261 ; 203.115 ; 7.227 ; 41.353 ; 211.011 ; 25.786 ;; 510.854 ; 38.915 ;;;;;
GUAYAS; 1.077.594 ; 300.339 ; 222.987 ; 32.890 ; 104.728 ; 53.420 ;; 194.830 ; 168.400 ;;;;;
LOS RÍOS; 626.090 ; 247.354 ; 199.021 ; 15.005 ; 38.623 ; 8.324 ;; 72.601 ; 45.163 ;;;;;
MANABÍ; 1.604.898 ; 192.427 ; 123.844 ; 18.538 ; 719.355 ; 33.303 ;; 437.605 ; 79.825 ;;;;;
SANTA ELENA; 77.448 ; 5.036 ; 3.936 ; 4.409 ; 832 ;;; 58.900 ; 4.335 ;;;;;
;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;
MORONA SANTIAGO; 813.341 ; 10.806 ; 5.082 ; 472 ; 129.516 ; 29.625 ;; 614.684 ; 23.157 ;;;;;
NAPO; 448.585 ; 24.018 ; 5.133 ; 243 ; 26.678 ; 3.846 ;; 369.466 ; 19.200 ;;;;;
ORELLANA; 606.669 ; 34.087 ; 9.153 ; 9.151 ; 54.542 ; 666 ;; 461.663 ; 37.406 ;;;;;
PASTAZA; 825.671 ; 3.640 ; 1.815 ; 1.123 ; 24.090 ; 2.303 ;; 765.296 ; 27.406 ;;;;;
SUCUMBÍOS; 780.455 ; 69.711 ; 15.882 ; 3.755 ; 87.578 ; 3.819 ;; 560.786 ; 38.924 ;;;;;
ZAMORA CHINCHIPE; 259.161 ; 5.955 ; 1.096 ;; 81.575 ; 5.340 ;; 156.695 ; 8.501 ;;;;;
;;;;;;;;;;;;;;
Notas:;;;;;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;;;;;
Superficie con uso agropecuario: Comprende el área  ocupada por cultivos  permanentes, transitorios, pastos cultivados y naturales.;;;;;;;;;;;;;;
Para la selección de la muestra, se tomó la variable “superficie de suelo con uso agropecuario” como variable de diseño de la muestra, y se estratifica el marco de muestreo en función al porcentaje de superficie con uso agropecuario que tiene cada unidad mínima de estratificación del marco se excluye los cuerpos de agua, areas urbanas, áreas mayores a los 3000msnm, reservas naturales (selva) y sectores amanzanados.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
