;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Región y Provincia; TOTAL ; GANADO VACUNO ;;;;;;;;;ÍNDICE;;;
;; SUBTOTAL ; MACHOS ;;; SUBTOTAL ; HEMBRAS ;;;;;;;
;;; De menos de 1 año de edad (Terneros) ; De 1 año a menos de 2 años de edad (Toretes) ; De 2 o más años de edad (Toros)  ;; De menos de 1 año de edad (Terneras) ; De 1 año a menos de 2 años de edad (Vaconas) ; De 2 o más años de edad (Vacas) ;;;;;
TOTAL NACIONAL; 147.931 ; 70.451 ; 50.347 ; 14.474 ; 5.630 ; 77.480 ; 17.964 ; 13.999 ; 45.518 ;;;;;
REGIÓN SIERRA; 107.687 ; 56.581 ; 42.454 ; 10.019 ; 4.108 ; 51.106 ; 13.891 ; 8.572 ; 28.643 ;;;;;
REGIÓN COSTA; 28.011 ; 9.194 ; 5.702 ; 2.886 ; 605 ; 18.817 ; 2.844 ; 3.533 ; 12.440 ;;;;;
REGIÓN AMAZÓNICA; 12.233 ; 4.676 ; 2.191 ; 1.568 ; 917 ; 7.557 ; 1.228 ; 1.894 ; 4.435 ;;;;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
AZUAY; 30.625 ; 23.058 ; 21.539 ; 1.031 ; 489 ; 7.567 ; 1.935 ; 1.399 ; 4.233 ;;;;;
BOLÍVAR; 8.079 ; 3.401 ; 1.854 ; 1.261 ; 286 ; 4.677 ; 1.091 ; 484 ; 3.103 ;;;;;
CAÑAR; 4.629 ; 2.000 ; 915 ; 713 ; 372 ; 2.629 ; 431 ; 1.050 ; 1.148 ;;;;;
CARCHI; 3.565 ; 883 ; 419 ; 346 ; 118 ; 2.682 ; 369 ; 272 ; 2.042 ;;;;;
COTOPAXI; 13.882 ; 7.764 ; 5.132 ; 2.097 ; 535 ; 6.118 ; 1.960 ; 1.013 ; 3.145 ;;;;;
CHIMBORAZO; 13.596 ; 6.091 ; 4.760 ; 776 ; 555 ; 7.505 ; 3.352 ; 804 ; 3.349 ;;;;;
IMBABURA; 5.625 ; 2.416 ; 1.176 ; 870 ; 370 ; 3.210 ; 700 ; 702 ; 1.808 ;;;;;
LOJA; 6.228 ; 2.445 ; 1.131 ; 831 ; 483 ; 3.782 ; 613 ; 784 ; 2.386 ;;;;;
PICHINCHA; 11.686 ; 3.673 ; 2.191 ; 1.043 ; 438 ; 8.013 ; 2.055 ; 1.399 ; 4.560 ;;;;;
TUNGURAHUA; 7.262 ; 3.957 ; 2.836 ; 723 ; 397 ; 3.305 ; 1.048 ; 517 ; 1.740 ;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS; 2.510 ; 893 ; 500 ; 327 ; 65 ; 1.618 ; 339 ; 149 ; 1.130 ;;;;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
EL ORO; 4.642 ; 1.461 ; 594 ; 526 ; 340 ; 3.182 ; 207 ; 505 ; 2.470 ;;;;;
ESMERALDAS; 4.450 ; 1.711 ; 1.001 ; 656 ; 53 ; 2.739 ; 518 ; 626 ; 1.595 ;;;;;
GUAYAS; 3.710 ; 834 ; 610 ; 220 ; 4 ; 2.876 ; 496 ; 634 ; 1.746 ;;;;;
LOS RÍOS; 1.722 ; 762 ; 461 ; 266 ; 35 ; 960 ; 434 ; 89 ; 437 ;;;;;
MANABÍ; 13.485 ; 4.427 ; 3.036 ; 1.219 ; 172 ; 9.058 ; 1.189 ; 1.680 ; 6.189 ;;;;;
SANTA ELENA; 2 ; 1 ;;; 1 ; 2 ;;; 2 ;;;;;
;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;
MORONA SANTIAGO; 3.589 ; 1.229 ; 750 ; 205 ; 275 ; 2.360 ; 186 ; 875 ; 1.299 ;;;;;
NAPO; 775 ; 340 ; 259 ; 26 ; 55 ; 435 ; 223 ; 16 ; 196 ;;;;;
ORELLANA; 909 ; 328 ; 152 ; 134 ; 42 ; 581 ; 123 ; 93 ; 365 ;;;;;
PASTAZA; 491 ; 251 ; 36 ; 162 ; 53 ; 241 ; 1 ; 17 ; 223 ;;;;;
SUCUMBÍOS; 3.721 ; 1.638 ; 621 ; 752 ; 266 ; 2.083 ; 453 ; 438 ; 1.192 ;;;;;
ZAMORA CHINCHIPE; 2.747 ; 889 ; 373 ; 290 ; 226 ; 1.858 ; 243 ; 454 ; 1.161 ;;;;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;;;;;
