;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Región y Provincia;GANADO OVINO;;;;;;;ÍNDICE;;;
;TOTAL;EXISTENCIA1 (Machos y Hembras);;TOTAL;VENTAS2 (Machos y Hembras);;;;;;
;;Menores de 6 meses de edad;Mayores de 6 meses de edad;;Menores de 6 meses de edad;Mayores de 6 meses de edad;;;;;
TOTAL NACIONAL;528.828;111.704;417.124;32.943;8.271;24.673;;;;;
REGIÓN SIERRA;495.644;104.884;390.760;30.633;8.104;22.529;;;;;
REGIÓN COSTA;31.444;6.406;25.038;2.285;167;2.119;;;;;
REGIÓN AMAZÓNICA;1.739;413;1.326;25;;25;;;;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
AZUAY;78.085;16.742;61.343;4.903;763;4.140;;;;;
BOLÍVAR;31.490;4.475;27.014;1.873;52;1.821;;;;;
CAÑAR;30.852;8.025;22.827;1.342;224;1.118;;;;;
CARCHI;2.214;218;1.996;111;;111;;;;;
COTOPAXI;106.425;22.015;84.410;6.996;3.661;3.335;;;;;
CHIMBORAZO;117.330;26.524;90.806;7.386;1.966;5.421;;;;;
IMBABURA;11.279;3.422;7.857;972;149;823;;;;;
LOJA;37.771;8.082;29.689;411;7;404;;;;;
PICHINCHA;24.987;5.338;19.648;2.489;310;2.180;;;;;
TUNGURAHUA;55.074;10.028;45.046;4.145;973;3.173;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;139;14;125;3;;3;;;;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
EL ORO;13.025;2.930;10.095;83;;83;;;;;
ESMERALDAS;2.209;690;1.519;462;;462;;;;;
GUAYAS;14.081;2.167;11.914;801;13;788;;;;;
LOS RÍOS;1.037;271;766;245;74;171;;;;;
MANABÍ;1.091;348;743;695;80;615;;;;;
SANTA ELENA;;;;;;;;;;;
;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;
MORONA SANTIAGO;392;32;360;4;;4;;;;;
NAPO;403;178;225;14;;14;;;;;
ORELLANA;12;1;11;;;;;;;;
PASTAZA;;;;;;;;;;;
SUCUMBÍOS;386;92;294;7;;7;;;;;
ZAMORA CHINCHIPE;546;111;435;;;;;;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;;
(1) Para existencia el periodo de referencia es el día de la entrevista;;;;;;;;;;;
(2) Para ventas el período de referencia es del 1 de julio al 30 de septiembre 2021;;;;;;;;;;;
