;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Región y Provincia;TOTAL;AVES CRIADAS EN CAMPO;;;;;ÍNDICE;;;
;;Gallos y gallinas;Pollitos, Pollitas, Pollos, Pollas;Patos;Pavos;;;;;
TOTAL NACIONAL;9.432.027;4.591.351;4.235.795;554.094;50.787;;;;;
REGIÓN SIERRA;3.486.893;1.887.098;1.443.341;136.983;19.471;;;;;
REGIÓN COSTA;4.645.919;1.997.202;2.285.718;336.355;26.644;;;;;
REGIÓN AMAZÓNICA;1.299.215;707.051;506.737;80.756;4.671;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
AZUAY;545.206;323.757;199.812;19.729;1.908;;;;;
BOLÍVAR;273.168;131.184;121.941;18.270;1.772;;;;;
CAÑAR;176.171;100.037;63.441;11.606;1.087;;;;;
CARCHI;58.446;38.471;19.042;267;667;;;;;
COTOPAXI;474.334;254.486;191.078;23.210;5.560;;;;;
CHIMBORAZO;516.493;260.424;234.003;19.066;3.000;;;;;
IMBABURA;152.609;79.979;67.805;4.303;523;;;;;
LOJA;447.907;242.491;194.693;9.865;858;;;;;
PICHINCHA;311.791;171.816;126.708;11.367;1.900;;;;;
TUNGURAHUA;353.238;191.836;148.131;11.945;1.326;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;177.531;92.618;76.688;7.356;868;;;;;
;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;
EL ORO;102.306;58.803;36.137;7.238;128;;;;;
ESMERALDAS;446.176;224.334;185.952;33.593;2.297;;;;;
GUAYAS;1.091.118;449.285;522.788;110.643;8.402;;;;;
LOS RÍOS;769.087;342.376;363.719;59.525;3.466;;;;;
MANABÍ;2.233.334;921.043;1.175.554;124.457;12.280;;;;;
SANTA ELENA;3.898;1.361;1.568;899;70;;;;;
;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
MORONA SANTIAGO;230.817;114.144;91.794;24.848;32;;;;;
NAPO;195.681;121.321;68.339;5.722;299;;;;;
ORELLANA;201.048;102.900;86.013;8.977;3.158;;;;;
PASTAZA;180.261;103.949;70.999;5.036;277;;;;;
SUCUMBÍOS;379.551;192.660;158.051;28.310;530;;;;;
ZAMORA CHINCHIPE;111.857;72.078;31.542;7.863;375;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;
