;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
ÁRBOLES DISPERSOS;NÚMERO DE ÁRBOLES;PRODUCCIÓN (Tm.);VENTAS (Tm.);;ÍNDICE;;;;
ACHIOTE (GRANO SECO); 9.327 ; 87 ; 32 ;;;;;;
AGUACATE (FRUTA FRESCA); 178.841 ; 8.493 ; 4.101 ;;;;;;
BANANO (FRUTA FRESCA); 770.713 ; 13.418 ; 2.449 ;;;;;;
CACAO (ALMENDRA SECA); 251.399 ; 892 ; 622 ;;;;;;
CAFÉ (GRANO ORO); 58.675 ; 23 ; 12 ;;;;;;
CLAUDIA (FRUTA FRESCA); 51.017 ; 893 ; 285 ;;;;;;
CHIRIMOYA (FRUTA FRESCA); 14.356 ; 267 ; 55 ;;;;;;
CIRUELO (FRUTA FRESCA); 24.310 ; 416 ; 92 ;;;;;;
COCOTERO (FRUTA FRESCA); 67.083 ; 1.774 ; 664 ;;;;;;
DURAZNO (FRUTA FRESCA); 29.017 ; 183 ; 54 ;;;;;;
GUABA (FRUTA FRESCA); 139.245 ; 5.823 ; 426 ;;;;;;
GUANÁBANA (FRUTA FRESCA); 61.088 ; 2.488 ; 1.222 ;;;;;;
GUAYABA (FRUTA FRESCA); 15.748 ; 417 ; 57 ;;;;;;
LIMA (FRUTA FRESCA); 11.070 ; 85.707 ; 57 ;;;;;;
LIMÓN (FRUTA FRESCA); 302.991 ; 6.984 ; 1.860 ;;;;;;
MANDARINA (FRUTA FRESCA); 1.001.343 ; 46.341 ; 13.753 ;;;;;;
MANGO (FRUTA FRESCA); 497.486 ; 28.323 ; 4.249 ;;;;;;
MANZANA (FRUTA FRESCA); 33.874 ; 340 ; 103 ;;;;;;
MARACUYÁ (FRUTA FRESCA); 17.049 ; 210 ; 83 ;;;;;;
NARANJA (FRUTA FRESCA); 1.626.237 ; 107.038 ; 29.423 ;;;;;;
ORITO (FRUTA FRESCA); 131.290 ; 1.378 ; 233 ;;;;;;
PAPAYA (FRUTA FRESCA); 142.956 ; 2.659 ; 558 ;;;;;;
PERA (FRUTA FRESCA); 15.499 ; 155 ; 46 ;;;;;;
PIÑA (FRUTA FRESCA); 18.055 ; 44 ; 10 ;;;;;;
PLÁTANO (FRUTA FRESCA); 4.736.137 ; 58.810 ; 17.561 ;;;;;;
TOMATE DE ÁRBOL (FRUTA FRESCA); 32.718 ; 208 ; 50 ;;;;;;
TORONJA (FRUTA FRESCA); 102.478 ; 11.639 ; 1.578 ;;;;;;
ZAPOTE (FRUTA FRESCA); 26.125 ; 2.090 ; 397 ;;;;;;
OTROS PERMANENTES; 208.377 ;;;;;;;;
;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;
